Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,Cry For Me,Hurry Up Tomorrow,The Weeknd,,31/01/2025,224136,82,,XO / Republic Records
2,Love Hangover (feat. Dominic Fike),Love Hangover (feat. Dominic Fike),JENNIE;Dominic Fike,,31/01/2025,180129,69,k-pop,OA Entertainment/Columbia
3,I'm The Problem,I'm The Problem,Morgan Wallen,,31/01/2025,177811,71,country,Big Loud Records / Mercury Records / Republic Records
4,In Love With A Memory,In Love With A Memory,SASAMI;Clairo,,28/01/2025,243008,38,bedroom pop,Domino Recording Co
5,F.U.,In Waves (Deluxe),Jamie xx;Erykah Badu,,29/01/2025,217074,45,"neo soul,r&b",Young
6,Blick Sum (feat. Playboi Carti),Blick Sum (feat. Playboi Carti),Latto;Playboi Carti,,28/01/2025,192266,64,rage rap,Streamcut/RCA Records
7,CRUZ,CRUZ,Trueno;Feid,,30/01/2025,183970,64,"argentine trap,reggaeton,urbano latino",Sony Music Latin
8,LOVE LOOKS PRETTY ON YOU,LOVE LOOKS PRETTY ON YOU,Nessa Barrett,,31/01/2025,192946,56,,Warner Records
9,Blue Jean Baby,Blue Jean Baby,Zach Bryan,,27/01/2025,132068,68,"country,red dirt",Warner Records
10,You're All I Got,You're All I Got / So Long,The Lumineers,,29/01/2025,202865,48,"folk pop,indie folk",Dualtone Music Group
11,Nothing Breaks Like a Heart - Spotify Singles,Nothing Breaks Like a Heart - Spotify Singles,Damiano David,,29/01/2025,218508,66,,Sony Music Italy / Arista Records
12,Houstatlantaville (feat. Lil Baby & Travis Scott),I Aint Feeling You,EST Gee;Lil Baby;Travis Scott,,31/01/2025,205298,53,rap,CMG/Interscope Records
13,In My Head,In My Head,Gryffin;Kaskade;Nu-La,,31/01/2025,215930,60,"edm,melodic bass,future bass,drum and bass",Gryffin LLC
14,Hundred Mile High,Hundred Mile High,Cameron Whitcomb,,31/01/2025,172181,59,,Atlantic Records
15,Sylvia,Sylvia,Julien Baker;TORRES,,29/01/2025,140193,31,"ambient folk,art pop",Matador
16,Besties,Besties,"Black Country, New Road",,30/01/2025,216757,42,"art rock,post-rock",Ninja Tune
17,Feeling Alright,I am the Blueprint,Qing Madi,,31/01/2025,159432,38,"afrobeats,afro r&b,afrobeat,afropop,afro soul,afropiano,alté",Bu Vision
