Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Yamaha,Baby,Dijon,,15/08/2025,268410,64,,Warner Records,,,,,,,,,,,,
Imaginary Playerz,Imaginary Playerz,Cardi B,,15/08/2025,207380,49,,Atlantic Records,,,,,,,,,,,,
Caramel,Wishbone,Conan Gray,,15/08/2025,234228,68,,Republic Records,,,,,,,,,,,,
Ain't Enough Road,Learn The Hard Way,Jordan Davis,,15/08/2025,179906,54,"country,pop country",MCA Nashville,,,,,,,,,,,,
in plain sight,in plain sight,Khalid,,15/08/2025,145128,56,,"Right Hand Music Group, LLC/RCA Records",,,,,,,,,,,,
Man I Need,Man I Need,Olivia Dean,,15/08/2025,184000,97,pop soul,PLG - Capitol,,,,,,,,,,,,
Aftermath - Edit,"Here are the first 3 songs from my mixtape, Rocket",Dominic Fike,,15/08/2025,102528,22,,Columbia,,,,,,,,,,,,
Love Is Like (feat. Lil Wayne),Love Is Like,Maroon 5;Lil Wayne,,15/08/2025,174911,62,"pop,rap,hip hop",222 Records/Interscope Records,,,,,,,,,,,,
Nice Shoes,Nice Shoes,Steve Lacy,,15/08/2025,195412,61,,L-M Records/RCA Records,,,,,,,,,,,,
SPACE INVADER,SPACE INVADER,KAYTRANADA,,12/08/2025,274302,46,,KAYTRANADA/RCA Records,,,,,,,,,,,,
See You Again,See You Again,&ME;Rampa;Adam Port;Sevdaliza;Keinemusik,,15/08/2025,271007,57,"afro house,afro tech,house,melodic house",Keinemusik,,,,,,,,,,,,
Si Te Vas,Mixteip,J Balvin;Jay Wheeler,,15/08/2025,198493,65,"reggaeton,latin",Capitol Records,,,,,,,,,,,,
Times Square Jesus,Times Square Jesus,The Favors;FINNEAS;Ashe,,13/08/2025,255195,46,,Darkroom Records,,,,,,,,,,,,
FACEDOWN,FACEDOWN,Chase Atlantic,,14/08/2025,221818,57,,Fearless Records,,,,,,,,,,,,
Thirst Trap,Who's the Clown?,Audrey Hobert,,15/08/2025,185533,65,,Audrey Hobert/RCA Records,,,,,,,,,,,,
Stay,Stay,Leith Ross,,15/08/2025,249813,46,,Republic Records,,,,,,,,,,,,
B A D I D E A,B A D I D E A,Militarie Gun,,12/08/2025,109634,37,,Loma Vista Recordings,,,,,,,,,,,,
Dancer,Dancer,Claire Rosinkranz,,15/08/2025,180117,63,,Purple Monkey Recordz,,,,,,,,,,,,
Outside Dog,Own Worst Enemy,Gavin Adcock,,15/08/2025,176011,54,"country,red dirt",Thrivin Here Records/Warner Records Nashville,,,,,,,,,,,,
Passport,Why Not More? (MORE!),Coco Jones,,15/08/2025,158815,51,,High Standardz/Def Jam,,,,,,,,,,,,
Imma Shoot,Imma Shoot,Kodak Black,,15/08/2025,206985,51,,Vulture Love/Capitol Records,,,,,,,,,,,,
AI Marley,DESHAWN,YoungBoy Never Broke Again,,12/08/2025,225714,55,,Never Broke Again/Motown Records,,,,,,,,,,,,
Helium,Helium,The Chainsmokers;Anna Sofia,,15/08/2025,138857,61,,Disruptor Records/Columbia,,,,,,,,,,,,
Outlast,Racing Mount Pleasant,Racing Mount Pleasant,,15/08/2025,301744,44,art rock,R&R Digital,,,,,,,,,,,,
Tantrum,Greetings From Your Hometown (Deluxe Edition),Jonas Brothers,,12/08/2025,170083,57,,Republic Records,,,,,,,,,,,,
Pity (feat. Tanya Stephens),Luvergirl,Mahalia;Tanya Stephens,,15/08/2025,125562,40,"uk r&b,alternative r&b,reggae,dancehall,lovers rock,ragga,roots reggae",Atlantic Records UK,,,,,,,,,,,,
Wish I Didn't Love You,Wish I Didn't Love You,Love Spells,,14/08/2025,231739,52,,Loveless,,,,,,,,,,,,
Everything Burns,So Long Little Miss Sunshine,Molly Tuttle,,15/08/2025,224861,39,"bluegrass,newgrass,americana",Nonesuch,,,,,,,,,,,,
Better than the Floor,Better than the Floor,Sam Barber;Chance Peña,,14/08/2025,189502,66,country,Atlantic Records,,,,,,,,,,,,
Crush,Crush,Zara Larsson,,15/08/2025,177118,57,,Sommer House/Epic,,,,,,,,,,,,
Shake Dat,Shake Dat,Chief Keef;Mustard,,15/08/2025,100000,59,"chicago drill,drill",BMG Rights Management (US) LLC,,,,,,,,,,,,
Move Wrong (feat. VonOff1700),Move Wrong (feat. VonOff1700),Polo G;VonOff1700,,12/08/2025,139807,50,chicago drill,Capalot/Columbia Records,,,,,,,,,,,,
Desire,Desire / The Echo,TEED,,15/08/2025,289646,37,,Nice Age,,,,,,,,,,,,
Undo Me,Exit Strategy,Yana,,13/08/2025,261026,47,,Yana,,,,,,,,,,,,
Rot,Ramona,Sabrina Sterling,,15/08/2025,192592,31,,Disruptor Records/Columbia,,,,,,,,,,,,
Lesbian Of The Year,Lesbian Of The Year,The Beaches,,14/08/2025,213824,43,,The Beaches,,,,,,,,,,,,
Sliver,Sliver,Mother Soki,,14/08/2025,156586,30,,Mom+Pop,,,,,,,,,,,,
Make Believe,Make Believe,Luke Dean;Omar+,,15/08/2025,185000,64,house,Insomniac Records,,,,,,,,,,,,
Havana Bounce,Havana Bounce,Sara Landry;Alt8,,15/08/2025,271968,52,"hard techno,techno,acid techno,tekno,hardcore techno",HEKATE Records,,,,,,,,,,,,
desmaquillada,desmaquillada,Mau y Ricky,,14/08/2025,128000,47,"latin pop,reggaeton,pop urbano",Why Club Records,,,,,,,,,,,,
Useless (Without You),Useless (Without You),Elmiene,,14/08/2025,166894,54,uk r&b,Polydor Records,,,,,,,,,,,,
Through a Screen,Through a Screen,Ty Myers,,15/08/2025,261678,67,country,RECORDS Nashville / Columbia,,,,,,,,,,,,
Runnin,Recess,That Mexican OT,,15/08/2025,187692,47,,Manifest/GoodTalk/Good Money Global/Capitol Records,,,,,,,,,,,,
No More Old Men (feat. Jamila Woods),STAR LINE,Chance the Rapper;Jamila Woods,,15/08/2025,293050,52,alternative r&b,Chance The Rapper LLC,,,,,,,,,,,,
colors,the asia tour: blooming season ep,JVKE;Tilly Birds;John Michael Howell,,13/08/2025,121795,50,"thai pop,t-pop,thai rock,pop singer-songwriter",JVKE,,,,,,,,,,,,
March,March,Skullcrusher,,13/08/2025,217026,48,,Dirty Hit,,,,,,,,,,,,
Niña Mala,Niña Mala,Xavi;Omar Montes,,14/08/2025,184181,51,"corridos tumbados,corrido,corridos bélicos,sad sierreño,música mexicana,banda,sierreño,flamenco,flamenco urbano,flamenco pop",Interscope Records,,,,,,,,,,,,
Braces,Braces,fakemink,,13/08/2025,96452,61,cloud rap,-,,,,,,,,,,,,
Obsolete,Obsolete,vianova,,14/08/2025,312750,31,"metalcore,djent",Arising Empire,,,,,,,,,,,,
Ricochet,Ricochet,Rise Against,,12/08/2025,221093,36,"punk,hardcore punk",Loma Vista Recordings,,,,,,,,,,,,
NOW,〈NOW〉 (English Deluxe),SE SO NEON,,15/08/2025,253800,32,"k-rock,japanese indie",FTR,,,,,,,,,,,,
Trinkets,Trinkets,Ashnikko,,12/08/2025,116504,54,,Parlophone UK,,,,,,,,,,,,
Before You Broke My Heart,"TO YOU, BY US (VOL. 1)",Tobiahs,,15/08/2025,157097,43,stutter house,Mushroom Music,,,,,,,,,,,,
BP,BP,Luh Tyler,,13/08/2025,116985,39,,Motion Music/Atlantic,,,,,,,,,,,,
Hoes Be Mad,Hoes Be Mad,Cash Cobain;BunnaB,,13/08/2025,106274,72,"sexy drill,jersey club",Giant Music,,,,,,,,,,,,
be careful,be careful,Gabriel Jacoby,,15/08/2025,203940,53,,PULSE Records,,,,,,,,,,,,
Little Birds,Chrysalis,she's green,,15/08/2025,240450,40,"shoegaze,dream pop",Photo Finish Records,,,,,,,,,,,,
Lucky Dimes,Lucky Dimes,The Temper Trap,,13/08/2025,208028,43,,Mushroom Music,,,,,,,,,,,,
Name In A Song,Name In A Song,Lakeview,,15/08/2025,200282,32,country rock,Snakefarm,,,,,,,,,,,,
DND,DND,Reggie Becton,,15/08/2025,216521,33,,BNB Lake,,,,,,,,,,,,
QUIERO OLVIDARTE - Respuesta #1,QUIERO OLVIDARTE (Respuesta #1),Ela Taubert,,15/08/2025,162099,53,colombian pop,Universal Music Latino / Art House,,,,,,,,,,,,
Quicksand,Quicksand,The 502s,,15/08/2025,229070,29,,Big Loud Records,,,,,,,,,,,,
Everything,Everything,Luuk Van Dijk,,15/08/2025,285786,46,"tech house,house","Method 808, distributed by gamma.",,,,,,,,,,,,
The Good Ones,Blessing In Disguise,Stacey Ryan,,15/08/2025,160869,34,,Stacey Ryan,,,,,,,,,,,,
Have Your Way,Honest Conversations,Katy Nichole,,15/08/2025,182597,55,"christian,worship,ccm,christian pop",Centricity Music,,,,,,,,,,,,
Summer Skies (Love To Cry),Summer Skies (Love To Cry),Lost Frequencies;Argy;rhys from the sticks,,15/08/2025,154666,56,"tropical house,melodic techno,melodic house,techno",Epic Amsterdam,,,,,,,,,,,,
GHOST. (feat. Samara Cyn),GHOST.,Armani White;Samara Cyn,,15/08/2025,130505,48,,Armani White PS/ Def Jam,,,,,,,,,,,,
Dumb N Dumber Flo,F.L.I.N.T. (Feeling Like I'm Not Through),Rio Da Yung Og;Rmc Mike,,10/08/2025,272941,44,,M I N E Entertainment / EMPIRE,,,,,,,,,,,,
Back Outside,Back Outside,Nija,,15/08/2025,186826,39,sexy drill,Amnija LLC,,,,,,,,,,,,
Sorry Not Sorry,Sorry Not Sorry,Pool Kids,,12/08/2025,245623,3,"midwest emo,math rock",Epitaph,,,,,,,,,,,,
Coming Home Tomorrow,Coming Home Tomorrow,Dylan Marlowe,,15/08/2025,152698,41,country,Sony Music Nashville,,,,,,,,,,,,
Couldn't Get Back,Like A Ribbon (Deluxe),John Glacier;Wet,,14/08/2025,147310,24,experimental hip hop,Young,,,,,,,,,,,,
Gold Star Baby,Gold Star Baby,The Aces,,15/08/2025,165320,44,,The Aces,,,,,,,,,,,,
Piece Of My Heart,City Woman,ROSIE,,15/08/2025,196480,33,,Arista Records,,,,,,,,,,,,
Daughter,Daughter,Elizabeth Nichols,,15/08/2025,175464,49,,PULSE Records,,,,,,,,,,,,
Diamond,"Everywhere I Went, Led Me to Where I Didn't Want to Be",Tom Grennan,,15/08/2025,210317,45,,Insanity Records,,,,,,,,,,,,
Every Year,Every Year,Eliza McLamb,,13/08/2025,220253,21,,Royal Mountain Records,,,,,,,,,,,,
Wear and Tear,Wear and Tear,Everything Is Recorded;Sampha;Florence + The Machine;Danielle Ponder;Jah Wobble,,14/08/2025,189135,37,"indie soul,baroque pop,retro soul,krautrock,dub",XL Recordings,,,,,,,,,,,,
Like The Rain,Love Again,Andrea Bejar,,15/08/2025,187403,42,"latin folk,latin indie",Andrea Bejar,,,,,,,,,,,,
Amaya Papaya (No Me Digas Bebé),Amaya Papaya (No Me Digas Bebé),Alex Ponce;Zulia,,13/08/2025,166400,43,,22 Label Group LLC/Sony Music Latin,,,,,,,,,,,,
REARRANGE YOURSELF,REARRANGE YOURSELF,Makèz;Ben Westbeech;Obi Franky,,15/08/2025,221512,36,"jazz house,disco house",No Art,,,,,,,,,,,,
SEE U DANCE (feat. Rebecca Black),SEE U DANCE (feat. Rebecca Black),Joey Valence & Brae;Rebecca Black,,11/08/2025,166177,39,hyperpop,JVB Entertainment/RCA Records,,,,,,,,,,,,
Standing on Business,Codeine Cowboy,Babyface Ray;LUCKI,,15/08/2025,227595,44,cloud rap,Wavy Gang / EMPIRE,,,,,,,,,,,,
Dying Is Easy,Luca Brasi 4,Kevin Gates;NoCap,,13/08/2025,184918,49,,Artist Partner Group,,,,,,,,,,,,
You Don't Look At Me The Same,You Don't Look At Me The Same,Mimi Webb,,15/08/2025,163850,39,,Epic,,,,,,,,,,,,
Rerun,Rerun,Asha Banks,,15/08/2025,181534,44,,ASHA BANKS PS,,,,,,,,,,,,
Closing In,Closing In,Ray Bull,,15/08/2025,268725,33,,Ray Bull,,,,,,,,,,,,
Dogg 'Em,Dogg 'Em,Jozzy,,14/08/2025,154105,25,,BMG Rights Management (US) LLC,,,,,,,,,,,,
Pale Horse,Bright as Blasphemy,Chevelle,,15/08/2025,277400,53,"alternative metal,nu metal,post-grunge",BMG Rights Management (US) LLC,,,,,,,,,,,,
BIRTHDAY BEHAVIOR,BIRTHDAY BEHAVIOR,BIA;Young Miko,,15/08/2025,144000,50,trap latino,Epic,,,,,,,,,,,,
"Anyways, Whatever","Anyways, Whatever",KenTheMan,,15/08/2025,143606,38,,KenTheMan,,,,,,,,,,,,
Flyest In The Room,Flyest In The Room,Mike Dimes,,15/08/2025,152000,39,,ꓘastaway,,,,,,,,,,,,
Afters,Afters,BL3SS;Gravagerz,,15/08/2025,124545,65,,Atlantic Records UK,,,,,,,,,,,,
Johnny,Johnny,SadBoi;MOLIY,,14/08/2025,118309,42,"sexy drill,uk garage,alté",2025 LVRN Records (Love Renaissance),,,,,,,,,,,,
Jazzy Glazzy,Jazzy Glazzy,Jdr,,15/08/2025,197419,40,"techengue,latin house,tech house",This is M Records,,,,,,,,,,,,
The Wolf (Dusk),Beast,Witch Post,,14/08/2025,249386,19,,Partisan Records,,,,,,,,,,,,
Priceless,Priceless,Bryant Barnes,,15/08/2025,159986,52,,Republic Records,,,,,,,,,,,,
Miserable (feat. Jax),Meet Me At The Record Store,The Summer Set;Jax,,15/08/2025,213703,32,pop punk,Lab Records,,,,,,,,,,,,
400,RHODA,Kal Banx;Pink Siifu;reggie;Outlaw Mel,,15/08/2025,290526,35,experimental hip hop,Top Dawg Entertainment,,,,,,,,,,,,
So So Good - Live,So So Good (Live),Phil Wickham;Brandon Lake;Elevation Worship,,15/08/2025,288766,54,"worship,christian,ccm,gospel,pop worship",Fair Trade Services,,,,,,,,,,,,
