Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Which One (feat. Central Cee),Which One,Drake;Central Cee,,25/07/2025,169134,82,"rap,uk drill,drill,uk grime,grime",OVO/Republic,,,,,,,,,,,,
d£aler,d£aler,Lola Young,,25/07/2025,160666,73,,Universal-Island Records Ltd.,,,,,,,,,,,,
Ring Ring Ring,DON'T TAP THE GLASS,"Tyler, The Creator",,21/07/2025,201869,78,,Columbia,,,,,,,,,,,,
12 to 12,12 to 12,sombr,,24/07/2025,242903,84,,Warner Records,,,,,,,,,,,,
Back in the Saddle,Back in the Saddle,Luke Combs,,25/07/2025,213062,74,country,Columbia Nashville,,,,,,,,,,,,
DYNAMITE,WWP,Tyla;Wizkid,,25/07/2025,177011,57,"afrobeats,afrobeat,afropop,azonto,afroswing,afro r&b,afropiano",Epic,,,,,,,,,,,,
End Of Summer,End Of Summer,Tame Impala,,25/07/2025,432566,64,"neo-psychedelic,indie",Columbia,,,,,,,,,,,,
Miami (feat. Lil Wayne & Rick Ross),Miami,Morgan Wallen;Lil Wayne;Rick Ross,,25/07/2025,217631,66,"country,rap,hip hop,southern hip hop",Big Loud Records,,,,,,,,,,,,
Girlie-Pop!,Girlie-Pop!,Amaarae,,25/07/2025,123950,14,"alté,afrobeats,afro r&b",Golden Angel/ Interscope Records,,,,,,,,,,,,
HOT GIRL PROBLEMS,HOT GIRL PROBLEMS,The Kid LAROI,,25/07/2025,177777,62,,Columbia,,,,,,,,,,,,
It Depends (feat. Bryson Tiller),It Depends (feat. Bryson Tiller),Chris Brown;Bryson Tiller,,25/07/2025,271875,78,"r&b,trap soul",Chris Brown Entertainment/RCA Records,,,,,,,,,,,,
Eatin' Big Time,Snipe Hunter,Tyler Childers,,25/07/2025,285466,60,"country,outlaw country,red dirt,alt country,texas country,bluegrass",Hickman Holler Records/RCA Records,,,,,,,,,,,,
What Do We Ever Really Know?,What Do We Ever Really Know?,Balu Brigada,,24/07/2025,233000,42,,WM Australia,,,,,,,,,,,,
Chula Vente,Chula Vente,Luis R Conriquez;Fuerza Regida;Neton Vega,,24/07/2025,241564,81,"corrido,corridos bélicos,corridos tumbados,electro corridos,dembow belico,banda,sierreño,sad sierreño,música mexicana",K Music/Sony Music Latin,,,,,,,,,,,,
Crush,Precipice,Indigo De Souza,,25/07/2025,151867,40,,Loma Vista Recordings,,,,,,,,,,,,
Beautiful Colors - from Kaiju No. 8,Beautiful Colors - from Kaiju No. 8,OneRepublic,,25/07/2025,157151,63,soft pop,BMG Rights Management (US) LLC,,,,,,,,,,,,
Dream Night,Dream Night,Jamie xx,,21/07/2025,267693,55,,Young,,,,,,,,,,,,
