Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,GBP (feat. 21 Savage),GBP (feat. 21 Savage),Central Cee;21 Savage,,16/01/2025,154800,64,"uk drill,drill,uk grime,grime",Columbia
2,Funny Papers,Balloonerism,Mac Miller,,17/01/2025,263941,65,,Warner Records
3,Slow Motion,Slow Motion,Marshmello;Jonas Brothers,,17/01/2025,151986,67,edm,Republic Records
4,Ankles,Ankles,Lucy Dacus,,15/01/2025,191476,0,,"Lucy Dacus, under exclusive license to Geffen Records."
5,It's a Mirror,It's a Mirror,Perfume Genius,,15/01/2025,212320,41,art pop,Matador
6,Focus (feat. CLOVES),Focus (feat. CLOVES),John Summit;CLOVES,,17/01/2025,238242,68,"house,tech house",Experts Only/Darkroom Records
7,Dare U,Dare U,NLE Choppa;Imagine Dragons,,16/01/2025,141922,61,,Warner Records
8,shoreline,shoreline,chloe moriondo,,14/01/2025,244473,45,"bedroom pop,indie pop",Fueled by Ramen / Public Consumption
9,take me by the hand,take me by the hand,Oklou;Bladee,,16/01/2025,171570,32,"art pop,hyperpop,cloud rap",True Panther Records
10,Bandida,Bandida,Luis R Conriquez;Peso Pluma,,16/01/2025,165026,73,"corrido,corridos bélicos,corridos tumbados,electro corridos,dembow belico,banda,sierreño,sad sierreño,música mexicana",Kartel Music
11,Rushmere,Rushmere,Mumford & Sons,,17/01/2025,192066,50,"folk,indie folk,folk rock",Universal-Island Records Ltd.
12,Casseroles,Casseroles,Hailey Whitters,,17/01/2025,220263,39,country,Big Loud Records
13,Dandelion,Dandelion,grentperez;Ruel,,15/01/2025,202652,49,,Fast Friends
14,Keep Me Satisfied,Keep Me Satisfied,Jungle,,15/01/2025,145663,57,,Caiola Records
15,QQQQ,QQQQ,Ela Minus,,13/01/2025,203601,29,electropop,Domino Recording Co
16,BAYAMÓN,BAYAMÓN,FloyyMenor;ATM Yamil,,17/01/2025,219000,54,reggaeton chileno,FloyyMenor under exclusive license to UnitedMasters LLC
17,shake!the!city!,nolimit,Knock2;Naliya,,17/01/2025,196129,50,"bass house,edm,bassline",88rising Music
18,REBEL HEART,REBEL HEART,IVE,,13/01/2025,188266,61,k-pop,Sony Music Labels Inc.
19,Everything Changes (But I Won't),"Louder, Please",Rose Gray,,17/01/2025,231821,19,,Play It Again Sam
20,LIE DOWN..,LIE DOWN..,Saya Gray,,16/01/2025,309381,37,,Dirty Hit
21,All the Noise,All the Noise,Spacey Jane,,15/01/2025,179858,40,surf rock,Concord Records
22,Crisis Evasion,Crisis Evasion,Maz B;Avenoir,,17/01/2025,154960,44,"dark r&b,r&b,alternative r&b",Boom.Records / Avenoir appears courtesy of LISTEN TO THE KIDS
23,Not A Game - feat. Lucy Rose,Aquarius III,Logic;Lucy Rose,,17/01/2025,139327,38,ambient folk,BMG Rights Management (US) LLC
24,Happy People,Happy People,Nao,,17/01/2025,200424,30,"alternative r&b,uk r&b",RCA Records Label
25,Bovine Excision,Bovine Excision,Samia,,14/01/2025,173177,38,indie pop,Grand Jury Music
