Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Let's Do It (feat. Playboi Carti & Skooly),The Leaks,Lil Baby;Playboi Carti;Skooly,,03/12/2025,202162,77,rage rap,Quality Control Music/Motown Records,,,,,,,,,,,,
Pikito,Pikito,Ozuna;Beéle,,01/12/2025,204099,70,"reggaeton,trap latino,latin,urbano latino,latin afrobeats,pop urbano",Nibiru International/Sony Music Latin,,,,,,,,,,,,
Death Wish,Death Wish,Baby Nova,,05/12/2025,205238,59,,Artist Partner Group,,,,,,,,,,,,
Giving Her Away,Giving Her Away,Luke Combs,,05/12/2025,213897,75,country,Columbia Nashville,,,,,,,,,,,,
Proving Me Right,Proving Me Right,Tucker Wetmore,,05/12/2025,174693,74,country,Tucker Wetmore,,,,,,,,,,,,
MARCH,MARCH,GloRilla,,05/12/2025,170666,63,,CMG/Interscope Records,,,,,,,,,,,,
Deeper,Deeper,Disclosure;Leon Thomas,,04/12/2025,288159,69,house,Disorder,,,,,,,,,,,,
silent treatment,silent treatment,Freya Skye,,02/12/2025,142030,75,,Hollywood Records,,,,,,,,,,,,
DUVET,FROM FLORIDA'S FINEST DELU/XXX [for my delusional ex],SAILORR,,05/12/2025,151506,64,,BuVision,,,,,,,,,,,,
Heaven Has No Wings,Blizzard,Dove Ellis,,05/12/2025,170066,57,,Black Butter Records,,,,,,,,,,,,
Heaven,GHOST WORLD,Alison Wonderland;Ninajirachi,,05/12/2025,205693,63,"edm trap,future bass,edm,hyperpop,electroclash",EMI Recorded Music Australia Pty Ltd,,,,,,,,,,,,
Church,THAT'S SHOWBIZ BABY! THE ENCORE,JADE,,05/12/2025,220400,65,,RCA Records Label,,,,,,,,,,,,
Muse,What Makes A Girl,Esha Tewari,,05/12/2025,248876,56,,Alta Music Group,,,,,,,,,,,,
The Treadmill,People Watching (Deluxe Edition),Sam Fender,,05/12/2025,202973,69,,Polydor Records,,,,,,,,,,,,
So What?,♡,Jane Remover,,05/12/2025,246442,61,hyperpop,Jane Remover under exclusive license to deadAir,,,,,,,,,,,,
teeth,(my world is an) oyster,chloe moriondo,,05/12/2025,178887,51,"bedroom pop,indie pop",Fueled by Ramen / Public Consumption,,,,,,,,,,,,
I'm In Love with a Man,I'm In Love with a Man,Laci Kaye Booth,,05/12/2025,181846,50,,Geffen Records,,,,,,,,,,,,
Why,Why,Blxst,,05/12/2025,152210,59,,International Blxst LLC / EMPIRE,,,,,,,,,,,,
Regular,Regular,Lil Uzi Vert,,02/12/2025,146865,71,melodic rap,Roc Nation Distribution,,,,,,,,,,,,
Like That (bomboclatt) (feat. Wizkid),Auracle,Shallipopi;Wizkid,,05/12/2025,218000,72,"afrobeats,afropiano,afrobeat,amapiano,afropop,afro adura,azonto,afroswing,afro r&b",Since 93,,,,,,,,,,,,
LAS NEAS,LAS NEAS,Justin Quiles;Lenny Tavárez;Blessd,,04/12/2025,203833,69,"reggaeton,urbano latino,trap latino,argentine trap",WEA Latina,,,,,,,,,,,,
Passenger,Love & Fear,Zac Brown Band,,05/12/2025,231114,58,"country,acoustic country","Master of None, LLC",,,,,,,,,,,,
Rocky Mountain Low - feat. Koe Wetzel,Rocky Mountain Low (feat. Koe Wetzel),Corey Kent;Koe Wetzel,,05/12/2025,168333,69,"country,texas country,red dirt,country rock",RCA Records Label Nashville,,,,,,,,,,,,
risky,risky,Karri,,02/12/2025,155904,46,dark r&b,PFL,,,,,,,,,,,,
Got Away (feat. Royal & the Serpent),Got Away (feat. Royal & the Serpent),Subtronics;ILLENIUM;Royal & the Serpent,,03/12/2025,214285,59,"riddim,dubstep,edm,deathstep,bass music,dub,melodic bass,future bass",Cyclops Recordings,,,,,,,,,,,,
Zero IQ Freestyle (Never Broke Again feat. YoungBoy Never Broke Again),Zero IQ Freestyle (Never Broke Again feat. YoungBoy Never Broke Again),Never Broke Again;YoungBoy Never Broke Again,,03/12/2025,168000,67,,Never Broke Again/Motown Records,,,,,,,,,,,,
Last Drink,Last Drink,A Boogie Wit da Hoodie,,05/12/2025,156734,67,melodic rap,300 / Highbridge The Label,,,,,,,,,,,,
Above the Neck,Above the Neck,SOFIA ISELLA,,03/12/2025,225657,66,pop singer-songwriter,SOFIA ISELLA,,,,,,,,,,,,
Guardian,Guardian,Poppy,,04/12/2025,194631,63,,Sumerian Records,,,,,,,,,,,,
Can't Stop Loving You,Can't Stop Loving You,KI/KI,,05/12/2025,205106,60,"hard house,acid techno,techno,trance",slash,,,,,,,,,,,,
Thootie (feat. Tokischa),Thootie (feat. Tokischa),Ice Spice;Tokischa,,05/12/2025,151611,74,"dembow,neoperreo",10K Projects/Capitol Records,,,,,,,,,,,,
