Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,Garden Of Eden,MAYHEM,Lady Gaga,,07/03/2025,239720,75,"art pop,pop",Interscope Records
2,Handlebars (feat. Dua Lipa),Ruby,JENNIE;Dua Lipa,,07/03/2025,184698,76,"k-pop,pop",OA Entertainment/Columbia
3,Anxiety,Anxiety,Doechii,,05/03/2025,249302,79,,Top Dawg Entertainment/Capitol Records
4,I'll Be Gone,Blood On the Silver Screen,SASAMI,,07/03/2025,208591,35,,Domino Recording Co
5,Swing For The Fences,Swing For The Fences,Elton John;Brandi Carlile,,05/03/2025,202695,0,"folk,americana",EMI
6,Brinca (Acuario),ASTROPICAL,Bomba Estéreo;Rawayana;ASTROPICAL,,07/03/2025,219221,51,"latin alternative,electrocumbia,spanish-language reggae,reggae,latin afrobeats",Sony Music Latin
7,Future Tripping,PATTERNS (DELUXE),Kelsea Ballerini,,07/03/2025,148826,45,"country,pop country",Black River Entertainment
8,Sweet Dreams (feat. Miguel),Sweet Dreams (feat. Miguel),j-hope;Miguel,,07/03/2025,172952,73,"k-pop,k-rap,r&b",BIGHIT MUSIC
9,Options,Options,Cameron Whitcomb,,07/03/2025,169331,64,,Atlantic Records
10,Can You Please (feat. GloRilla),Can You Please,GELO;GloRilla,,07/03/2025,154505,52,,LiAngelo Ball (G3) PS/Def Jam
11,Enjoy Your Life,Eternal Reverie,TOKiMONSTA;Oby Onyioha,,07/03/2025,214921,49,disco,Young Art Records
12,ILY,ILY,Kapo;Myke Towers,,06/03/2025,216621,68,"latin afrobeats,reggaeton,trap latino,urbano latino",Sony Music Latin/La Industria
13,Too Pretty For Buffalo,Too Pretty For Buffalo,Baby Nova,,06/03/2025,236525,50,,"Artist Partner Group, Inc."
14,do you think you could love me?,do you think you could love me?,yung kai,,07/03/2025,236140,61,,BMG Rights Management (US) LLC
15,Keep Sweet,Tsunami Sea,Spiritbox,,07/03/2025,243522,57,"metalcore,djent,metal",Rise Records
16,Classy Girl,Classy Girl,Turbo;Gunna,,07/03/2025,173800,61,melodic rap,300 Entertainment
17,pop n olive,Pop n Olive,Samara Cyn;Sherwyn,,04/03/2025,180878,50,,VANTA Music/VANTA Records
18,Crimson and Clay,Foxes in the Snow,Jason Isbell,,07/03/2025,182520,45,"alt country,americana,roots rock,red dirt",Southeastern Records
19,Ancient Light,Ancient Light,I'm With Her;Sarah Jarosz;Aoife O'Donovan;Sara Watkins,,04/03/2025,214762,32,"newgrass,bluegrass,americana,indie folk,folk,bluegrass gospel",Rounder
20,Gethsemane,Gethsemane,Car Seat Headrest,,04/03/2025,651992,35,"midwest emo,indie rock",Matador
21,The Reaper,The Reaper,Jonah Kagen,,07/03/2025,188133,50,"pop singer-songwriter,folk pop",Arista Records
22,I Need A Doctor,More Leaks,YoungBoy Never Broke Again,,07/03/2025,153139,54,,"Never Broke Again, LLC/Motown Records"
23,Run It Up,Run It Up,Hanumankind,,06/03/2025,173502,65,"malayalam hip hop,desi hip hop",Capitol Records/Universal Music India
24,Not For Me,Not For Me,Paperboy Fabe;Jeremih,,07/03/2025,161130,0,,Paperboy Fabe
25,Skullcrusher,Skullcrusher,yeule,,03/03/2025,127500,36,art pop,Ninja Tune
26,Carry On,As Far As The Eye Can See,AJ Mitchell,,07/03/2025,176053,29,,Glasshouse Records
27,Beautiful People,Beautiful People,David Guetta;Sia,,07/03/2025,187086,81,edm,Atlantic Records UK
28,Santiago,Colorado's On Fire Again,Richy Mitch & The Coal Miners,,07/03/2025,164000,49,,Band of Wolves
29,Lose Me Like You Mean It,Second Wind,Daniel Seavey,,07/03/2025,179133,47,,Atlantic Records
30,Happy Birthday,Happy Birthday,"Black Country, New Road",,03/03/2025,246288,35,"art rock,post-rock",Ninja Tune
31,Call Me If You Miss Me,Call Me If You Miss Me,Max McNown,,07/03/2025,193753,47,,Fugitive Recordings
32,Amigos? No.,Amigos? No.,Oscar Maydon;Neton Vega,,06/03/2025,226816,75,"corrido,corridos tumbados,corridos bélicos,electro corridos,dembow belico,sad sierreño,sierreño",Rancho Humilde/Sony Music Latin
33,Edge Of The World (feat. Nu-La),Edge Of The World (feat. Nu-La),MEDUZA;Innellea;GENESI;Nu-La,,07/03/2025,173432,57,"melodic techno,melodic house,techno,progressive house,tech house,drum and bass",Insomniac Records
34,BAD DECISIONS,BAD DECISIONS,Nemzzz,,06/03/2025,139867,51,"uk drill,drill",Nemzzz
35,Satanized,Satanized,Ghost,,05/03/2025,236794,40,"metal,hard rock",Universal Music AB
36,Need U To Need Me,Need U To Need Me,Sabrina Claudio,,07/03/2025,167000,34,,SC Entertainment / EMPIRE
37,SAVIOR,SAVIOR,Johnny Huynh,,07/03/2025,150329,51,,Columbia
38,In Love Today,In Love Today,Zerb;Ape Drums;Jeremih,,07/03/2025,165135,54,"afro house,moombahton",TH3RD BRAIN
39,Pondeggi,Pondeggi,Yaeji;E Wata,,05/03/2025,279400,30,,XL Recordings
40,Footprints,Footprints,Ingrid Andress,,03/03/2025,241120,27,country,Warner Records Nashville/Atlantic
41,"Sex, Drugs & Existential Dread","Sex, Drugs & Existential Dread",Chloe Qisha,,04/03/2025,155571,43,,VLF Records / Are You Serious? Records
42,In Real Life,Clarity of Cal,Vulfpeck,,04/03/2025,177668,42,"funk,funk rock",Vulf Records
43,Rich Junkies,Rich Junkies,Bay Swag;Kyle Richh,,07/03/2025,167000,42,"sexy drill,new york drill,drill,brooklyn drill,jersey club",Nothing Bout Us Regular under exclusive license to UnitedMasters LLC
44,Fatty Fatty,Fatty Fatty,BAK Jay,,06/03/2025,138302,46,chicago drill,10K Projects
45,EROTIKA,EROTIKA,NATHY PELUSO,,05/03/2025,165161,57,,5020 Records / Sony Music Entertainment
46,CA$HED UP,CA$HED UP,BRUX;Baauer;Surya Sen,,05/03/2025,174285,19,"bass house,edm trap,afro house",LUCKYME®
47,DANCE ON ME,DANCE ON ME,Lancey Foux,,07/03/2025,141176,34,rage rap,Human Re Sources/RCA Records
48,Nightlight,A Hometown Odyssey (The Story Continues),Livingston,,07/03/2025,169842,47,,Big Up Entertainment/Livingston
49,She's So Pretty,She's So Pretty,Sedona;Claud,,04/03/2025,186000,29,"bedroom pop,indie pop",Kiss This Records
50,If You Hadn’t Been There,If You Hadn’t Been There,Dolly Parton,,07/03/2025,208789,45,"country,classic country",Butterfly Records
51,No I Ain't,Bed Of Roses,Caylee Hammack,,07/03/2025,202600,26,pop country,Capitol Nashville
52,Smoker,Smoker,Jack Van Cleaf,,05/03/2025,248745,0,,Dualtone Music Group
53,are we in love yet?,are we in love yet?,Aidan Bissett,,07/03/2025,177193,35,,10K Projects/Capitol Records
54,Back To Life (feat. Julia Church),Back To Life (feat. Julia Church),Wilkinson;Julia Church,,03/03/2025,212413,55,"drum and bass,liquid funk",Sleepless Music
55,FREE AGENTS,FREE AGENTS,Homixide Gang,,07/03/2025,192575,44,rage rap,Opium/Interscope
56,WORTH SOMETHING (feat. Big Sean & Skilla Baby),UNDEFEATED - EP,Icewear Vezzo;Big Sean;Skilla Baby,,07/03/2025,227995,32,,Iced Up Records
57,Sophia,Entries,Mack Keane,,07/03/2025,221640,49,,Mack Keane Music
58,Beta Fish,Surgery and Pleasure,Vundabar,,07/03/2025,219854,41,,Loma Vista Recordings
59,GFY,GFY,Julia Michaels,,07/03/2025,174319,34,,GFY Records
60,Limelight,Limelight,Tune-Yards,,04/03/2025,228093,24,art pop,4AD
61,Girl I Never Met,Girl I Never Met,Corey Kent,,07/03/2025,177506,29,"country,texas country",RCA Records Label Nashville
62,Speed,Speed,The Wrecks,,07/03/2025,208217,46,,Lava / Republic Records
63,Pound Town,Pound Town,Skream;Partiboi69,,07/03/2025,199064,45,"dubstep,dub,g-house,miami bass,hard house",HARD Recs
64,Basically Suicide,Basically Suicide,Rundown Spaz,,07/03/2025,106643,26,,1Shot/Rebel Music/gamma.
65,Say You're Sorry (feat. Hurricane Wisdom),Say You're Sorry (feat. Hurricane Wisdom),PayGotti;Hurricane Wisdom,,07/03/2025,121237,38,sexy drill,1ShotEnt / 4Hunnid / 10K Projects
66,think about it,think about it,Avery Lynch,,07/03/2025,249493,42,,Records V2 LLC
67,PERDIDO,PERDIDO,Gabito Ballesteros,,06/03/2025,156470,64,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,sierreño,electro corridos,banda",Los CT Records
68,Crazy,Crazy,Jordan Hawkins,,05/03/2025,275376,15,alternative r&b,Third & Hayden Recordings
69,Circle of Death,Anomaly II,Flawed Mangoes,,05/03/2025,160017,37,,"Artist Partner Group, Inc."
70,Heaven On My Mind,Heaven On My Mind,TobyMac,,07/03/2025,203450,50,"christian,christian pop,ccm,christian rock,christian hip hop,cedm,worship,christian alternative rock",Forefront (FRF)
71,abyss,abyss,chloe moriondo,,06/03/2025,129942,27,"bedroom pop,indie pop",Fueled by Ramen / Public Consumption
72,I Got Questions,Kinda Famous,KenTheMan;Kaliii,,04/03/2025,142745,0,,KenTheMan LLC
73,Too Rich,Too Rich,El Snappo,,05/03/2025,154587,35,,300 Entertainment
74,One Night Of Love,One Night Of Love,Marlon Hoffstadt,,07/03/2025,211862,56,"hard house,eurodance,trance,techno",Columbia Local
75,Gone Girl,Gone Girl,NERIAH,,07/03/2025,177551,24,,NERIAH Records
