Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
76,Gone Fishing,Hey Country Queen,Mackenzie Carpenter,,07/03/2025,226796,34,,"The Valory Music Co., LLC"
77,Fist of Flowers,This Side of the Island,Hamilton Leithauser,,07/03/2025,193313,30,,Glassnote Music LLC
78,I can do what I want,I can do what I want,Mei Semones,,04/03/2025,180606,32,"japanese indie,indie jazz",Bayonet Records
79,Impressions (feat. Madison Cunningham),Impressions (feat. Madison Cunningham),Lucius;Madison Cunningham,,04/03/2025,226626,26,,Fantasy
80,Forget U,Forget U,Dee Gatti,,07/03/2025,153600,9,"dark r&b,trap soul",Independent
81,Sometimes,Sometimes,Tiago PZK;Teddy Swims,,05/03/2025,178007,55,"argentine trap,urbano latino",WEA Latina
82,Gettin Money (feat. OJ Da Juiceman),Gettin Money,Trap Dickey;OJ Da Juiceman,,07/03/2025,144178,38,"southern hip hop,trap",Trap Dickey
83,ANOTHER DAY,ANOTHER DAY,Adrien Nunez,,07/03/2025,159832,0,,Warner Music Nashville/Warner Records
84,Choose the latter,Choose the latter,Finn Wolfhard,,06/03/2025,162635,46,,Night Shift Productions Inc.
85,Bloodline,Welcome To The Bloodline,Elle Limebear,,07/03/2025,272813,37,"christian pop,worship,christian,afrogospel",Wings Music Group
86,Need U Like,Need U Like,Dende,,05/03/2025,208249,16,,Dende PS/ Def Jam
87,Schoolyard Days,Schoolyard Days,Amble,,07/03/2025,189527,51,,Warner Records
88,Spackle,Spackle,Runnner,,06/03/2025,335413,8,,Run For Cover Records
89,Vertigo,Return to the Spectrum of Intergalactic Happiness,Zeds Dead,,07/03/2025,204590,46,"dubstep,edm",Deadbeats
90,RACER,RACER,Blusher,,05/03/2025,160724,47,,Atlantic Records
91,Landlord Member,The Michelin Man,Cookin Soul;ANKHLEJOHN,,06/03/2025,211361,17,"boom bap,underground hip hop,east coast hip hop",Cookin Soul Records & VEBLEN GOODS
92,Woman Is King,Tell My Therapist I'm Fine (Deluxe),Bishop Briggs,,07/03/2025,106985,37,,Bishop Briggs
93,Belt Boyz,More Spill,Raq baby,,05/03/2025,199480,54,chicago drill,Santa Anna
94,Animal Death Already Breathing,Animal Death Already Breathing,YHWH Nailgun,,05/03/2025,159068,8,noise rock,Many Hats Distribution
95,Beekeeping,Beekeeping,Dutch Interior,,03/03/2025,263960,0,,Fat Possum
96,Call of Duty,Achilles,Kevin Atwater,,07/03/2025,191349,38,,Mutual Friends
97,Only God Knows,Only God Knows,Struggle Jennings;Jelly Roll,,07/03/2025,246861,46,"country hip-hop,southern hip hop,country",Angels & Outlaws
98,Calling (Bless Me),Calling (Bless Me),Limoblaze,,06/03/2025,180288,43,"afrogospel,gospel r&b,gospel,christian hip hop,christian reggae,afrobeat,christian pop,christian,afrobeats",Reach Records
99,TODOTODOTODO,TODOTODOTODO,Korashe;Kfé,,07/03/2025,158431,26,neoperreo,LYRA
100,We Confront the Demon in Mysterious Ways,We Confront the Demon in Mysterious Ways,fantasy of a broken heart,,05/03/2025,293714,0,,Dots Per Inch Music
