Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,NUEVAYoL,DeBÍ TiRAR MáS FOToS,Bad Bunny,,05/01/2025,183685,91,"reggaeton,trap latino,urbano latino,latin",Rimas Entertainment LLC.
2,Are You Even Real (feat. Givēon),Are You Even Real (feat. Givēon),Teddy Swims;GIVĒON,,10/01/2025,147702,62,r&b,Warner Records
3,5 Dollar Pony Rides,5 Dollar Pony Rides,Mac Miller,,09/01/2025,222119,52,,Warner Records
4,99 (with Future),WHAM (Extended Version),Lil Baby;Future,,10/01/2025,112733,55,rap,Quality Control Music/Motown Records
5,Hypnotized (feat. Ellie Goulding),Hypnotized,Anyma;Ellie Goulding,,10/01/2025,180540,10,"melodic techno,melodic house,techno,stutter house",Anyma/Interscope Records
6,Orlando in Love,Orlando in Love,Japanese Breakfast,,07/01/2025,145093,0,,Dead Oceans
7,Westside Connection,Westside Connection,Rod Wave,,10/01/2025,164129,59,,Alamo
8,Too Many Women (feat. kwn),Too Many Women (feat. kwn),Jordan Adetunji;kwn,,09/01/2025,118933,42,"sexy drill,uk r&b",300 Entertainment
9,T&A,T&A,Blondshell,,09/01/2025,225280,12,,Mushroom Music
10,Happy Ever After You,Happy Ever After You,MacKenzie Porter;Jake Etheridge;Thelma & James,,10/01/2025,197071,56,country,Big Loud Records
11,Akanchawa,Akanchawa,Qing Madi,,10/01/2025,135000,0,"afrobeats,afro r&b,afrobeat,afropop,afro soul,afropiano,alté",Bu Vision
12,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,Bad Bunny,,05/01/2025,367725,93,"reggaeton,trap latino,urbano latino,latin",Rimas Entertainment LLC.
13,Amber Waves,Perverts,Ethel Cain,,08/01/2025,692000,54,southern gothic,Daughters of Cain Records
14,Same Old Song,Same Old Song,The Lumineers,,08/01/2025,174322,49,"folk pop,indie folk",Dualtone Music Group
15,Can A Heart Take,Can A Heart Take,Warren Zeiders,,10/01/2025,184586,44,country,Warner Records
16,Your New Favorite Song,Your New Favorite Song,Wallows,,10/01/2025,187666,46,indie,Atlantic Records
17,IT girl,IT girl,JADE,,10/01/2025,153718,52,,RCA Records Label
18,WRITHING IN THE WIND,WRITHING IN THE WIND,serpentwithfeet,,09/01/2025,84347,16,alternative r&b,Secretly Canadian
19,What It Feels Like,What It Feels Like,Aly & AJ,,10/01/2025,335233,0,,Aly & AJ
20,Heat,Heat,BabyChiefDoit,,10/01/2025,126314,0,chicago drill,"Artist Partner Group, Inc"
21,NEVER WANNA LET YOU GO,NEVER WANNA LET YOU GO,Bren Joy,,10/01/2025,200204,32,,Bren Joy
22,Scissors,Scissors,Julia Michaels;Maren Morris,,10/01/2025,145622,45,country,GFY Records
23,Drunk Love,Drunk Love,Ty Myers,,10/01/2025,240437,47,country,RECORDS Nashville / Columbia
24,Speed Freak,Speed Freak,Youth Lagoon,,08/01/2025,209851,0,"dream pop,chillwave",Fat Possum
25,I'm a never forgive kinda girl,FABLES,Banshee,,10/01/2025,125000,36,trap metal,"Banshee, in partnership with VERSION III"
26,Last Song (feat. Faouzia),Walkerworld 2.0,Alan Walker;Faouzia,,10/01/2025,153207,3,,Kreatell Music
27,Her World,Lovers Till I’m Gone,Skiifall;Jorja Smith,,10/01/2025,145733,19,,Peoples Champ
28,OFF-RAP,RIO FREE,Rio Da Yung Og,,10/01/2025,166152,37,,#Boyz Entertainment LLC / EMPIRE
29,My Love (feat. Veeze & Rylo Rodriguez),My Love (feat. Veeze & Rylo Rodriguez),EST Gee;Veeze;Rylo Rodriguez,,08/01/2025,199565,38,,CMG/Interscope Records
30,What Do Girls Do?,What Do Girls Do?,Snow Wife,,10/01/2025,166755,46,,SNOWGLOBE
31,Paranoid,Paranoid,PUP,,09/01/2025,205632,31,"midwest emo,indie punk,emo,punk",Rise Records
32,Hooked,Hooked,Franz Ferdinand,,06/01/2025,161158,34,indie rock,Domino Recording Co
33,Room On Your Shoulder,Room On Your Shoulder,Adam Melchor;Mt. Joy,,10/01/2025,206146,40,,R&R Digital
34,Adagio,Adagio,Σtella,,09/01/2025,176026,0,,Sub Pop Records
35,Breathe,Violet,Otis Kane,,10/01/2025,227973,40,"retro soul,indie r&b",Nettwerk Music Group
36,With You,With You,Dean Lewis,,09/01/2025,189806,66,,Universal Music Australia Pty. Ltd.
37,In Your Head,In Your Head,zzzahara,,08/01/2025,148863,13,,Lex Records
38,Care For You,Care For You,ANOTR,,10/01/2025,218678,41,"house,tech house",No Art
39,Tic Tic,Tic Tic,Ndotz,,06/01/2025,92344,55,,broke
40,ALOH ALOH,ALOH ALOH,Kapo,,09/01/2025,136571,66,latin afrobeats,Sony Music Latin/La Industria
41,GØD,GØD,KiNG MALA,,10/01/2025,218626,34,,Handwritten Records
42,Knockin' Heart,Knockin' Heart,Hamilton Leithauser,,08/01/2025,202780,26,,Glassnote Music LLC
43,De Guerre,De Guerre,spill tab,,10/01/2025,155180,24,bedroom pop,Spill Tab Inc.
44,Dead Man Walking.,Act 4: Atonement,Mon Rovîa,,10/01/2025,174250,43,,Nettwerk Music Group
45,Disco Nap,Disco Nap,Polo & Pan;Metronomy,,10/01/2025,193226,45,"french indie pop,french house,new rave,alternative dance",Universal Music Division Virgin Music Distribution Deal
46,Mo Problems,Life Of A Zootieee,El Snappo,,10/01/2025,132883,36,,300 Entertainment
47,Bout My Money (feat. Bossman Dlow),Bout My Money (feat. Bossman Dlow),OT7 Quanny;BossMan Dlow,,10/01/2025,191865,56,,OT7 Records
48,Can't Steal My Joy (feat. Brandon Lake),Can't Steal My Joy (feat. Brandon Lake),Josiah Queen;Brandon Lake,,10/01/2025,213751,63,"christian folk,christian,worship,christian pop,christian country,ccm",F&L Music Group
49,Hello Whiskey,Hello Whiskey,Kameron Marlowe,,10/01/2025,262355,41,country,Columbia Nashville
50,Coinstar,Coinstar,Runnner,,09/01/2025,223573,6,,Run For Cover Records
51,Come Around,Come Around,Lisa Curtis,,10/01/2025,310601,45,,SANA / LISTEN TO THE KIDS
52,Lose Control,Lose Control,Young Franco;EARTHGANG;Jafunk,,10/01/2025,156302,52,"nu disco,funky house",Universal Music Australia Pty. Ltd.
53,Another Life,Another Life,NOTD;Oaks,,10/01/2025,139388,42,stutter house,Universal Music AB
54,ReawakeR (feat. Felix of Stray Kids),ReawakeR (feat. Felix of Stray Kids),LiSA;Felix,,05/01/2025,184993,72,"anime,j-pop,j-rock",Sony Music Labels Inc.
55,High Maintenance,High Maintenance,Lil Skies,,10/01/2025,170126,34,melodic rap,Big Noise Music Group
56,Pass the Salt (feat. Vince Staples),Pass the Salt (feat. Vince Staples),Joy Crookes;Vince Staples,,10/01/2025,167010,38,alternative r&b,Speakerbox Recordings
57,Waitin' on You to Wear Off,Waitin' on You to Wear Off,Vincent Mason,,10/01/2025,221457,51,country,MCA Nashville/Music Soup/Interscope Records
58,Tears On A Pretty Face,Tears On A Pretty Face,Kyle Dion,,10/01/2025,192359,28,alternative r&b,Position Music
59,When We Kiss,When We Kiss,Olly Alexander (Years & Years),,10/01/2025,212682,0,,Polydor Records
60,Bite Marks,Bite Marks,League of Legends Music;TEYA,,07/01/2025,190138,25,,Riot Games
61,training wheels,training wheels,Madelline,,10/01/2025,210714,36,,vnclm_
62,Bed Of Roses,Bed Of Roses,Caylee Hammack,,10/01/2025,283000,15,pop country,Capitol Nashville
63,Waiting Ain't Easy,Waiting Ain't Easy,Evan Honer;Michal Leah,,10/01/2025,188374,52,,Cloverdale Records
64,Ferry Lady,Ferry Lady,Panda Bear,,06/01/2025,282042,34,neo-psychedelic,Domino Recording Co
