Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
65,Feel It,Feel It,TOKiMONSTA;PARTYOF2,,10/01/2025,227533,26,,Young Art Records
66,Don't Let Me Get Too Low,Don't Let Me Get Too Low,Silverstein,,09/01/2025,158999,35,"post-hardcore,screamo,emo,metalcore,pop punk",UNFD
67,Letter To Fam,Letter To Fam,Screwly G,,02/01/2025,164493,25,chicago drill,Grade A Productions LLC
68,Selena,Selena,LeoStayTrill,,10/01/2025,131506,53,uk drill,Flystr8 / Chosen Music Limited
69,WACUKA,WACUKA,AVAION;Sofiya Nzau,,10/01/2025,190153,75,"deep house,stutter house,afro house",RCA Local
70,Everyday,Everyday,Coco & Breezy,,10/01/2025,193658,41,,Moodswing Music
71,Confessions (feat. HEESEUNG & JAKE of ENHYPEN x Paul Russell),Confessions (feat. HEESEUNG & JAKE of ENHYPEN x Paul Russell),Flo Rida;ENHYPEN;Paul Russell,,10/01/2025,158490,1,k-pop,"Artist Partner Group, Inc."
72,By Your Side (In My Mind),By Your Side (In My Mind),Leony,,10/01/2025,177148,54,,Kontor Records
73,Look Up,Look Up,Ringo Starr;Molly Tuttle,,10/01/2025,190986,29,"bluegrass,newgrass,americana","Roccabella, Inc"
74,Slow Down,Slow Down,Zach John King,,10/01/2025,165988,47,,Sony Music Nashville
75,Oak Tree (Daydream),Oak Tree (Daydream),Arcy Drive,,10/01/2025,179810,0,,Attic Rock
76,F.E.M.M.E.,F.E.M.M.E.,Molly Grace,,10/01/2025,180053,44,,Nettwerk Music Group
77,Cuntology 101,Who Let The Dogs Out,Lambrini Girls,,10/01/2025,138533,59,"riot grrrl,queercore,punk",City Slang
78,Portrait of My Heart,Portrait of My Heart,SPELLLING,,08/01/2025,282850,30,"art pop,baroque pop",Sacred Bones Records
79,S.N.C,S.N.C,DARKSIDE,,08/01/2025,355145,35,downtempo,Matador
80,Half a Ticket,Half a Ticket,DeeBaby,,08/01/2025,198299,27,southern hip hop,Already Platinum Entertainment
81,3STAR,cupid,wolfacejoeyy,,08/01/2025,144057,25,"sexy drill,jersey club,dark r&b",Alamo
82,Wither,Wither,Sevens,,09/01/2025,180173,44,neo soul,Unday Records
83,Searchin',Searchin',Damian Lazarus;Jem Cooke,,08/01/2025,250000,36,,Crosstown Rebels
84,Loving You,Loving You,Kideko;A-Trak,,10/01/2025,149090,32,"house,disco house","Ultra Records, LLC"
85,Shovel,Shovel,Deep Sea Diver,,07/01/2025,269373,0,,Sub Pop Records
86,What's Left Of Me,What's Left Of Me,Neal Francis,,09/01/2025,222746,9,,ATO Records
87,"Uninhabitable Earth, Paragraph One","Uninhabitable Earth, Paragraph One",Dirty Projectors;David Longstreth;stargaze,,08/01/2025,232643,6,art pop,Transgressive
88,Amen,Amen,Pastor Mike Jr.,,10/01/2025,188029,47,"gospel,gospel r&b,christian hip hop",Rock City Media Group
89,me and you,me and you,gabrielle hope,,09/01/2025,92330,36,,Music Soup/Darkroom Records
90,The Church - Live,We Must Respond (Live),Bethel Music;Jenn Johnson,,10/01/2025,420019,52,"worship,christian,pop worship,ccm",Bethel Music
91,Red Rims,Red Rims,MAKAVELIGODD,,10/01/2025,153134,32,"horrorcore,trap metal",TRASH Records
92,Robbin,The One Who Did,Drexthejoint,,10/01/2025,145425,26,,Now & Forever/Santa Anna
93,Autopilot,Autopilot,NIIKO X SWAE;Twin Diplomacy,,10/01/2025,141890,27,"stutter house,house",Confession
94,Power (feat. Bipolar Sunshine),Power (feat. Bipolar Sunshine),Nostalgix;Bipolar Sunshine,,10/01/2025,178409,24,"bass house,g-house,bassline",Dim Mak Records
95,Side By Side (feat. Gardna),Side By Side (feat. Gardna),Eats Everything;Gardna,,10/01/2025,224722,22,"techno,house,tech house,drum and bass,jungle,uk garage",Three Six Zero Recordings
96,Ain't For Sale,Ain't For Sale,Muscadine Bloodline;Josh Meloy,,10/01/2025,169773,38,"country,red dirt,texas country","Stancaster Music, LLC"
97,Fanzine Made Of Flesh,Fanzine Made of Flesh,Mogwai,,07/01/2025,274229,20,"post-rock,shoegaze,math rock",Rock Action Records
98,Don't Have The Words,Nolan Taylor,Nolan Taylor,,10/01/2025,257040,26,,Atlantic Records
99,Pourin' In Nashville,Pourin' In Nashville,Redferrin,,10/01/2025,192631,30,country,Round Here Records/Warner Records Nashville
100,Walk The Plank,Childish(ish),Lane 8,,09/01/2025,285000,38,"melodic house,progressive house,deep house",This Never Happened
