Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
The Subway,The Subway,Chappell Roan,,01/08/2025,252276,85,,Chappell Roan PS/ Island,,,,,,,,,,,,
They Wanna Have Fun,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz),Metro Boomin;Travis Porter;Young Dro;Gucci Mane;DJ Spinz,,01/08/2025,224600,58,"southern hip hop,crunk,rap,trap",Metro Boomin Shared,,,,,,,,,,,,
Shy,BITE ME,Reneé Rapp,,01/08/2025,192260,65,,Interscope Records,,,,,,,,,,,,
Is It a Crime,Is It a Crime,Mariah the Scientist;Kali Uchis,,31/07/2025,181334,69,alternative r&b,Buckles Laboratories/Epic,,,,,,,,,,,,
Glum,Glum,Hayley Williams,,01/08/2025,191379,49,art pop,Post Atlantic,,,,,,,,,,,,
How To Live,How To Live,Del Water Gap,,28/07/2025,240043,46,,Mom+Pop,,,,,,,,,,,,
L.O.V.E.U (feat. hannah bahng),L.O.V.E.U (feat. hannah bahng),d4vd;hannah bahng,,01/08/2025,199923,56,,Darkroom/Interscope Records,,,,,,,,,,,,
Music for the Soul,Music for the Soul,Sam Barber,,01/08/2025,224108,70,country,Lockeland Springs/Atlantic,,,,,,,,,,,,
Fast,Fast,Demi Lovato,,01/08/2025,181586,62,,Demi Lovato PS LP5/6 – Island,,,,,,,,,,,,
PUT IT ONG,DANGEROUS SUMMER,Yeat,,01/08/2025,157611,68,rage rap,Lyfestyle Corporation/Field Trip Recordings/Capitol Records,,,,,,,,,,,,
Buenos Términos,Buenos Términos,Rauw Alejandro,,31/07/2025,150823,67,"reggaeton,urbano latino,trap latino,latin",Sony Music Latin,,,,,,,,,,,,
DRIVING,DRIVING,Eddie Benjamin,,01/08/2025,170232,45,,Epic,,,,,,,,,,,,
Refuge,Refuge / Ur Alive,ILLENIUM;Norma Jean Martine,,01/08/2025,201988,56,"melodic bass,future bass,edm","Illenium, LLC",,,,,,,,,,,,
Corazón,Volver,Sofia Kourtesis,,01/08/2025,252929,52,lo-fi house,Ninja Tune,,,,,,,,,,,,
WE DONT COUNT,WE DONT COUNT,Yves Tumor;NINA,,29/07/2025,170541,38,,Warp Records,,,,,,,,,,,,
Black swan,If Not Winter,Wisp,,01/08/2025,265293,49,shoegaze,Music Soup/Interscope Records,,,,,,,,,,,,
South Of Sanity,South Of Sanity,Zach Top,,01/08/2025,220726,67,"country,honky tonk",Leo33,,,,,,,,,,,,
This Right Here (feat. Latto),This Right Here (feat. Latto),Ciara;Jazze Pha;Latto,,28/07/2025,189871,38,,Beauty Marks Entertainment,,,,,,,,,,,,
BEAT UP CHANEL$,BEAT UP CHANEL$,Slayyyter,,01/08/2025,198937,62,hyperpop,Records/Columbia,,,,,,,,,,,,
Corazón,Babylon Club,Danny Ocean,,31/07/2025,163411,77,reggaeton,Atlantic Records,,,,,,,,,,,,
KELEBU,KELEBU,Rema,,01/08/2025,172069,65,"afrobeats,afrobeat,afropop,afropiano",Mavin Global Holdings Ltd,,,,,,,,,,,,
Heavens Sirens,Heavens Sirens,David Kushner,,31/07/2025,176974,52,,Miserable Music Group,,,,,,,,,,,,
Chevy Silverado,Chevy Silverado,Bailey Zimmerman,,01/08/2025,221698,55,country,Atlantic Records/Warner Music Nashville,,,,,,,,,,,,
Black Bear,Black Bear,"hey, nothing",,31/07/2025,226135,43,midwest emo,Music Soup/Interscope Records,,,,,,,,,,,,
clue,clue / talk,The Two Lips,,01/08/2025,219986,54,,"The Blushing Tulips, LLC PS",,,,,,,,,,,,
Gone,Gone,Aaliyah;Tank,,01/08/2025,241603,41,r&b,Blackground Records 2.0,,,,,,,,,,,,
"Shine, Glow, Glisten","Shine, Glow, Glisten",Emma Louise;Flume,,30/07/2025,190219,38,future bass,Flume,,,,,,,,,,,,
superstars,superstars,Saweetie;TWICE,,31/07/2025,144348,59,k-pop,ICY/Warner Records,,,,,,,,,,,,
I Need You,I Need You,Gucci Mane,,01/08/2025,190088,34,"southern hip hop,rap,trap",1017/Atlantic,,,,,,,,,,,,
Carried Away,THY KINGDOM COME,$uicideboy$;Night Lovell,,01/08/2025,223951,65,"emo rap,horrorcore,cloud rap,trap metal,underground hip hop",G59 Records,,,,,,,,,,,,
Know You Naked,Know You Naked,LANY,,01/08/2025,205304,59,,LANY,,,,,,,,,,,,
Bottomland,Bottomland,HARDY,,01/08/2025,184942,66,"country,country rock",Big Loud Records,,,,,,,,,,,,
Let It Be A Hallelujah,Let It Be A Hallelujah,Lauren Daigle,,01/08/2025,238000,59,"christian,worship,ccm",Centricity Music,,,,,,,,,,,,
Dime,Dime,Silvana Estrada,,29/07/2025,220084,35,"latin folk,mexican indie,latin indie",Glassnote Music LLC,,,,,,,,,,,,
Closer,Closer,Allen Stone,,29/07/2025,173342,34,retro soul,ATO Records,,,,,,,,,,,,
Trinidad,Trinidad,Geese,,29/07/2025,224824,35,art rock,Partisan / Play It Again Sam,,,,,,,,,,,,
Jetpack,Jetpack,Fleshwater,,29/07/2025,243706,39,shoegaze,Closed Casket Activities,,,,,,,,,,,,
perfectas,perfectas,Emilia,,31/07/2025,218120,58,argentine trap,Sony Music Latin,,,,,,,,,,,,
Papi,Papi,Eli Brown;GeezLy,,01/08/2025,183528,52,"techno,tech house,dembow","Ultra Records, LLC",,,,,,,,,,,,
LOVERS OR FRIENDS,LOVERS OR FRIENDS,YG;Leon Thomas,,01/08/2025,179461,55,hyphy,BMG Rights Management (US) LLC,,,,,,,,,,,,
Fine Shyt,Fine Shyt,BunnaB,,01/08/2025,160066,37,,Artist Partner Group,,,,,,,,,,,,
Tambourine,Tambourine,The Dare,,01/08/2025,209470,39,electroclash,The Dare,,,,,,,,,,,,
Sophie,Sophie,Haute & Freddy,,01/08/2025,193153,48,,P2025,,,,,,,,,,,,
Fade Blue (11pm),Fade Blue (11pm),Cautious Clay,,01/08/2025,159753,35,,Fantasy,,,,,,,,,,,,
tension,tension,Haiden Henderson,,01/08/2025,160489,55,,Lava / Republic Records,,,,,,,,,,,,
The Easy Part,The Easy Part,Gabby Barrett,,01/08/2025,216133,57,country,Warner Records Nashville,,,,,,,,,,,,
Who Made You This Sweet?,Who Made You This Sweet?,NoSo,,29/07/2025,190000,25,,Partisan Records,,,,,,,,,,,,
BABY BABY,BABY BABY,Nourished by Time,,29/07/2025,197760,28,,XL Recordings,,,,,,,,,,,,
FLOTA,CRISTIAN,Chino Pacas;Neton Vega,,01/08/2025,204100,59,"corrido,corridos tumbados,corridos bélicos,música mexicana,electro corridos,dembow belico",Streetmob Records,,,,,,,,,,,,
