Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
More to Lose,More to Lose,Miley Cyrus,,09/05/2025,275780,56,,Columbia,,,,,,,,,,,,
Even In Arcadia,Even In Arcadia,Sleep Token,,09/05/2025,268369,71,"progressive metal,metalcore",Sleep Token/RCA Records,,,,,,,,,,,,
All I Can Say,"Sincerely,",Kali Uchis,,09/05/2025,187455,69,,Capitol Records,,,,,,,,,,,,
Messy (From F1® The Movie),Messy (From F1® The Movie),ROSÉ;F1 The Album,,08/05/2025,179055,78,k-pop,Atlantic Records,,,,,,,,,,,,
Illegal,Fancy That,PinkPantheress,,09/05/2025,149666,81,bedroom pop,Warner Records,,,,,,,,,,,,
Blessings,Blessings,Calvin Harris;Clementine Douglas,,09/05/2025,219650,84,edm,Columbia,,,,,,,,,,,,
BLISS,BLISS,Tyla,,09/05/2025,160111,69,afrobeats,Epic,,,,,,,,,,,,
Superman,Superman,Morgan Wallen,,09/05/2025,188200,61,country,Big Loud Records / Mercury Records / Republic Records,,,,,,,,,,,,
Timeless (feat. Playboi Carti & Doechii) - Remix,Timeless (Remix),The Weeknd;Doechii;Playboi Carti,,09/05/2025,228000,69,rage rap,XO / Republic Records,,,,,,,,,,,,
I Like It I Like It,I Like It I Like It,Moses Sumney;Hayley Williams,,08/05/2025,250400,45,"art pop,indie soul",TUNTUM,,,,,,,,,,,,
QUE HACES,QUE HACES,Becky G;Manuel Turizo,,09/05/2025,171813,72,"reggaeton,latin,pop urbano,colombian pop",Kemosabe Records/RCA Records/Sony Music Latin,,,,,,,,,,,,
Shot Callin,Shot Callin,YoungBoy Never Broke Again,,06/05/2025,225185,73,,Never Broke Again/Motown Records,,,,,,,,,,,,
BITCHES BREW,FROM FLORIDA'S FINEST,SAILORR,,09/05/2025,151573,51,,BuVision,,,,,,,,,,,,
Won’t Be Possible,Won’t Be Possible,Tiësto;Odd Mob;Goodboys,,09/05/2025,136615,69,"edm,trance,big room,house,tech house,bass house",Atlantic Records,,,,,,,,,,,,
Who Knows,Who Knows,Mark Ambor,,09/05/2025,171124,56,,Mark Ambor LLC/Capitol Records,,,,,,,,,,,,
Hand That Feeds - From the Film Ballerina,Hand That Feeds (From the Film Ballerina),Halsey;Amy Lee,,09/05/2025,186033,56,,Columbia,,,,,,,,,,,,
Milagros,Milagros,KAROL G,,08/05/2025,235026,80,"reggaeton,latin,urbano latino",Bichota/Interscope Records,,,,,,,,,,,,
Hangin’ On,For Recreational Use Only,Blake Shelton;Gwen Stefani,,09/05/2025,206626,38,country,Wheelhouse Records,,,,,,,,,,,,
Baby Mad At Me (feat. Lil Wayne),Baby Mad At Me (feat. Lil Wayne),That Mexican OT;Lil Wayne,,09/05/2025,208000,54,"rap,hip hop",Manifest/GoodTalk/Good Money Global/Capitol Records,,,,,,,,,,,,
My God,My God,Tee Grizzley,,06/05/2025,201321,32,,300 Entertainment,,,,,,,,,,,,
Lipstick,Lipstick,Luvcat,,09/05/2025,216692,44,,Luvcat Ltd,,,,,,,,,,,,
Pretrial (Let Her Go Home),Pretrial (Let Her Go Home),Fiona Apple,,07/05/2025,238528,34,art pop,Epic,,,,,,,,,,,,
Carried Away,Equus Caballus,Men I Trust,,06/05/2025,207500,60,"bedroom pop,indie pop",Independent,,,,,,,,,,,,
say you'll never leave,say you'll never leave,jigitz,,09/05/2025,167172,36,stutter house,R&R Digital,,,,,,,,,,,,
Bittersweet,The Only Love We Know,Naomi Sharon,,09/05/2025,237210,60,afro house,OVO Sound,,,,,,,,,,,,
moody,moody,Royel Otis,,09/05/2025,175833,59,indie,Capitol Records,,,,,,,,,,,,
You Had To Be There (feat. Kenny Chesney),You Had To Be There (feat. Kenny Chesney),Megan Moroney;Kenny Chesney,,09/05/2025,220157,63,country,Columbia Nashville/Columbia Records,,,,,,,,,,,,
Wild and Clear and Blue,Wild and Clear and Blue,I'm With Her;Sarah Jarosz;Aoife O'Donovan;Sara Watkins,,09/05/2025,215206,39,"newgrass,bluegrass,americana,indie folk,folk,bluegrass gospel",Rounder,,,,,,,,,,,,
Whateverrrr,If That Makes Sense,Spacey Jane,,09/05/2025,178304,55,surf rock,Concord Records,,,,,,,,,,,,
Neverland,Neverland,Kid Cudi,,09/05/2025,236727,48,,Republic Records,,,,,,,,,,,,
S.W.M.F. - Edit,S.W.M.F.,Labrinth,,04/05/2025,146500,31,,Columbia,,,,,,,,,,,,
Walk The Way,Ridin',Cuco,,09/05/2025,191244,47,bedroom pop,"Walk The Trail, Inc, under exclusive license to Interscope Records",,,,,,,,,,,,
KLK,KLK,J Balvin;Omega,,09/05/2025,199240,52,"reggaeton,latin,mambo,merengue",Capitol Records,,,,,,,,,,,,
Crazy,Crazy,Russ,,09/05/2025,161000,48,,DIEMON,,,,,,,,,,,,
Self-Inflicted,Self-Inflicted,$uicideboy$,,09/05/2025,87377,58,"emo rap,horrorcore,cloud rap,trap metal,underground hip hop",G59 Records,,,,,,,,,,,,
Your Loving,Your Loving,Duke Dumont,,09/05/2025,204148,40,house,EMI,,,,,,,,,,,,
Circle of Trust,Pink Elephant,Arcade Fire,,09/05/2025,365426,44,"indie rock,baroque pop",Columbia,,,,,,,,,,,,
Lucy,Lucy,Mt. Joy,,09/05/2025,218151,51,,Bloomfield Records,,,,,,,,,,,,
too good,D R E A M S I C L E,Maren Morris,,09/05/2025,160866,35,country,Columbia,,,,,,,,,,,,
No Tengo Valor,No Tengo Valor,54 Ultra,,09/05/2025,182750,46,retro soul,54 Ultra,,,,,,,,,,,,
heartbreak in a bottle,the devil on my bra strap,EMELINE,,09/05/2025,134520,30,,EMELINE,,,,,,,,,,,,
HOME,CHILD OF GOD II,Forrest Frank,,09/05/2025,185881,55,"christian,christian pop,christian hip hop,worship,christian lo-fi,gospel r&b",river house records,,,,,,,,,,,,
"Beg, Steal, Borrow",Aperture,The Head And The Heart,,09/05/2025,245520,45,"indie folk,folk pop,folk",Verve Forecast,,,,,,,,,,,,
HARD TRUTHS,HARD TRUTHS,UMI;6LACK,,09/05/2025,146908,45,,"UMI, Inc./Epic Records",,,,,,,,,,,,
