Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
I Ain't Comin' Back (feat. Post Malone),I Ain't Comin' Back,Morgan Wallen;Post Malone,,18/04/2025,175271,67,country,Big Loud Records / Mercury Records / Republic Records,,,,,,,,,,,,
Bluebird,Bluebird,Lana Del Rey,,18/04/2025,242584,60,,Polydor Records,,,,,,,,,,,,
RATHER BE ALONE (feat. Halle),RATHER BE ALONE (feat. Halle),Leon Thomas;Halle,,18/04/2025,190690,44,,EZMNY Records/Motown Records,,,,,,,,,,,,
WRK,WRK,JID,,18/04/2025,194095,53,,Dreamville/Interscope Records,,,,,,,,,,,,
Headphones On,Headphones On,Addison Rae,,18/04/2025,240308,65,,Columbia,,,,,,,,,,,,
The Bell,The Bell,Yeat,,18/04/2025,164897,62,rage rap,Lyfestyle Corporation/Field Trip Recordings/Capitol Records,,,,,,,,,,,,
Hope It Hurts,Raven,Isabel LaRosa,,18/04/2025,149675,47,,Slumbo Labs/RCA Records,,,,,,,,,,,,
Tell me I never knew that,Tell me I never knew that,caroline;Caroline Polachek,,15/04/2025,279051,38,"slowcore,post-rock,art pop",Rough Trade,,,,,,,,,,,,
Before You I Just Forget,Romance (Deluxe Edition),Fontaines D.C.,,16/04/2025,236245,60,post-punk,XL Recordings,,,,,,,,,,,,
The Grinch,The Grinch,Key Glock,,18/04/2025,135167,44,,Key Glock,,,,,,,,,,,,
Man of the Year,Man of the Year,Sam Barber,,18/04/2025,228546,72,country,Lockeland Springs/Atlantic,,,,,,,,,,,,
Offa Me (feat. Victoria Monét),5ive,Davido;Victoria Monét,,18/04/2025,189071,58,"afrobeats,afrobeat,afropop,afropiano,azonto,amapiano,hiplife,afroswing,afro r&b,alternative r&b",Columbia,,,,,,,,,,,,
Forever (with Kid Cudi),Forever (with Kid Cudi),Dom Dolla;Kid Cudi,,18/04/2025,251693,54,"house,tech house",Three Six Zero Recordings/Columbia Records,,,,,,,,,,,,
UN TRIO,UN TRIO,Ryan Castro;Peso Pluma;SOG,,16/04/2025,157000,52,"reggaeton,corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,banda",AWOO Corp./Sony Music Latin,,,,,,,,,,,,
Bottom of a Bottle,Bottom of a Bottle,Julien Baker;TORRES,,15/04/2025,236022,22,"ambient folk,art pop",Matador,,,,,,,,,,,,
Lights Fall,The Pit,Arcy Drive,,18/04/2025,194387,38,,Attic Rock,,,,,,,,,,,,
Invincible - from Kaiju No. 8,Invincible (from Kaiju No. 8),OneRepublic,,18/04/2025,155495,62,soft pop,Universal Music LLC,,,,,,,,,,,,
Mic On,WHEN,Alex Isley,,18/04/2025,153962,43,"neo soul,alternative r&b",Free Lunch/Warner Records,,,,,,,,,,,,
Girls Like Girls,Girls Like Girls,Sleepy Hallow,,18/04/2025,130729,52,"brooklyn drill,new york drill",Winners Circle/RCA Records,,,,,,,,,,,,
i guess u never really cared about me,i guess u never really cared about me,Artemas,,18/04/2025,191150,56,,Artemas,,,,,,,,,,,,
BANG BANG,BANG BANG,PAWSA;Malachiii,,18/04/2025,193000,60,"tech house,house,afro house",PAWZ,,,,,,,,,,,,
Deadstick,Deadstick,King Gizzard & The Lizard Wizard,,15/04/2025,213575,2,"neo-psychedelic,psychedelic rock",KGLW (King Gizzard & the Lizard Wizard),,,,,,,,,,,,
Wish I Never Met You,Midwest Kid,Michael Marcagi;Wesley Schultz,,17/04/2025,157333,29,,Warner Records,,,,,,,,,,,,
Hope That I’m Enough,Hope That I’m Enough,Parker McCollum,,16/04/2025,285680,45,"texas country,red dirt,country",MCA Nashville,,,,,,,,,,,,
Villa Sacchetti,A Study of Losses,Beirut,,18/04/2025,206356,39,"baroque pop,indie folk",Pompeii Records,,,,,,,,,,,,
KISSING IN PUBLIC,KISSING IN PUBLIC,DESTIN CONRAD,,16/04/2025,236635,45,alternative r&b,Above Ground Ent / Destin Conrad / EMPIRE,,,,,,,,,,,,
happiness - live,happiness (live),Adrianne Lenker,,15/04/2025,208180,36,,4AD,,,,,,,,,,,,
Run It Back (feat. Caroline Byrne),Run It Back (feat. Caroline Byrne),Gorgon City;Caroline Byrne,,18/04/2025,185603,55,house,Realm Records,,,,,,,,,,,,
Goner,Goner,Mercer Henderson,,18/04/2025,162580,37,,Sad Girl Records,,,,,,,,,,,,
Cashed Out - feat. Larry June,Kush + Orange Juice 2,Wiz Khalifa;Larry June,,18/04/2025,223571,40,rap,BMG Rights Management (US) LLC,,,,,,,,,,,,
"Gallons (feat. Lil Jairmy, Sosamann, Drodi & MG Lil Bubba)",Chicken & Sauce,That Mexican OT;Sauce Walka;Lil Jairmy;Sosamann;Drodi;Mg Lil Bubba,,18/04/2025,307871,30,,STB Entertainment,,,,,,,,,,,,
I Punched Through The Wall,I Heard That Noise,"quickly, quickly",,18/04/2025,188256,43,"lo-fi,lo-fi beats,lo-fi hip hop",Ghostly International,,,,,,,,,,,,
Somebody New,Somebody New,Tunde Adebimpe,,15/04/2025,178441,0,,Sub Pop Records,,,,,,,,,,,,
Get back to me,Get back to me,Wisp,,18/04/2025,190441,7,shoegaze,Music Soup/Interscope Records,,,,,,,,,,,,
Feather In My Hat (feat. Lainey Wilson),Eagle Feather,Ian Munsick;Lainey Wilson,,18/04/2025,201653,46,"red dirt,country",Warner Records Nashville,,,,,,,,,,,,
Hija de Papi,Hija de Papi,Xavi;Neton Vega,,18/04/2025,184766,63,"corridos tumbados,corrido,corridos bélicos,sad sierreño,música mexicana,banda,sierreño,electro corridos,dembow belico",Interscope Records,,,,,,,,,,,,
Dangerous,Sinners (Original Motion Picture Soundtrack),Hailee Steinfeld;Sinners Movie,,18/04/2025,213480,56,southern gothic,Masterworks,,,,,,,,,,,,
ruin my life,ruin my life,eaJ,,18/04/2025,122131,45,,Position Music,,,,,,,,,,,,
Closer To The Floor,Closer To The Floor,Jazzy;Ankhoï,,18/04/2025,162644,63,"afro house,afro tech",Chaos,,,,,,,,,,,,
Scared In Love,Scared In Love,Pink Sweat$,,18/04/2025,184615,39,,Pink Sweat$,,,,,,,,,,,,
EGYPT,HEELS HAVE EYES,Westside Gunn,,18/04/2025,130744,43,"boom bap,alternative hip hop,jazz rap,experimental hip hop",Griselda Records,,,,,,,,,,,,
One Shot,Heartbreak Hysteria,Sawyer Hill,,18/04/2025,198380,47,,Sawyer Hill,,,,,,,,,,,,
The Bend,The Bend,Noah Rinker,,18/04/2025,242446,53,,Warner Records,,,,,,,,,,,,
I Pray,ROOTED,Victor Thompson,,18/04/2025,103882,43,"afrogospel,gospel,afrobeats",HillView,,,,,,,,,,,,
Breaking Into Acting,Breaking Into Acting,Matt Berninger;Hand Habits,,18/04/2025,214093,24,,Concord Records,,,,,,,,,,,,
En 4,En 4,Kenia Os;Anitta,,18/04/2025,186382,56,"reggaeton mexa,brazilian pop,funk pop,brazilian funk,funk carioca",Sony Music México / 5020 RCRDS,,,,,,,,,,,,
Kimpton,Kimpton,Barry Can't Swim;O'Flynn,,16/04/2025,228250,49,"jazz house,disco house",Ninja Tune,,,,,,,,,,,,
I WANNA MOVE TO BROOKLYN,Articulate Excuses,JP Saxe,,18/04/2025,180826,35,,Arista Records,,,,,,,,,,,,
The Only Love We Know,The Only Love We Know,Naomi Sharon,,17/04/2025,274951,36,afro house,OVO Sound,,,,,,,,,,,,
Rain Crow,What Did the Blackbird Say to the Crow,Rhiannon Giddens;Justin Robinson,,18/04/2025,148889,31,"folk,americana,southern gothic,bluegrass,newgrass",Nonesuch,,,,,,,,,,,,
Crowd Caffeine,Crowd Caffeine,SOFIA ISELLA,,18/04/2025,202763,53,pop singer-songwriter,Many Hats Distribution,,,,,,,,,,,,
No Love (feat. 24MMY),No Love,41;TaTa;24MMY,,18/04/2025,103384,36,"new york drill,drill,sexy drill,jersey club,brooklyn drill,philly club",Republic Records,,,,,,,,,,,,
METATRON - feat. Lola Moxom,METATRON (feat. Lola Moxom),GoldLink;Lola Moxom,,18/04/2025,163018,34,uk r&b,BMG Rights Management (US) LLC,,,,,,,,,,,,
Night Bloom,Aura Park,Dabin;Blanke;Lø Spirit,,18/04/2025,217613,43,"melodic bass,future bass,edm,chillstep,dubstep",Kannibalen Records,,,,,,,,,,,,
this is what floating feels like,this is what floating feels like,JVKE;Tori Kelly,,18/04/2025,148301,54,,JVKE,,,,,,,,,,,,
Bodies,Days Are Getting Shorter,Montell Fish,,18/04/2025,56000,48,christian lo-fi,"Lord’s Child, LLC",,,,,,,,,,,,
We Can Always Move On,We Can Always Move On,Cole Swindell,,18/04/2025,199626,47,"country,acoustic country",Warner Records Nashville,,,,,,,,,,,,
HOROSCOPE (feat. Pharrell Williams),HOROSCOPE (feat. Pharrell Williams),Jon Bellion;Pharrell Williams,,18/04/2025,237803,40,,Jon Bellion,,,,,,,,,,,,
NEVER GOING BACK,NEVER GOING BACK,nobigdyl.;Kato On The Track;Project Pat,,18/04/2025,152014,44,"christian hip hop,christian,gospel r&b,southern hip hop,crunk,gangster rap",indie tribe.,,,,,,,,,,,,
Distant Lover,Distant Lover,bLAck pARty,,16/04/2025,178085,34,"indie soul,alternative r&b",Guin Records LLC,,,,,,,,,,,,
Last Goodbye,Last Goodbye,Post Animal,,17/04/2025,251253,35,"neo-psychedelic,psychedelic rock",Post Animal,,,,,,,,,,,,
The Actor,The Actor,Folk Bitch Trio,,15/04/2025,170256,3,,Jagjaguwar,,,,,,,,,,,,
God Loves Weirdos,God Loves Weirdos,Mt. Joy,,18/04/2025,189411,41,,Bloomfield Records,,,,,,,,,,,,
Dream Machine,Paradise (Bonus Edition),Purple Disco Machine;Alison Goldfrapp,,18/04/2025,206773,27,"disco house,nu disco,funky house,house",Sweat It Out!,,,,,,,,,,,,
Comernos,Comernos,Omar Courtz;Bad Gyal,,17/04/2025,221373,77,neoperreo,Mr.305 Records / Rimas Entertainment LLC.,,,,,,,,,,,,
XOXO,XOXO,Mike Dimes,,18/04/2025,140307,41,,ꓘastaway,,,,,,,,,,,,
Apologies,PARTYLAND,Kee Nola,,18/04/2025,141968,34,emo rap,EUROVZN c/o NEWWRLD Distribution,,,,,,,,,,,,
Horror Movie,Horror Movie,Ally Salort,,18/04/2025,198522,4,,Disruptor Records/RCA Records,,,,,,,,,,,,
Sorry To Cancel,I Feel Different Every Day (Deluxe),chlothegod,,14/04/2025,160200,15,,EQT Recordings,,,,,,,,,,,,
Feel The Love,Feel The Love,andhim;AMÉMÉ;Malou;Avi Snow,,18/04/2025,183016,50,"deep house,afro house,latin house,techengue,afro tech,tribal house,organic house,melodic house",Insomniac Records,,,,,,,,,,,,
Fine Shyt,Fine Shyt,Vedo,,18/04/2025,165251,63,,New Wav Music Group,,,,,,,,,,,,
Well Well Whiskey,Well Well Whiskey,Dierks Bentley,,18/04/2025,214440,30,country,Capitol Records Nashville,,,,,,,,,,,,
"Here, Tomorrow","Here, Tomorrow",League of Legends;Kevin Penkin;Lilas,,14/04/2025,187400,16,"anime,soundtrack,j-pop",Riot Games,,,,,,,,,,,,
Humans For Toys,Superheaven,Superheaven,,18/04/2025,150569,39,"shoegaze,post-grunge",Blue Grape Music Inc.,,,,,,,,,,,,
Dios me oyó,Dios me oyó,Beéle;Marc Anthony,,17/04/2025,146705,58,"latin afrobeats,reggaeton,pop urbano,salsa,merengue,bachata,latin,latin pop",5020 Records,,,,,,,,,,,,
Day Shift,Day Shift,Trap Dickey,,18/04/2025,121599,33,,Trap Dickey,,,,,,,,,,,,
WHO WANT WAR,INTRUSIVE THOUGHTS,Mozzy;Polo G,,18/04/2025,151428,42,,Mozzy Records / EMPIRE,,,,,,,,,,,,
You On You,You On You,Tamar Braxton,,18/04/2025,189167,34,r&b,Platform Sounds,,,,,,,,,,,,
Salve,Salve,dublon;TABLE;Deza,,17/04/2025,193032,47,jazz house,Délicieuse Records,,,,,,,,,,,,
Woman Lake,Woman Lake,snuggle,,16/04/2025,164583,43,"bedroom pop,alternative r&b",Escho,,,,,,,,,,,,
Wreck My Life (feat. PUP),Wreck My Life (feat. PUP),illuminati hotties;PUP,,16/04/2025,118786,37,"riot grrrl,midwest emo,indie punk,emo,punk",Snack Shack Tracks / Hopeless Records,,,,,,,,,,,,
You You You,You You You,Lukas Graham,,18/04/2025,162113,48,dansk pop,a Capitol Records Denmark / Then We Take The World release,,,,,,,,,,,,
the f word,the f word,Ashley Cooke,,18/04/2025,152006,37,country,Big Loud Records,,,,,,,,,,,,
Hate How You Look,Hate How You Look,Josh Ross,,18/04/2025,194364,56,country,"Core Entertainment, LLC",,,,,,,,,,,,
The First and Last of the Perfect Parties,The First and Last of the Perfect Parties,Ren Martinez,,17/04/2025,248562,2,,Head Bitch Music,,,,,,,,,,,,
Te Quiero y Me Miento,Te Quiero y Me Miento,Carín León;Diego El Cigala;Chanela Clicka,,17/04/2025,153516,46,"banda,norteño,sierreño,corrido,ranchera,grupera,sad sierreño,flamenco,bolero,flamenco pop,latin jazz,tango,son cubano","Socios Music, LLC",,,,,,,,,,,,
Bailarina,Bigroom Sensual II,DJ Gigola,,15/04/2025,245905,36,techno,LIVE FROM EARTH,,,,,,,,,,,,
la jefa del triple 4,me estoy volviendo loca,EMJAY,,17/04/2025,139034,38,neoperreo,WM Mexico,,,,,,,,,,,,
MICHIGAN,MICHIGAN,Kota the Friend;Big Sean,,13/04/2025,177253,39,,Fltbys,,,,,,,,,,,,
Resume,LA Gangster: Gangsta Grillz,G Perico;DJ Drama;Kamaiyah,,18/04/2025,195728,30,"west coast hip hop,g-funk,southern hip hop,hyphy",Perico's Innerprize LLC / EMPIRE,,,,,,,,,,,,
Say That,WE NEED TO TALK: LOVE,Keri Hilson,,18/04/2025,176596,23,,Audible Art Club,,,,,,,,,,,,
bed no breakfast,bed no breakfast,Maren Morris,,18/04/2025,146226,30,country,Columbia,,,,,,,,,,,,
