Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
"Henry, come on","Henry, come on",Lana Del Rey,,11/04/2025,311269,67,,Polydor Records,,,,,,,,,,,,
There's A Rhythmn,"SABLE, fABLE",Bon Iver,,11/04/2025,316301,60,,Jagjaguwar,,,,,,,,,,,,
Blink Twice,Blink Twice,Shaboozey;Myles Smith,,11/04/2025,156721,63,,American Dogwood / EMPIRE,,,,,,,,,,,,
Legends (with Lil Baby),Legends (with Lil Baby),Quavo;Lil Baby,,11/04/2025,181448,64,,Quality Control Music/Motown Records,,,,,,,,,,,,
Dreams Don’t Die,Dreams Don’t Die,Jelly Roll,,11/04/2025,181933,55,"country hip-hop,country",BBR Music Group/Jelly Roll,,,,,,,,,,,,
NEVER ENOUGH,NEVER ENOUGH,Turnstile,,08/04/2025,287159,53,"hardcore punk,hardcore",Roadrunner Records,,,,,,,,,,,,
Blakk Rokkstar,More Chaos,Ken Carson,,11/04/2025,230923,62,rage rap,Opium/Interscope,,,,,,,,,,,,
Bout U,Bout U,Rema,,10/04/2025,163481,66,"afrobeats,afrobeat,afropop,afropiano",Mavin Global Holdings Ltd,,,,,,,,,,,,
Carita Linda,Carita Linda,Rauw Alejandro,,10/04/2025,203463,67,"reggaeton,urbano latino,trap latino,latin",Sony Music Latin/Duars Entertainment,,,,,,,,,,,,
In My Head,In My Head,Chris Lake;Amber Mark,,10/04/2025,174396,51,"tech house,house,bass house,alternative r&b,indie soul",Black Book Records,,,,,,,,,,,,
CUNTISSIMO,CUNTISSIMO,MARINA,,10/04/2025,240963,57,,BMG Rights Management (UK) Ltd.,,,,,,,,,,,,
You and I,You and I,Alice Phoebe Lou,,11/04/2025,168513,0,,Nettwerk Music Group,,,,,,,,,,,,
Rick Jameski,Rick Jameski,Tee Grizzley,,08/04/2025,158150,45,,300 Entertainment,,,,,,,,,,,,
do what i say,do what i say,kwn,,11/04/2025,188562,59,uk r&b,Not specified,,,,,,,,,,,,
Blue Strips,Blue Strips,Jessie Murph,,11/04/2025,147209,73,,Columbia,,,,,,,,,,,,
Smash It Like Belushi,Smash It Like Belushi,Green Day,,09/04/2025,168554,43,"punk,pop punk",Reprise,,,,,,,,,,,,
Boots Off,Honkytonk Hollywood,Jon Pardi,,11/04/2025,161613,50,"country,acoustic country",Capitol Records Nashville,,,,,,,,,,,,
I Hate That It's True,I Hate That It's True,Dean Lewis,,10/04/2025,161420,63,,Universal Music Australia Pty. Ltd.,,,,,,,,,,,,
CHICA ATRACTIVA,YTSQS,FloyyMenor;Lewis Somes,,11/04/2025,165600,71,reggaeton chileno,FloyyMenor under exclusive license to UnitedMasters LLC,,,,,,,,,,,,
Don't Stop,Don't Stop,Prospa,,11/04/2025,147656,68,house,CircoLoco Records,,,,,,,,,,,,
Won't Give Up,Won't Give Up,Mamalarky,,07/04/2025,171066,0,,Epitaph,,,,,,,,,,,,
Heaven Passing Through,The Price of Admission,Turnpike Troubadours,,11/04/2025,240800,66,"red dirt,texas country,alt country,outlaw country,country,americana",Bossier City Records,,,,,,,,,,,,
Lonely Night,Growing Pains,Trousdale,,11/04/2025,216805,18,,Independent Co.,,,,,,,,,,,,
Arc de Triomphe,Arc de Triomphe,Aminé,,09/04/2025,166618,49,,CLBN LLC,,,,,,,,,,,,
Show Me the Money,Show Me the Money,Ro$ama;That Mexican OT,,11/04/2025,158209,36,,600 ENT under exclusive license to UnitedMasters LLC,,,,,,,,,,,,
TENTEN,TENTEN,NOTION;Unknown T;D38,,11/04/2025,209347,58,"bassline,bass house,uk garage,drum and bass,uk drill,drill,grime,uk grime,afroswing",Polydor Records,,,,,,,,,,,,
Lachryma,Lachryma,Ghost,,11/04/2025,276400,56,"metal,hard rock",Loma Vista Recordings,,,,,,,,,,,,
All I Ever Really Wanted,All I Ever Really Wanted,Jessica Winter,,08/04/2025,188668,20,,Lucky Number,,,,,,,,,,,,
My Crazy Ways (feat. Harmony Korine),Stoner,Eyedress;Harmony Korine,,11/04/2025,103739,23,,RCA Records Label,,,,,,,,,,,,
act x: n da mornin,act x: n da mornin,4batz,,11/04/2025,131833,20,,BuVision,,,,,,,,,,,,
don't blow the candles out,don't blow the candles out,Kyle Dion,,11/04/2025,202105,0,alternative r&b,Position Music,,,,,,,,,,,,
El Chore,El Chore,Junior H;Gael Valenzuela,,10/04/2025,170259,69,"corridos tumbados,corrido,corridos bélicos,sad sierreño,sierreño,música mexicana,banda",WEA Latina,,,,,,,,,,,,
Before It's Too Late,Before It's Too Late,Sabrina Claudio,,11/04/2025,240000,33,,SC Entertainment / EMPIRE,,,,,,,,,,,,
Stay Country or Die Tryin’,Stay Country or Die Tryin',Blake Shelton,,11/04/2025,221373,53,country,Wheelhouse Records,,,,,,,,,,,,
Roll the dice,Roll the dice,Smerz,,09/04/2025,127123,29,,Escho,,,,,,,,,,,,
Forever,Forever,ZULAN,,11/04/2025,159120,71,uk garage,ZULAN,,,,,,,,,,,,
We Got Buttons,We Got Buttons,Chuckyy,,11/04/2025,166400,42,chicago drill,Santa Anna,,,,,,,,,,,,
Think Twice,Think Twice,PayGotti,,09/04/2025,143511,41,,1ShotEnt / 4Hunnid / 10K Projects,,,,,,,,,,,,
The One (feat. Jocelyn Brown),The One (feat. Jocelyn Brown),Chloé Caillet;Luke Alessi;Jocelyn Brown,,11/04/2025,182498,62,indie dance,SMiiLE Records / Disorder,,,,,,,,,,,,
I Didn’t Use To,INSIDE :,The Wrecks,,11/04/2025,279250,42,,Lava / Republic Records,,,,,,,,,,,,
Smile,Smile & Smile (Instrumental Version),Kevin Olusola,,11/04/2025,217858,27,,Masterworks,,,,,,,,,,,,
Gloria,Gloria,Kingfishr,,11/04/2025,218950,51,,B-Unique Records/Atlantic,,,,,,,,,,,,
Blue Embers,Blue Embers,The Head And The Heart,,11/04/2025,210773,28,"indie folk,folk pop,folk",Verve Forecast,,,,,,,,,,,,
stuck in these clouds,stuck in these clouds,Jervis Campbell,,11/04/2025,213627,45,"christian folk,christian pop,worship,christian alternative rock,christian",JC,,,,,,,,,,,,
Gettin' Gone (feat. Snoop Dogg),Gettin' Gone,ERNEST;Snoop Dogg,,09/04/2025,223493,50,"country,g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap",DeVille Records/Big Loud Records,,,,,,,,,,,,
Through My Teeth,Through My Teeth,Spacey Jane,,07/04/2025,205373,37,surf rock,Concord Records,,,,,,,,,,,,
La Bandera,La Bandera,Deorro;Santa Fe Klan,,10/04/2025,160006,48,"melbourne bounce,electro house,mexican hip hop,latin hip hop",Double P Records,,,,,,,,,,,,
ILMB (feat. Travis Scott),ILMB (feat. Travis Scott),Sheck Wes;Travis Scott,,09/04/2025,184630,62,rap,Cactus Jack Records/ G.O.O.D. Music/ Interscope Records,,,,,,,,,,,,
Don't Forget You Love Me,Don't Forget You Love Me,Calum Hood,,10/04/2025,217400,44,,EMI Recorded Music Australia Pty Ltd,,,,,,,,,,,,
