Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
DAISIES,SWAG,Justin Bieber,,11/07/2025,176453,90,,"JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",,,,,,,,,,,,
JUMP,JUMP,BLACKPINK,,11/07/2025,164718,89,k-pop,YG Entertainment,,,,,,,,,,,,
I CAN TELL,BELOVED,GIVĒON,,11/07/2025,195869,68,r&b,Epic/Not So Fast,,,,,,,,,,,,
What Did I Miss?,What Did I Miss?,Drake,,05/07/2025,194324,80,rap,OVO/Republic,,,,,,,,,,,,
Change Your Mind (feat. Shaboozey),Change Your Mind (feat. Shaboozey),Burna Boy;Shaboozey,,08/07/2025,148705,39,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano",Spaceship Entertainment Ltd.,,,,,,,,,,,,
IS IT,IS IT,Tyla,,11/07/2025,164206,76,afrobeats,Epic,,,,,,,,,,,,
Vodka Cranberry,Vodka Cranberry,Conan Gray,,11/07/2025,245664,70,,Republic Records,,,,,,,,,,,,
A Song To Sing,A Song To Sing,Miranda Lambert;Chris Stapleton,,11/07/2025,179928,65,"country,outlaw country",Republic Records,,,,,,,,,,,,
Taxes,Taxes,Geese,,08/07/2025,197661,50,art rock,Partisan / Play It Again Sam,,,,,,,,,,,,
mangetout,moisturizer,Wet Leg,,11/07/2025,204475,73,"indie rock,indie",Domino Recording Co,,,,,,,,,,,,
vampire diaries,vampire diaries,mgk,,11/07/2025,155347,27,,"EST 19XX, LLC, under exclusive license to Interscope Records",,,,,,,,,,,,
TUCHAT,TUCHAT,Quevedo,,07/07/2025,221224,78,,Quevedo,,,,,,,,,,,,
The Mood,The Mood,FLO;KAYTRANADA,,10/07/2025,172081,57,uk r&b,Universal-Island Records Ltd.,,,,,,,,,,,,
Way Of The World (feat. Ella Langley),I WANT MY LOVED ONES TO GO WITH ME,Noah Cyrus;Ella Langley,,11/07/2025,169026,59,country,Records/Columbia,,,,,,,,,,,,
Falling,Chemistry,Chris Lake;Bonobo;Alexis Roberts,,11/07/2025,250664,53,"tech house,house,bass house,trip hop,downtempo,nu jazz,electronic",Black Book Records,,,,,,,,,,,,
The Sofa,Bloom Baby Bloom,Wolf Alice,,15/05/2025,266306,0,indie,Columbia,,,,,,,,,,,,
The Hudson,The Hudson,The Favors;FINNEAS;Ashe,,11/07/2025,216964,58,,Darkroom Records,,,,,,,,,,,,
"Oh, Anna!","Oh, Anna!",Dasha,,11/07/2025,246746,43,,Warner Records,,,,,,,,,,,,
Bad As The Rest,Bad As The Rest,Jessie Murph,,11/07/2025,182383,54,,Columbia,,,,,,,,,,,,
Messiah (Devil's Diss),Messiah (Devil's Diss),NLE The Great,,07/07/2025,284000,45,,Warner Records,,,,,,,,,,,,
Won’t Diss You,Won't Diss You,Lil Yachty,,11/07/2025,150857,53,,Quality Control Music/Motown Records,,,,,,,,,,,,
Miami (feat. Leon Thomas),The Summer That Saved Me,Odeal;Leon Thomas,,11/07/2025,216493,70,"afroswing,alté,afro r&b,uk r&b,afrobeats,afro soul,afrobeat",2025 OVMBR/LVRN Records (Love Renaissance),,,,,,,,,,,,
my mind is a mountain,my mind is a mountain,Deftones,,10/07/2025,170941,62,"nu metal,alternative metal,rap metal,shoegaze,rock",Reprise,,,,,,,,,,,,
