Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,Born Again (feat. Doja Cat & RAYE),Born Again (feat. Doja Cat & RAYE),LISA;Doja Cat;RAYE,,06/02/2025,231174,73,k-pop,Lloud Co./RCA Records
2,Abracadabra,Abracadabra,Lady Gaga,,03/02/2025,223398,82,"art pop,pop",Interscope Records
3,Nosebleeds,Nosebleeds,Doechii,,03/02/2025,135063,63,,Top Dawg Entertainment/Capitol Records
4,One More Dance,One More Dance,d4vd,,07/02/2025,188863,2,,Darkroom/Interscope Records
5,TWENTIES,TWENTIES,GIVĒON,,07/02/2025,171955,69,r&b,Epic
6,Baby (Is it a Crime),Baby (Is it a Crime),Rema,,07/02/2025,164151,73,"afrobeats,afrobeat,afropop,afropiano",Mavin Global Holdings Ltd
7,3AM in ToKEYo,3AM in ToKEYo,Key Glock,,07/02/2025,146546,50,,Key Glock
8,Ordinary,Ordinary,Alex Warren,,07/02/2025,186964,90,,Atlantic Records
9,Lucky,Lucky,Dora Jar,,07/02/2025,148906,39,,Dora Jar PS/ Island
10,ACTIN UP,ACTIN UP,Tommy Richman,,07/02/2025,133768,71,,PULSE Records
11,ROMEO,ROMEO,Anitta,,07/02/2025,190624,57,"brazilian pop,funk pop,brazilian funk,funk carioca",Anitta
12,Dreamin (feat. Daya),Dreamin (feat. Daya),Dom Dolla;Daya,,07/02/2025,171526,63,"house,tech house",Good Fortune Records
13,blade bird,blade bird,Oklou,,05/02/2025,198587,33,"art pop,hyperpop",True Panther Records
14,In Case You Missed It,In Case You Missed It,Jordan Davis,,07/02/2025,165611,46,"country,pop country",MCA Nashville
15,Idiot Box,Sharon Van Etten & The Attachment Theory,Sharon Van Etten,,07/02/2025,250409,46,,Jagjaguwar
16,AMERICAN BEAUTY,AFTERCARE DELUXE,Nessa Barrett,,07/02/2025,196640,51,,Warner Records
17,Generation,Life Is Beautiful,Larry June;2 Chainz;The Alchemist,,07/02/2025,256105,50,"southern hip hop,rap,alternative hip hop,jazz rap,experimental hip hop,boom bap",The Freeminded Records / 2 Chainz / ALC / EMPIRE
18,Tweaker (feat. Lil Wayne) - Remix,Tweaker (Remix),GELO;Lil Wayne,,07/02/2025,218457,50,"rap,hip hop",LiAngelo Ball (G3) PS/Def Jam
19,Tell Me,Tell Me,Sonny Fodera;Clementine Douglas,,07/02/2025,197549,67,house,Solotoko
20,Making Good Time,Making Good Time,Old Dominion,,07/02/2025,167218,55,country,"Three Up Three Down, LLC/Columbia Nashville"
21,Mud,Mud,Waxahatchee,,04/02/2025,127714,46,alt country,Anti/Epitaph
22,09-May,11:11,Biig Piig,,07/02/2025,155000,34,,RCA Records Label
23,En Privado,En Privado,Xavi;Manuel Turizo,,06/02/2025,199399,85,"corridos tumbados,corrido,corridos bélicos,sad sierreño,música mexicana,banda,sierreño,reggaeton,pop urbano,latin,colombian pop",Interscope Records
24,Inside Out,Requiem (Deluxe),keshi,,07/02/2025,237609,58,,Island Records
25,CAN WE LIVE?,CAN WE LIVE?,NLE Choppa;B.O.A Mook,,07/02/2025,212850,27,,Warner Records
26,I Don't Fuck With This Beat (feat. Kodak Black),Hold Off,Nardo Wick;Kodak Black,,07/02/2025,186577,37,,Flawless Ent./RCA Records
27,LUV IN DA 6 (with Smino),WONDERLOVE,Chase Shakur;Smino,,07/02/2025,184227,42,dark r&b,Def Jam Recordings
28,The Night Before,The Night Before,The Black Keys,,07/02/2025,154612,44,"blues rock,garage rock,modern blues,rock",Easy Eye Sound/Warner Records
29,Lost Your Faith,Lost Your Faith,Ava Max,,07/02/2025,193920,50,,Atlantic Records
30,Sunday Best,Sunday Best,Coco & Breezy;Aluna,,07/02/2025,171990,44,,Noir Fever Records
31,Dumb Feeling,Dumb Feeling,Mei Semones,,04/02/2025,190264,42,"japanese indie,indie jazz",Bayonet Records
32,Sucker,Love Me Please,Chloe Slater,,04/02/2025,158667,39,,stolen juice
33,Slow Dancing In A Burning Room - Spotify Singles,Slow Dancing In A Burning Room (Spotify Singles),Riley Green,,05/02/2025,222998,58,country,Nashville Harbor
34,Heartbreakdown,Heartbreakdown,SYML,,07/02/2025,254822,34,,Nettwerk Music Group
35,WHO ARE YOU ANYWAY? (feat. Leon Thomas),WHO ARE YOU ANYWAY? (feat. Leon Thomas),Rory;Leon Thomas,,07/02/2025,178800,31,,Avant Garden
36,Keep It,Keep It,Coi Leray,,07/02/2025,173117,23,,Trendsetter Studios / Epic Records
37,Toot It Up,Toot It Up,Pardison Fontaine;Cardi B,,07/02/2025,129599,48,,Section 8 World LLC / Hitmaker Music Group
38,MÓNTATE BABY (feat. De La Rose),LYKE MIIKE (DELUXE),Myke Towers;De La Rose,,06/02/2025,205465,65,"reggaeton,trap latino,urbano latino",WEA Latina
39,Who Believes In Angels?,Who Believes In Angels?,Elton John;Brandi Carlile,,05/02/2025,313167,54,"folk,americana",EMI
40,I Wish You Would (ft. Midland),I Wish You Would (ft. Midland),Mackenzie Carpenter;Midland,,07/02/2025,173499,54,"country,honky tonk","The Valory Music Co., LLC"
41,Billy (Yeah Yeah Yeah),Billy (Yeah Yeah Yeah),Inhaler,,05/02/2025,245251,37,,Polydor Records
42,Berry Herman,Berry Herman,Richy Mitch & The Coal Miners,,07/02/2025,271624,28,,Band of Wolves
43,Kiss The Sky,Kiss The Sky,G-Eazy,,06/02/2025,202087,46,,BPG/RVG/RCA Records
44,Dumb,NSFW,Tyga;Big Sean;Flo Milli,,07/02/2025,134579,42,,Last Kings Music / EMPIRE
45,One Mind,One Mind EP,Charlotte de Witte;Amelie Lens,,06/02/2025,345605,59,"techno,acid techno,hard techno,tekno",B2B
46,Million Good Reasons,Million Good Reasons,Robin Schulz;FAST BOY,,07/02/2025,157130,54,tropical house,Warner Music Central Europe
47,WANDERER,WANDERER,serpentwithfeet,,06/02/2025,260488,16,alternative r&b,Secretly Canadian
48,Another Man's Life,Person I Knew / Another Man's Life,Mack Keane,,07/02/2025,186053,16,,Mack Keane Music
49,Sweetest Heart,Sweetest Heart,Rachel Bobbitt,,04/02/2025,196436,41,,Fantasy
50,Need To,Need To,Gavin Adcock,,07/02/2025,190830,63,"country,red dirt",Thrivin Here Records/Warner Records Nashville
51,Ain't My Old Man,Ain't My Old Man,Bryan Martin,,07/02/2025,189883,32,"country,country rock,outlaw country",Average Joes Entertainment
52,Eso Que Tú Llamas Amor,Eso Que Tú Llamas Amor,pablopablo;Ralphie Choo;Carín León,,07/02/2025,175336,46,"latin indie,banda,norteño,sierreño,corrido,ranchera,grupera,sad sierreño",pablopablo
53,Postman,Postman,Levity,,05/02/2025,191379,55,dubstep,"Ultra Records, LLC"
54,The Method,The Method,DDG,,07/02/2025,149306,41,,DDG/Epic Records
55,Crash Dummy,RIO FREE (Something Happen),Rio Da Yung Og,,07/02/2025,167655,31,,#Boyz Entertainment LLC / EMPIRE
56,i like girls,i like girls,young friend,,07/02/2025,180098,18,,Nettwerk Music Group
57,Jinx!,Jinx!,Ms* Gloom,,06/02/2025,246000,0,"electroclash,indie dance",Joon Gloom
58,Roll With The Punches,Roll With The Punches,Bryan Adams,,07/02/2025,238546,34,,Bad Records
59,It’s The Little Things,It's The Little Things,Charles Wesley Godwin,,07/02/2025,230644,53,"red dirt,country",Big Loud Records
60,SURVEY - Live,"SURVEY: Part 2, Live at St. John at Hackney",Amanda Cook,,07/02/2025,394323,27,"worship,christian,pop worship",Wings Music Group
61,COMO ESTRELLA,COMO ESTRELLA,Calle 24;Fuerza Regida,,04/02/2025,155423,58,"corrido,corridos tumbados,corridos bélicos,electro corridos,sad sierreño,música mexicana,sierreño,banda",WEA Latina
62,"Joy, Joy!","Joy, Joy!",Valerie June,,04/02/2025,181503,35,"folk,americana",Concord Records
63,Preach,Preach,TA Thomas,,05/02/2025,199669,27,,High Standardz/Def Jam
64,Ends Meet,Ends Meet,Panda Bear,,06/02/2025,201762,29,neo-psychedelic,Domino Recording Co
65,"No Loss, No Love","No Loss, No Love",Spiritbox,,07/02/2025,176466,44,"metalcore,djent,metal",Rise Records
66,What the hip hop hell is this ?,I LAY DOWN MY LIFE FOR YOU (DIRECTORS CUT),JPEGMAFIA,,03/02/2025,152878,0,"experimental hip hop,alternative hip hop,experimental",PEGGY
