Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
24,You,You,Coco Jones,,28/03/2025,172294,48,,High Standardz/Def Jam
25,Free,Free,Little Simz,,27/03/2025,215594,52,,Little Simz
26,oyster,oyster,chloe moriondo,,28/03/2025,180037,40,"bedroom pop,indie pop",Fueled by Ramen / Public Consumption
27,Listen2me,Listen2me,Foxwarren;Andy Shauf;Darryl Kissick,,25/03/2025,163573,0,,Anti/Epitaph
28,Petite Etoile,22:22,Polo & Pan;Beth Ditto,,28/03/2025,275493,55,"french indie pop,french house",Universal Music Division Virgin Music Distribution Deal
29,Unwind [Feat. Melanie Charles],Unwind [Feat. Melanie Charles],Butcher Brown;Melanie Charles,,25/03/2025,238053,16,"nu jazz,indie jazz,jazz fusion,jazz funk,acid jazz",Concord Jazz
30,**NYB**,PAID IN MEMORIES,Jessie Reyez,,28/03/2025,151067,49,,FMLY / Island Records
31,HARD LIFE (feat. Carey Washington),HARD LIFE (feat. Carey Washington),NLE Choppa;Carey Washington,,28/03/2025,222101,33,,Warner Records
32,Blue,Blue,Chezile,,28/03/2025,153101,60,,10K Projects
33,SEARCHING,SEARCHING,Isaiah Falls;Odeal,,28/03/2025,150038,43,"dark r&b,afroswing,alté,afro r&b,uk r&b,afrobeats,afro soul,afrobeat",LVRS ONLY LLC
34,Casino,Casino,Tucker Wetmore,,28/03/2025,158400,46,country,Tucker Wetmore
35,Sleep Now In The Fire - Spotify Singles,Spotify Singles,Sum 41,,28/03/2025,200440,41,"pop punk,punk,skate punk",Rise Records
36,Forever Overdose,Surrender,Amira Elfeky,,28/03/2025,193154,63,shoegaze,Anemoia/Atlantic
37,blackout 🧊,blackout 🧊,Emilia;TINI;Nicki Nicole,,25/03/2025,182282,73,"argentine trap,latin pop",Sony Music Latin
38,Worlds Apart,Worlds Apart,Marshmello;AR/CO,,28/03/2025,166487,48,edm,Joytime Collective
39,Sunshine,Falling Into Place,Aqyila,,28/03/2025,144513,39,,Sony Music Canada
40,Nothing I Need,Nothing I Need,Lord Huron,,28/03/2025,213283,49,,Mercury Records/Lord Huron
41,be with ya,10 songs,Q,,28/03/2025,178902,44,alternative r&b,Columbia
42,Lucy,Lucy,Claire Rosinkranz,,28/03/2025,161470,2,,Purple Monkey Recordz
43,DILEMMA (feat. Central Cee),RENT'S DUE,Nemzzz;Central Cee,,28/03/2025,160489,1,"uk drill,drill,uk grime,grime",Nemzzz
44,2004 - feat. buddy & the gang,2004 (feat. buddy & the gang),YG;Buddy;The Gang,,28/03/2025,242000,45,hyphy,BMG Rights Management (US) LLC
45,ON THE LOW,ON THE LOW,Rico Nasty,,26/03/2025,136120,35,,Fueled By Ramen
46,El Hombre del Equipo,Somos Leyenda,Grupo Maximo Grado;Junior H,,27/03/2025,236426,29,"corrido,corridos bélicos,norteño,sierreño,banda,corridos tumbados,sad sierreño,música mexicana",WM Mexico
47,I Hate Whiskey,I Hate Whiskey,Dylan Scott,,28/03/2025,165333,41,country,Curb Records
48,Richmond On The James,Arcadia,Alison Krauss & Union Station;Alison Krauss,,28/03/2025,207002,37,"bluegrass,newgrass,bluegrass gospel,christian country,americana",Down The Road
49,"Afterlife (from the Netflix Series ""Devil May Cry"")","Afterlife (from the Netflix Series ""Devil May Cry"")",Evanescence,,28/03/2025,249960,74,alternative metal,Netflix Music
50,Satan's Son (feat. Matt Sweeney),Satan's Son (feat. Matt Sweeney),Eyedress;Matt Sweeney,,28/03/2025,153586,21,alt country,RCA Records Label
51,Movin,Movin,Russ,,28/03/2025,123846,45,,DIEMON
52,Different Type of Love (feat. Masicka),Different Type of Love (feat. Masicka),Mahalia;Masicka,,27/03/2025,185400,42,"uk r&b,alternative r&b,dancehall,soca,riddim",Atlantic Records UK
53,Neverland (From Japan),Neverland (From Japan),Anyma;Baset,,28/03/2025,190371,2,"melodic techno,melodic house,techno,stutter house",Anyma/Interscope Records
54,Shark Brain (feat. Shygirl),Shark Brain / Dolphin,Eartheater;Shygirl,,28/03/2025,241397,0,"art pop,experimental,hyperpop",Chemical X
55,death wish,death wish,Lyn Lapid,,28/03/2025,170519,36,,Mercury Records/Republic Owned
56,5 Star - feat. Gunna,5 Star (feat. Gunna),Wiz Khalifa;Gunna,,28/03/2025,208941,61,"rap,melodic rap",BMG Rights Management (US) LLC
57,Bring Bac Act (feat. Rio Da Yung OG),Bring Bac Act (feat. Rio Da Yung OG),Rylo Rodriguez;Rio Da Yung Og,,28/03/2025,169279,44,,Glass Window Entertainment/Motown Records
58,Bad Boys,Bad Boys,Jax Jones;Rebecca Black;sooyeon,,28/03/2025,114000,37,hyperpop,Polydor Records
59,Pants,Hole In A Frame / Pants,Samia,,25/03/2025,363637,22,indie pop,Grand Jury Music
60,Livin' Wrong,Livin' Wrong,honestav,,28/03/2025,159000,42,,Rebel Music/gamma.
61,Doves,Doves,Model/Actriz,,25/03/2025,251562,15,"noise rock,industrial rock,post-punk",Dirty Hit
62,Can We Do This Over,Can We Do This Over,Naomi Sharon,,27/03/2025,208000,50,afro house,OVO Sound
63,Spanish Moss,Spanish Moss,Cole Swindell,,28/03/2025,205666,33,"country,acoustic country",Warner Records Nashville
64,Sing Of Your Love,Sing Of Your Love,ELEVATION RHYTHM;Joe L Barnes,,28/03/2025,280375,46,"worship,christian,christian pop,pop worship,afrogospel",Elevation Worship Records
65,carry me through,carry me through,Maren Morris,,27/03/2025,215640,37,country,Columbia
66,face,face,joan,,27/03/2025,281499,26,,Photo Finish Records
67,kourtney,kourtney,Slayter;Ozuna,,27/03/2025,192000,44,"trap latino,reggaeton,latin,urbano latino",SONAR LLC.
68,YN,YN,Sexyy Red;Plaqueboymax;BabyChiefDoit;LAZER DIM 700;Baby Kia,,27/03/2025,231075,41,chicago drill,Rebel/gamma.
69,Man Of The House,The Long Way Round,Maya Delilah,,28/03/2025,218349,28,,Blue Note Records
70,Cheer Me On,Cheer Me On,Malcolm Todd,,28/03/2025,257786,51,,Columbia
71,Are You In?,Are You In?,DJ Seinfeld;sogumm,,25/03/2025,157500,28,"lo-fi house,k-rap",Ninja Tune
72,terabyte,terabyte,late night drive home,,25/03/2025,255173,0,indie,Epitaph
73,Make Me Whole,For You,Yukimi;Little Dragon,,28/03/2025,175020,37,trip hop,Ninja Tune
74,Ways,Ways,Ryan Ofei;Xavier Omär,,28/03/2025,201951,31,"gospel r&b,afrogospel,gospel,christian hip hop,worship,alternative r&b",Limitless Worship
75,Going Blonde,Going Blonde,Tanner Adell,,28/03/2025,227116,0,,2025 Bad Cow LLC Under exclusive license to LVRN Records (Love Renaissance)
76,Waterfall,Portrait of My Heart,SPELLLING,,28/03/2025,172084,30,"art pop,baroque pop",Sacred Bones Records
77,LSD,LSD,Jackie Hollander;Kamino,,28/03/2025,168750,29,tech house,Experts Only
78,Am I Wrong?,Am I Wrong?,BabyChiefDoit,,26/03/2025,159990,41,chicago drill,Artist Partner Group
79,Never Need (feat. GloRilla & KARRAHBOOO),Never Need (feat. GloRilla & KARRAHBOOO),Anycia;GloRilla;KARRAHBOOO,,28/03/2025,179795,49,sexy drill,Anycia under exclusive license to UnitedMasters LLC
80,Honey,Honey,John K,,28/03/2025,142126,36,,Epic
81,Dirty Laundry,Dirty Laundry,"The Army, The Navy",,28/03/2025,156414,27,,New Gold Medal
82,Telling Lies,Dime,Serebii,,28/03/2025,131306,42,,Innovative Leisure
83,Dudu,BlownBoy RU,Ruger;Kranium,,28/03/2025,175200,51,"afrobeats,afrobeat,afropop,afropiano,afro r&b,afroswing,afro soul,dancehall,soca",Promised Land Recordings
84,Get Dumber - feat. Jeff Rosenstock,Get Dumber (feat. Jeff Rosenstock),PUP;Jeff Rosenstock,,25/03/2025,156917,27,"midwest emo,indie punk,emo,punk,folk punk,power pop",Rise Records
85,Help Ourselves (feat. Harper O'Neill),The Select (Deluxe),Ty Myers;Harper O'Neill,,28/03/2025,243799,61,country,RECORDS Nashville / Columbia
86,REVEAL YOUR FACE,REVEAL YOUR FACE,Kodoku,,26/03/2025,156861,41,"gospel r&b,dark r&b",Kodoku
87,Desire to Stay,Desire to Stay,X CLUB.,,27/03/2025,228500,46,hard house,Steel City Dance Discs
88,Control,Control,JAWNY,,27/03/2025,228100,0,bedroom pop,JAWNY
89,EDEN,EDEN,ORKID,,28/03/2025,202240,35,,WM Sweden
90,Bulletproof (feat. Jac Ross),Based on a True Story,Will Smith;Jac Ross,,28/03/2025,176234,34,,SLANG X Influence
91,3 Headed Savage (feat. VonOff1700 & Big Opp),3 Headed Savage (feat. VonOff1700 & Big Opp),BloodHound Q50;VonOff1700;Big Opp,,25/03/2025,142824,35,"chicago drill,drill",Signal Records/Columbia
92,Good Company,Good Company,The Walters,,28/03/2025,205598,37,,The Walters under exclusive license to Amuseio AB
93,Household,Household,Lauren Alaina,,28/03/2025,171813,33,country,Big Loud Records
94,leech,PRETTY EVIL,Ellise,,28/03/2025,153931,32,,Hell Bent LLC
95,Tweakers (feat. Mello Buckzz),Tweakers (feat. Mello Buckzz),Babyfxce E;Mello Buckzz,,26/03/2025,132853,33,"chicago drill,footwork",Atlantic Records
96,Winona,Lonely People With Power,Deafheaven,,28/03/2025,448000,45,"black metal,shoegaze,post-rock",Roadrunner Records
97,Girls Trip,OI!,YT,,28/03/2025,136159,46,,G2G
98,PASARÁ EL TIEMPO,PASARÁ EL TIEMPO,Cami,,25/03/2025,226516,23,latin pop,Universal Music Chile
99,Sunny,Sunny,Disco Lines;GUDFELLA,,28/03/2025,154354,53,stutter house,Good Good Records / GUDFELLA appears courtesy of Thrive Music
100,Living ain't easy,Living ain't easy,Henrik,,28/03/2025,184899,35,"christian folk,folk pop",North main 2025
