Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,twilight zone,eternal sunshine deluxe: brighter days ahead,Ariana Grande,,28/03/2025,198320,71,pop,Republic Records
2,FOMDJ,MUSIC - SORRY 4 DA WAIT,Playboi Carti,,25/03/2025,200253,70,rage rap,AWGE/Interscope Records
3,Stained,I Said I Love You First...,Selena Gomez,,28/03/2025,209838,50,,SMG Music LLC & Friends Keep Secrets under exclusive license to Interscope Records
4,Bullseye (with Hozier),Forever Is A Feeling,Lucy Dacus;Hozier,,28/03/2025,203490,57,,"Lucy Dacus, under exclusive license to Geffen Records."
5,Sunshine & Rain...,Sunshine & Rain...,Kali Uchis,,27/03/2025,197796,58,,Capitol Records
6,light years (feat. Inéz),light years (feat. Inéz),John Summit;Inéz,,26/03/2025,220978,69,"house,tech house",Experts Only/Darkroom Records
7,Vanish Mode,Deep Thoughts,Lil Durk,,28/03/2025,123154,58,"chicago drill,drill",Alamo
8,DALLAX,DALLAX,Feid;Ty Dolla $ign,,28/03/2025,150370,58,"reggaeton,urbano latino,trap soul",Universal Music Latino
9,Bar None,Bar None,Jordan Davis,,28/03/2025,173064,69,"country,pop country",MCA Nashville
10,What Are You Waiting For,What Are You Waiting For,d4vd,,27/03/2025,144424,0,,Darkroom/Interscope Records
11,UNLIMITED (FT PLAYBOI CARTI),OMW2 REXDALE,NAV;Playboi Carti,,28/03/2025,208880,56,"melodic rap,rage rap",XO / Republic Records
12,Caroline,RUSHMERE,Mumford & Sons,,28/03/2025,200373,59,"folk,indie folk,folk rock",Universal-Island Records Ltd.
13,Up From the Bottom,Up From the Bottom,Linkin Park,,27/03/2025,183223,70,"nu metal,rap metal,rock,alternative metal",Warner Records
14,Soft Girl Era,Soft Girl Era,Ari Lennox,,26/03/2025,186482,46,"alternative r&b,neo soul",Interscope Records
15,Need You Around,Backflips in a Restaurant,grentperez,,28/03/2025,165522,47,,Fast Friends
16,Clean Heart,Clean Heart,Perfume Genius,,25/03/2025,232866,25,art pop,Matador
17,Toxic,Toxic,Chris Lake;Ragie Ban,,28/03/2025,164244,66,"tech house,house,bass house",Black Book Records/Astralwerks
18,GODSTAINED,GODSTAINED,Quadeca,,25/03/2025,205250,44,,X8 Music
19,YIPPEE-KI-YAY. (feat. T-Pain),YIPPEE-KI-YAY. (feat. T-Pain),Kesha;T-Pain,,27/03/2025,212608,49,,Kesha Records
20,Amber (with Omar Courtz),LOS FLAVORZ,Dei V;Omar Courtz,,27/03/2025,186791,59,"trap latino,urbano latino",Encore Recordings
21,Hide It Away,More,Wallows,,28/03/2025,169468,45,indie,Atlantic Records
22,Mountain,Earthstar Mountain,Hannah Cohen,,28/03/2025,239895,47,,Bella Union
23,She Hurts Like Tequila,She Hurts Like Tequila,Cody Johnson;Carín León,,28/03/2025,202560,57,"texas country,country,red dirt,banda,norteño,sierreño,corrido,ranchera,grupera,sad sierreño",CoJo Music/Warner Records Nashville
