Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Gorgeous,Vie,Doja Cat,,26/09/2025,266021,73,,Kemosabe Records/RCA Records,,,,,,,,,,,,
So Easy (To Fall In Love),The Art of Loving,Olivia Dean,,26/09/2025,169000,95,pop soul,PLG - Capitol,,,,,,,,,,,,
TIT FOR TAT,TIT FOR TAT,Tate McRae,,26/09/2025,177208,85,,RCA Records Label,,,,,,,,,,,,
Play This Song (feat. Anderson .Paak),Here For It All,Mariah Carey;Anderson .Paak,,26/09/2025,224788,60,christmas,MARIAH under exclusive license to gamma.,,,,,,,,,,,,
Walk Down (feat. 21 Savage),UY SCUTI,Young Thug;21 Savage,,26/09/2025,160533,61,"rap,melodic rap,trap",300 Entertainment,,,,,,,,,,,,
Cobra,Getting Killed,Geese,,26/09/2025,185152,71,art rock,Partisan / Play It Again Sam,,,,,,,,,,,,
Don’t Do Too Much,AM I THE DRAMA? (Bonus Edition),Cardi B,,23/09/2025,141376,49,,Atlantic Records,,,,,,,,,,,,
One of the Greats,One of the Greats,Florence + The Machine,,24/09/2025,392098,57,baroque pop,Florence + The Machine,,,,,,,,,,,,
Besito en la Frente,Besito en la Frente,Rauw Alejandro,,25/09/2025,161622,63,"reggaeton,urbano latino,trap latino,latin",Sony Music Latin,,,,,,,,,,,,
NOT OK,NOT OK,5 Seconds of Summer,,24/09/2025,206040,64,,5 Seconds Of Summer,,,,,,,,,,,,
Call For You,The Hard Way,Cameron Whitcomb,,26/09/2025,218810,58,,Atlantic Records,,,,,,,,,,,,
one2three (feat. Leven Kali),one2three (feat. Leven Kali),Disclosure;Chris Lake;Leven Kali,,26/09/2025,248578,56,"house,tech house,bass house",Disorder,,,,,,,,,,,,
Dracula,Dracula,Tame Impala,,26/09/2025,205308,84,"neo-psychedelic,indie",Columbia,,,,,,,,,,,,
Come Find Me (with Clementine Douglas),Come Find Me (with Clementine Douglas),MK;Clementine Douglas,,26/09/2025,207149,69,house,Columbia,,,,,,,,,,,,
Second Sleep,Second Sleep / Star Eyes,Magdalena Bay,,26/09/2025,288453,59,,Mom+Pop Music,,,,,,,,,,,,
Vacancy,Vacancy,Ari Lennox,,26/09/2025,183489,55,"alternative r&b,neo soul",Interscope Records,,,,,,,,,,,,
Stay (If You Wanna Dance),Stay (If You Wanna Dance),Myles Smith,,26/09/2025,185999,77,,RCA Records Label,,,,,,,,,,,,
Country Country,COUNTRY! COUNTRY!,HARDY,,26/09/2025,238030,53,"country,country rock",Big Loud Records,,,,,,,,,,,,
Sideways,Sideways,Daffo,,23/09/2025,179960,33,,Concord Records,,,,,,,,,,,,
Moon (Feat. Bon Iver),Moon,Daniel Caesar;Bon Iver,,23/09/2025,317000,65,,Republic Records,,,,,,,,,,,,
SMILE BODY PRETTY FACE (feat. Kodak Black & YG),SMILE BODY PRETTY FACE (feat. Kodak Black & YG),Ty Dolla $ign;Kodak Black;YG,,26/09/2025,281332,51,"trap soul,hyphy",Atlantic Records,,,,,,,,,,,,
Is You Coo,Is You Coo,Sexyy Red,,22/09/2025,151201,47,,Rebel/gamma.,,,,,,,,,,,,
Blue Moon,Midnight Sun,Zara Larsson,,26/09/2025,182055,67,,Sommer House/Epic,,,,,,,,,,,,
Euro Flow,Euro Flow,HoneyLuv;IDRIS,,26/09/2025,185654,45,"afro house,tech house",Sound International,,,,,,,,,,,,
RU MOR,FERXXO VOL X: Sagrado,Feid,,09/06/2025,146240,63,"reggaeton,urbano latino",Universal Music Latino,,,,,,,,,,,,
Tropics,bones,Rainbow Kitten Surprise,,26/09/2025,293020,59,,Atlantic Records,,,,,,,,,,,,
GMFU,GMFU,Syd,,26/09/2025,115207,47,alternative r&b,Free Lunch/Warner Records,,,,,,,,,,,,
By My Side,Snack Pack Vol. 1,Levity,,24/09/2025,222978,54,dubstep,"Ultra Records, LLC",,,,,,,,,,,,
Baddie Baddie,Baddie Baddie,Ice Spice,,26/09/2025,120784,69,,10K Projects/Capitol Records,,,,,,,,,,,,
Better Man Than Me,Better Man Than Me,Marshmello;Hudson Westbrook,,26/09/2025,157603,57,"edm,country",Mercury Records,,,,,,,,,,,,
On A River,About A Woman (Deluxe),Thomas Rhett,,26/09/2025,213599,36,"country,acoustic country,pop country",The Valory Music Co.,,,,,,,,,,,,
Wild Guess,Wild Guess,Ruel,,25/09/2025,166524,50,,Giant Music,,,,,,,,,,,,
Dionysus,King Of Terrors,PRESIDENT,,26/09/2025,182571,58,metalcore,King Of Terrors,,,,,,,,,,,,
Company (with Orion Sun),Company (with Orion Sun),Hether;Orion Sun,,26/09/2025,202355,39,"bedroom pop,alternative r&b",R&R Digital,,,,,,,,,,,,
