Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,Call Me When You Break Up (with Gracie Abrams),Call Me When You Break Up (with Gracie Abrams),Selena Gomez;benny blanco;Gracie Abrams,,20/02/2025,126831,64,,SMG Music LLC & Friends Keep Secrets under exclusive license to Interscope Records
2,Revolving door,So Close To What,Tate McRae,,21/02/2025,180032,84,,RCA Records Label
3,ExtraL (feat. Doechii),ExtraL (feat. Doechii),JENNIE;Doechii,,21/02/2025,167754,71,k-pop,OA Entertainment/Columbia
4,LV Bag (feat. j-hope of BTS & Pharrell Williams),LV Bag (feat. j-hope of BTS & Pharrell Williams),Don Toliver;Speedy;j-hope;Pharrell Williams,,21/02/2025,182603,63,"k-pop,k-rap",Cactus Jack / Atlantic
5,..THUS IS WHY ( I DON’T SPRING 4 LOVE ),SAYA,Saya Gray,,21/02/2025,209100,57,,Dirty Hit
6,Taste,Taste,Coco Jones,,21/02/2025,164645,48,,High Standardz/Def Jam
7,Little Bit Closer,People Watching,Sam Fender,,21/02/2025,234560,65,,Polydor Records
8,It's Amazing To Be Young,It's Amazing To Be Young,Fontaines D.C.,,21/02/2025,210803,53,post-punk,XL Recordings
9,Update,Update,Burna Boy,,19/02/2025,207865,52,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano",Spaceship/ Bad Habit/Atlantic Records
10,La Plena - W Sound 05,La Plena (W Sound 05),W Sound;Beéle;Ovy On The Drums,,20/02/2025,150001,79,"latin afrobeats,reggaeton,pop urbano",WEA Latina
11,Fale Então,Fale Então,Marshmello;Trueno,,19/02/2025,116307,61,"edm,argentine trap",Sony Music Latin
12,Trappa Rappa,Trappa Rappa,Quavo,,21/02/2025,137653,54,,Quality Control Music/Motown Records
13,Too Much,Too Much,Dove Cameron,,21/02/2025,171335,71,,Disruptor Records/Columbia
14,Dream Woman,Dream Woman,Suki Waterhouse,,19/02/2025,248601,50,,Sub Pop Records
15,Malibu,Malibu,Mumford & Sons,,18/02/2025,242946,43,"folk,indie folk,folk rock",Universal-Island Records Ltd.
16,"3,2,1","3,2,1",Tucker Wetmore,,21/02/2025,158333,56,country,Tucker Wetmore
17,Mr. Predictable,Mr. Predictable,Avery Anna,,21/02/2025,201133,49,,Warner Records Nashville
18,Coffin Change,Coffin Change,Wallows,,20/02/2025,185361,44,indie,Atlantic Records
19,Next 2 You (feat. DC The Don),Nothings Ever Good Enough II,iann dior;DC The Don,,21/02/2025,163555,38,"melodic rap,rage rap",Big Noise Music Group
20,Butterflies (with Green Velvet),Butterflies (with Green Velvet),Jamie Jones;Green Velvet,,21/02/2025,169411,27,"tech house,house,deep house,techno,chicago house",Sweat It Out
21,From The Stars,From The Stars EP,Mochakk;The Rah Band,,21/02/2025,260156,43,"tech house,house",Ninja Tune
22,You Killed The Music,You Killed The Music,Debbii Dawson,,21/02/2025,186020,45,,Debbii Dawson Music/RCA Records
23,ORIGAMI,"SINK NOW, SWIM LATER",SIENNA SPIRO,,21/02/2025,182000,56,,Liberty
24,Nobody Likes Your Girlfriend,Nobody Likes Your Girlfriend,Nate Smith;HARDY,,21/02/2025,181870,57,"country,country rock",RCA Records Label Nashville
25,I DON'T WANNA KNOW,CHASE,Chase Matthew,,21/02/2025,184551,54,"country,country hip-hop",Chase Matthew Music/Warner Records Nashville
26,Higher Love (feat. Natania and Subhi) - from the Smurfs Movie Soundtrack,Higher Love (feat. Natania and Subhi) [from the Smurfs Movie Soundtrack],DESI TRILL;DJ Khaled;Cardi B;Natania;Subhi,,21/02/2025,176674,41,"hindi hip hop,desi hip hop,bhangra,indian indie,hindi indie","DESI TRILL, under exclusive license to Roc Nation Distribution"
27,Baddie Decisions,Baddie Decisions,Lay Bankz,,21/02/2025,124397,38,jersey club,Artist Partner Group
28,30 Something,Jupiter,Nao,,21/02/2025,210975,41,"alternative r&b,uk r&b",RCA Records Label
29,Pardon Me,Pardon Me,Joey Bada$$,,18/02/2025,240000,43,"hip hop,rap,jazz rap",Columbia
30,HBK (feat. 21 Savage),WICK,Nardo Wick;21 Savage,,21/02/2025,229021,0,,Flawless Ent./RCA Records
31,TEETHSUCKER (YEA3x),TEETHSUCKER (YEA3x),Rico Nasty,,20/02/2025,138666,34,,Fueled By Ramen
32,Gumshoe (Dracula From Arkansas),Gumshoe (Dracula From Arkansas),Youth Lagoon,,18/02/2025,246793,0,"dream pop,chillwave",Fat Possum
33,No Front Teeth,No Front Teeth,Perfume Genius;Aldous Harding,,19/02/2025,286480,30,"art pop,ambient folk",Matador
34,Movie Scene,Movie Scene,grentperez,,21/02/2025,180661,47,,Fast Friends
35,hate it,hate it,chloe moriondo,,19/02/2025,161559,0,"bedroom pop,indie pop",Fueled by Ramen / Public Consumption
36,NIMODO QUE NO,MIJA NO TE ASUSTES,Clave Especial;Luis R Conriquez,,20/02/2025,131793,67,"corrido,corridos tumbados,corridos bélicos,música mexicana,electro corridos,dembow belico,banda,sierreño,sad sierreño",WEA Latina
37,bunda 🍑,bunda 🍑,Emilia;Luísa Sonza,,20/02/2025,223855,68,"argentine trap,brazilian pop,funk pop,brazilian funk",Sony Music Latin
38,All I Forgot (feat. Joe Jonas),All I Forgot,Ashley Cooke;Joe Jonas,,21/02/2025,178326,48,country,Big Loud Records
39,If You Stay,Sad Songs for the Soul,Kameron Marlowe,,21/02/2025,254429,40,country,Columbia Nashville
40,Let Things Go,Let Things Go,Caamp,,18/02/2025,180000,39,"indie folk,folk",Mom+Pop
41,Time Out,Time Out,41;TaTa,,17/02/2025,110896,31,"new york drill,drill,sexy drill,jersey club,brooklyn drill",Republic Records
42,Forever Yung,Forever Yung,Yung Lean,,21/02/2025,200370,43,cloud rap,Yung Lean
43,Lizard,Lizard,Samia,,18/02/2025,200819,29,indie pop,Grand Jury Music
44,tonight,tonight,nate sib,,17/02/2025,105205,54,"hyperpop,electroclash",Universal Records
45,My Heart Goes (feat. Oaks),My Heart Goes (feat. Oaks),Sam Feldt;Oaks,,21/02/2025,133714,46,"tropical house,stutter house",Sony Music Entertainment
46,The Mirror,The Mirror,Polo & Pan,,21/02/2025,173120,41,"french indie pop,french house",Universal Music Division Virgin Music Distribution Deal
47,Are U Still,Are U Still,Leven Kali,,21/02/2025,230782,42,,Def Jam Recordings
48,Te Metiste - Spotify Single,Te Metiste - Spotify Single,Gabito Ballesteros,,19/02/2025,202816,43,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,sierreño,electro corridos,banda",Los CT Records
49,Overqualified,BLOOM,Durand Bernarr,,18/02/2025,318121,48,"neo soul,alternative r&b",Durand Bernarr / DSING RECORDS
50,You Happened,You Happened,Knox,,21/02/2025,150560,35,,Atlantic Records
51,Franklin House,Franklin House,Brenn!,,21/02/2025,290563,2,,Darkroom Records/Westward Recordings
52,Time To Make A Change (feat. MonoNeon),The Beginning,Mike Posner;MonoNeon,,21/02/2025,221314,30,,Arista
53,Body Language (feat. Sasha Keable),Body Language (feat. Sasha Keable),Ezra Collective;Sasha Keable,,17/02/2025,242530,51,"jazz rap,indie soul,nu jazz,uk r&b",Partisan Records
54,Fogata (Leo),ASTROPICAL,Bomba Estéreo;Rawayana;ASTROPICAL,,20/02/2025,220210,0,"latin alternative,electrocumbia,spanish-language reggae,reggae,latin afrobeats",Sony Music Latin
55,I'd Be Delighted,I'd Be Delighted,Waylon Wyatt,,21/02/2025,226640,43,country,Music Soup/Darkroom Records
56,Praying For Your Downfall,Praying For Your Downfall,Jensen McRae,,19/02/2025,185080,0,,Dead Oceans
57,More More More,More More More,Mt. Joy,,21/02/2025,192753,48,,Bloomfield Records
58,Silver Heart,Silver Heart,Ronia,,19/02/2025,229079,37,,Tears In Stereo
59,Real Good Swimmer,Real Good Swimmer,Briston Maroney,,21/02/2025,142893,29,,Atlantic Records
60,Full Speed,Full Speed,Terrace Martin;DRAM;A$AP Ferg,,21/02/2025,199381,28,"neo soul,rap",Sounds of Crenshaw
61,If I Had Never Lost My Mind...,If I Had Never Lost My Mind...,Carter Faith,,21/02/2025,190998,49,,UMG Nashville
62,Two Times,Two Times,Blondshell,,20/02/2025,226280,26,,Partisan Records
63,Doomsday,Doomsday,Sunday (1994),,21/02/2025,228571,37,bedroom pop,Arista Records
64,no rain,no rain,Carly Pearce,,21/02/2025,180000,32,country,"Big Machine Records, LLC"
65,Good Love Die,Good Love Die,Chance Peña,,21/02/2025,207266,12,,Chance Peña
66,BUTTERFLY,BUTTERFLY,MARINA,,21/02/2025,265792,52,,BMG Rights Management (UK) Ltd.
67,Whatx2,Whatx2,AZ Chike,,21/02/2025,156363,0,hyphy,Warner Records
68,111,111,Yan Block,,20/02/2025,153750,81,,SONAR LLC.
69,bad,bad,310babii;James Brown,,21/02/2025,145200,35,"funk,soul,motown,classic soul",HIGH IQ / EMPIRE
70,The Biggest G,The Biggest G,EBK Jaaybo,,18/02/2025,157826,59,,Encore Recordings
71,AMERICAN DREAMS,Drugstore Cowgirl,Tiger La Flor,,21/02/2025,200129,29,,Tiger La Flor under exclusive license to DVLPMNT
72,Don't Be Seen With Me,Don't Be Seen With Me,Avalon Emerson,,18/02/2025,265061,4,,Dead Oceans
73,Happen To Me,Happen To Me,Russell Dickerson,,21/02/2025,183615,37,"country,pop country",Triple Tigers
74,EL DORADO,SUNSET BLACK,Bren Joy,,21/02/2025,207929,25,,Bren Joy
75,Game I Can’t Win,Game I Can't Win,Charley Crockett,,21/02/2025,201531,0,"americana,outlaw country,alt country,red dirt,honky tonk",Charley Crockett PS/ Island
76,Kid & Leveret,Kid & Leveret,Yaelokre,,21/02/2025,313405,0,,Independent
77,Late to the Party,Late to the Party,Isaac Dunbar,,21/02/2025,192257,31,,Isaac Dunbar
78,STORIES,STORIES,Gabriela Bee,,21/02/2025,151812,0,,DOOGOOD LTD
79,Hunting Nirvana,FESTIVAL SEASON,SAINt JHN,,21/02/2025,178144,46,,"GODD COMPLEXX, under exclusive license to Roc Nation Distribution"
80,infinyte,infinyte,Paris Texas,,19/02/2025,131134,45,"alternative hip hop,experimental hip hop,rap rock",Paris Texas LLC
81,Make It Make Sense,Make It Make Sense,A Day To Remember,,18/02/2025,188607,51,"metalcore,post-hardcore,pop punk,screamo,emo",Fueled By Ramen
82,Out Miami (feat. Ty Dolla $ign),Melody Of A Memory,Eem Triplin;Ty Dolla $ign,,17/02/2025,150026,45,trap soul,Eem Triplin/RCA Records
83,when i'm with you,when i'm with you,vaultboy,,21/02/2025,207360,44,,vaultboy
84,Drum Death,Drum Death,Westend;HOSANNA,,21/02/2025,170644,49,"tech house,latin house,house",Experts Only
85,ibiza is waiting for me,ibiza is waiting for me,jamesjamesjames;Spring Breaker,,21/02/2025,327448,30,"lo-fi house,stutter house",jamesjamesjames
86,Afterlife,Afterlife,House of Protection,,18/02/2025,198961,29,metalcore,Red Bull Records
87,You The One,You The One,Lola Brooke,,21/02/2025,165733,28,,Arista Records
88,Imposter,Imposter,Keke Palmer,,21/02/2025,173979,17,,SoNo Recording Group
89,Vengo A Decir,Vengo A Decir,Samuel ASH;Sam Rivera,,21/02/2025,185849,34,"christian reggaeton,christian pop,christian,gospel r&b,christian hip hop,afrogospel,cedm",LASAL (Dist)
90,Never Said,Never Said,Anxious,,18/02/2025,195826,0,"midwest emo,melodic hardcore,pop punk",Run For Cover
91,I Will Not Break,I Will Not Break,Disturbed,,21/02/2025,292058,52,"metal,nu metal,alternative metal,rap metal,hard rock",Mother Culture Records
92,Just Like Me,Just Like Me,Chxrry,,21/02/2025,169212,42,,XO Records
93,OTW,OTW,Buddy;Kalan.FrFr,,21/02/2025,182413,10,,Buddy
94,Zoo Life,Zoo Life,BabyChiefDoit,,21/02/2025,188645,34,chicago drill,"Artist Partner Group, Inc."
95,Brokey,Brokey,Sheff G,,21/02/2025,117423,42,"brooklyn drill,new york drill,drill",Winners Circle/RCA Records
96,Kissing Cowboys,Kissing Cowboys,Maddie & Tae,,21/02/2025,182186,35,country,Mercury Nashville
97,Fly,Fly,Wishy,,19/02/2025,190426,0,"shoegaze,dream pop",Winspear
98,Faithfulness,Faithfulness & Kem Di Hallelujah,Road to Restoration;Ryan Ofei,,19/02/2025,262631,27,"kompa,gospel r&b,afrogospel,gospel,christian hip hop,worship",Road to Restoration
99,Workhorse,Workhorse,Isabel Pless,,21/02/2025,215848,16,,Isabel Pless
100,⁠In a Million Streams,Sleepers,Kelora,,21/02/2025,176728,0,,True Panther/Virgin
