Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Snow White,Snow White,Laufey,,08/08/2025,193533,19,,Sony Music Labels Inc.,,,,,,,,,,,,
A Little More,A Little More,Ed Sheeran,,07/08/2025,192043,64,soft pop,Gingerbread Man Records / Atlantic Records UK,,,,,,,,,,,,
just say dat,The Last Wun,Gunna,,08/08/2025,123520,73,melodic rap,300 Entertainment,,,,,,,,,,,,
Lost (feat. The Kid LAROI),Different Night Same Rodeo,Bailey Zimmerman;The Kid LAROI,,08/08/2025,196578,67,country,Atlantic Records/Warner Records Nashville,,,,,,,,,,,,
Bowery (feat. Kings of Leon),Bowery (feat. Kings of Leon),Zach Bryan;Kings of Leon,,08/08/2025,215720,72,"country,red dirt",Warner Records,,,,,,,,,,,,
No Sharing (feat. Luh Tyler),No Sharing (feat. Luh Tyler),Bryson Tiller;Luh Tyler,,08/08/2025,211717,57,"trap soul,r&b",TrapSoul/RCA Records,,,,,,,,,,,,
outlaw overture,lost americana,mgk,,08/08/2025,302897,62,,"EST 19XX, LLC, under exclusive license to Interscope Records",,,,,,,,,,,,
Dust Bowl,"Willoughby Tucker, I'll Always Love You",Ethel Cain,,08/08/2025,386846,65,southern gothic,Daughters of Cain Records,,,,,,,,,,,,
WANTCHU,WANTCHU,keshi,,08/08/2025,199896,71,,Island Records,,,,,,,,,,,,
Fineshyt,BLACK STAR,Amaarae,,08/08/2025,220167,54,"alté,afrobeats,afro r&b",Golden Angel/ Interscope Records,,,,,,,,,,,,
Loved You Better (with Dean Lewis),Greetings From Your Hometown,Jonas Brothers;Dean Lewis,,08/08/2025,157540,63,,Republic Records,,,,,,,,,,,,
On McAfee (with Baby Kia),God Does Like Ugly,JID;Baby Kia,,08/08/2025,170066,55,,Dreamville/Interscope Records,,,,,,,,,,,,
milk of the madonna,milk of the madonna,Deftones,,08/08/2025,248840,57,"nu metal,alternative metal,rap metal,shoegaze,rock",Reprise,,,,,,,,,,,,
The Sick,The Sick,Bella Kay,,04/08/2025,195434,79,,2025 Bella Kay,,,,,,,,,,,,
NO CAP,NO CAP,Disclosure;Anderson .Paak,,06/08/2025,233734,60,house,Disorder,,,,,,,,,,,,
can't stop,act right,Sasha Keable,,08/08/2025,188899,51,uk r&b,The Flight Club Records,,,,,,,,,,,,
Fragile,Fragile,Cameron Whitcomb,,08/08/2025,202161,56,,Atlantic Records,,,,,,,,,,,,
Los Angeles,Los Angeles / Grandmother,Big Thief,,05/08/2025,237134,50,,4AD,,,,,,,,,,,,
LUZ VERDE,LUZ VERDE,Clave Especial,,04/08/2025,170420,72,"corrido,corridos tumbados,corridos bélicos,música mexicana",Streetmob Records,,,,,,,,,,,,
The Bomb,Parody Of Pleasure,Lydia Night,,08/08/2025,142730,33,,Warner Records,,,,,,,,,,,,
TESLA,TESLA,Mau P,,08/08/2025,186818,64,"tech house,house",Insomniac Records,,,,,,,,,,,,
Holy Water,Holy Water,Marshmello;Jelly Roll,,08/08/2025,149669,70,"edm,country hip-hop,country",Mercury Records,,,,,,,,,,,,
