Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
End of the World,End of the World,Miley Cyrus,,04/04/2025,250483,72,,Columbia,,,,,,,,,,,,
Azizam,Azizam,Ed Sheeran,,04/04/2025,162029,65,soft pop,Gingerbread Man Records / Atlantic Records UK,,,,,,,,,,,,
Back To Me,Back To Me,The Marías,,04/04/2025,214800,79,bedroom pop,Nice Life/Atlantic,,,,,,,,,,,,
Silver Lining,Silver Lining,Laufey,,03/04/2025,197533,63,,Vingolf Recordings,,,,,,,,,,,,
Caramel,Caramel,Sleep Token,,04/04/2025,290110,67,"progressive metal,metalcore",Sleep Token/RCA Records,,,,,,,,,,,,
Death Wish - Live from The O2 Arena,Death Wish (Live from The O2 Arena),Gracie Abrams,,01/04/2025,227351,59,,"Gracie Abrams, under exclusive license to Interscope Records",,,,,,,,,,,,
Concrete,Malcolm Todd,Malcolm Todd,,04/04/2025,173200,62,,Columbia,,,,,,,,,,,,
VOLTAGE,F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3,Skrillex,,01/04/2025,129629,53,"dubstep,edm,electro,electronic",OWSLA/Atlantic,,,,,,,,,,,,
Hoochie Coochie,Hoochie Coochie,Sexyy Red,,04/04/2025,147450,47,,Rebel/gamma.,,,,,,,,,,,,
All The Way (feat. Bailey Zimmerman),All The Way (feat. Bailey Zimmerman),BigXthaPlug;Bailey Zimmerman,,04/04/2025,165000,74,"southern hip hop,country",BigXthaPlug under exclusive license to UnitedMasters LLC,,,,,,,,,,,,
5 More Minutes,I Know What I Want,Sydney Rose,,04/04/2025,230260,53,,Sydney Rose,,,,,,,,,,,,
nice,star,2hollis,,04/04/2025,142493,57,"hyperpop,electroclash",2hollis under exclusive license to Interscope Records,,,,,,,,,,,,
Sinners,Sinners,Rod Wave,,04/04/2025,188160,60,,Alamo,,,,,,,,,,,,
Gucci Mane,Gucci Mane,Jessie Murph,,04/04/2025,166956,57,,Columbia,,,,,,,,,,,,
Potion,Potion,Djo,,02/04/2025,167823,51,,Djo,,,,,,,,,,,,
Little Richard’s Bible,Who Believes In Angels?,Elton John;Brandi Carlile,,04/04/2025,179719,33,"folk,americana",EMI,,,,,,,,,,,,
THE LAST TIME,THE LAST TIME,DESTIN CONRAD;Teezo Touchdown,,02/04/2025,194823,41,alternative r&b,Above Ground Ent / Destin Conrad / EMPIRE,,,,,,,,,,,,
Can’t Be Crete Boy,Can’t Be Crete Boy,Lil Yachty;Veeze,,04/04/2025,222184,55,,Quality Control Music/Motown Records,,,,,,,,,,,,
Law N Order,Law N Order,GELO,,04/04/2025,192006,46,,LiAngelo Ball (G3) PS/Def Jam,,,,,,,,,,,,
Vetements,DON KBRN,Eladio Carrion;Myke Towers,,03/04/2025,200000,64,"trap latino,urbano latino,trap,reggaeton",Rimas Entertainment LLC,,,,,,,,,,,,
Tonight,Tonight,PinkPantheress,,04/04/2025,176897,61,bedroom pop,Warner Records,,,,,,,,,,,,
Surrender,Surrender,Alesso;Becky Hill,,04/04/2025,144664,58,edm,Capitol Records,,,,,,,,,,,,
catch these fists,catch these fists,Wet Leg,,01/04/2025,188514,54,"indie rock,indie",Domino Recording Co,,,,,,,,,,,,
Everybody's trying to figure me out,Everybody's trying to figure me out,HAIM,,04/04/2025,233200,34,,Polydor Records,,,,,,,,,,,,
Me Most Nights,Me Most Nights,Old Dominion,,04/04/2025,159853,43,country,"Three Up Three Down, LLC/Columbia Nashville",,,,,,,,,,,,
Smoke & Embers,Smoke & Embers,Waylon Wyatt;Willow Avalon,,02/04/2025,227693,64,country,Music Soup/Darkroom Records,,,,,,,,,,,,
Heavy Hearts,Nobody Lives Here,SYML,,04/04/2025,177909,54,,Nettwerk Music Group,,,,,,,,,,,,
Rodeo,Rodeo,Momma,,31/03/2025,199347,0,indie rock,Lucky Number,,,,,,,,,,,,
Money Talks,Money Talks,BossMan Dlow,,04/04/2025,107865,48,,Alamo,,,,,,,,,,,,
All I Know (with Khalid),All I Know (with Khalid),Rudimental;Khalid,,04/04/2025,176046,65,,Room Two Recordings,,,,,,,,,,,,
23:42,Little House,Rachel Chinouriri,,04/04/2025,181785,18,,Parlophone UK,,,,,,,,,,,,
Hesitation (with Karri),"If Not Now, Then When?",Joe Kay;Karri,,04/04/2025,168554,55,dark r&b,Soulection Records/COLTURE,,,,,,,,,,,,
Messy Hair,Fauxllennium (Japanese Deluxe Edition),TV Girl;George Clanton;Magdalena Bay,,04/04/2025,116000,53,"vaporwave,chillwave,plunderphonics","Blissful Serenity Industries, LLC",,,,,,,,,,,,
Bell Bottoms Up,Bell Bottoms Up,Lainey Wilson,,04/04/2025,212386,46,country,Broken Bow Records,,,,,,,,,,,,
NUBES,NUBES,De La Rose;Omar Courtz,,03/04/2025,271801,76,,WEA Latina,,,,,,,,,,,,
Shoreline Twins,Back In Bidness,Shoreline Mafia;OHGEESY;Fenix Flexin,,04/04/2025,200388,49,,300 Entertainment,,,,,,,,,,,,
Samsung Screenz,Samsung Screenz,That Mexican OT;Sauce Walka,,04/04/2025,200084,31,,STB Entertainment,,,,,,,,,,,,
Work (feat. Yeat),Work (feat. Yeat),Anyma;Yeat,,04/04/2025,174254,2,"melodic techno,melodic house,techno,stutter house,rage rap",Anyma/Interscope Records,,,,,,,,,,,,
Fantasy,Are We All Angels,Scowl,,04/04/2025,209972,44,"hardcore punk,riot grrrl,hardcore",Dead Oceans,,,,,,,,,,,,
blue jean,blue jean,Hazlett,,04/04/2025,276611,48,indie folk,Nettwerk Music Group,,,,,,,,,,,,
Brand New,CHILDSTAR,Grace VanderWaal,,04/04/2025,171001,31,,PULSE Records,,,,,,,,,,,,
Mi Reina,Mi Reina,Hamilton;Nanpa Básico,,03/04/2025,183891,59,"champeta,latin afrobeats,afrobeat,dancehall,mexican hip hop,latin hip hop",Cigol Music Group,,,,,,,,,,,,
motion,motion,DDG;DaBaby,,04/04/2025,195746,49,,DDG/Epic Records,,,,,,,,,,,,
BH STK (feat. Screwly G),Long Live My Brudda He Prolly Kilt Yo Brudda,BloodHound Q50;Screwly G,,02/04/2025,114942,40,"chicago drill,drill",Signal Records/Columbia,,,,,,,,,,,,
OUT OF MY HANDS,Heavy Deluxe: THE LIGHT,SiR;Maeta,,04/04/2025,183952,49,"alternative r&b,neo soul,indie r&b",TDE Music LLC,,,,,,,,,,,,
Loose,Loose,ENHYPEN,,04/04/2025,210762,66,k-pop,BELIFT LAB,,,,,,,,,,,,
Last Girls At The Party,Last Girls At The Party,The Beaches,,02/04/2025,162933,49,,Beaches Touring Inc,,,,,,,,,,,,
Waiting Room,Waiting Room,"hey, nothing",,04/04/2025,224067,43,midwest emo,Music Soup/Interscope Records,,,,,,,,,,,,
Goodbye (Don’t Tell Me),Forever Howlong,"Black Country, New Road",,04/04/2025,257547,44,"art rock,post-rock",Ninja Tune,,,,,,,,,,,,
My Expense,My Expense,Evan Honer;Cameron Whitcomb,,04/04/2025,221462,61,,Cloverdale Records Cameron Whitcomb appears courtesy of Atlantic Recording Corporation,,,,,,,,,,,,
Pity Party,Pity Party,Lydia Night,,04/04/2025,197159,30,,Warner Records,,,,,,,,,,,,
Matador,Matador,Wakyin;Vibarco,,04/04/2025,207360,30,"afro house,latin house",Insomniac Records,,,,,,,,,,,,
PROLLY US,Chèlbè,Lou Phelps,,04/04/2025,151111,31,hip house,Celestial Morals Inc.,,,,,,,,,,,,
LEGOLAS,THE MACHINE IS COMING,ODUMODUBLVCK,,31/03/2025,169285,64,"afrobeats,nigerian drill,afrobeat,alté,afropiano,afropop,afro adura",Native Sounds/Def Jam PS,,,,,,,,,,,,
