Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Safe (feat. Kehlani),AM I THE DRAMA?,Cardi B;Kehlani,,19/09/2025,177886,66,,Atlantic Records,,,,,,,,,,,,
Post Sex Clarity,I’m Only F**king Myself,Lola Young,,19/09/2025,261959,73,,Universal-Island Records Ltd.,,,,,,,,,,,,
Secrets (feat. Lindsey Buckingham & Mick Fleetwood),Something Beautiful (Deluxe),Miley Cyrus;Lindsey Buckingham;Mick Fleetwood,,19/09/2025,229458,63,,Columbia,,,,,,,,,,,,
WHERE IS MY HUSBAND!,WHERE IS MY HUSBAND!,RAYE,,19/09/2025,196795,95,,Human Re Sources,,,,,,,,,,,,
yes baby,yes baby,Madison Beer,,19/09/2025,175324,74,,Epic/Sing It Loud,,,,,,,,,,,,
Townies,Bleeds,Wednesday,,19/09/2025,195306,59,alt country,Dead Oceans,,,,,,,,,,,,
Something In The Heavens,Something In The Heavens,Lewis Capaldi,,18/09/2025,198028,76,soft pop,Vertigo Berlin,,,,,,,,,,,,
Match My Mood,Same Day Cleaning,Sammy Virji;Spice;Flowdan,,19/09/2025,171521,58,"uk garage,bassline,bass house,house,dancehall,soca,shatta,ragga,drum and bass,grime",Capitol Records UK,,,,,,,,,,,,
David's Brother,The Dream,The Favors;FINNEAS;Ashe,,19/09/2025,217143,61,,Darkroom Records,,,,,,,,,,,,
Culpable,Culpable,Junior H,,18/09/2025,261071,75,"corridos tumbados,corrido,corridos bélicos,sad sierreño,sierreño,música mexicana,banda",WEA Latina,,,,,,,,,,,,
Scared Of Getting Sober,Later Tonight,Josh Ross,,19/09/2025,210184,53,country,"Core Entertainment, LLC",,,,,,,,,,,,
I Wish I Didn’t Waste Your Time,I Wish I Didn’t Waste Your Time,Thundercat,,15/09/2025,169320,56,,Brainfeeder,,,,,,,,,,,,
Good Boy,Good Boy,Paris Paloma,,19/09/2025,222106,61,,Nettwerk Music Group,,,,,,,,,,,,
GALA,GALA,XG,,19/09/2025,227175,73,k-pop,XGALX,,,,,,,,,,,,
Silver Lining (with Sauce Walka),Silver Lining (with Sauce Walka),Lil Yachty;Sauce Walka,,19/09/2025,342617,49,,Quality Control Music/Motown Records,,,,,,,,,,,,
Out The Window,Out The Window,YoungBoy Never Broke Again,,18/09/2025,158797,55,,Never Broke Again/Motown Records,,,,,,,,,,,,
Not Gonna Be Your Boo (feat. Robin S),Not Gonna Be Your Boo (feat. Robin S),Cloonee;Robin S,,19/09/2025,174550,56,"tech house,house,latin house",Columbia,,,,,,,,,,,,
bleach,BEASTIE,Bakar,,19/09/2025,203456,43,,forever and ever,,,,,,,,,,,,
Frozen Love,Frozen Love,Buckingham Nicks;Stevie Nicks;Lindsey Buckingham,,10/09/2025,435793,23,,Rhino,,,,,,,,,,,,
