Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
My Muse,PHOLKS,Leon Thomas,,24/10/2025,165599,70,,EZMNY RECORDS,,,,,,,,,,,,
Root of all Evil,Son Of Spergy,Daniel Caesar,,24/10/2025,265000,47,,Republic Records,,,,,,,,,,,,
If The World Burns Down,Nobody Wants This Season 2: The Soundtrack,Kacey Musgraves,,23/10/2025,232771,68,,The Core/Interscope,,,,,,,,,,,,
Beautiful Things,Beautiful Things,Megan Moroney,,24/10/2025,235535,74,country,Columbia Nashville/Columbia Records,,,,,,,,,,,,
I'm Not There For You,I'm Not There For You,Jessie Murph,,24/10/2025,139429,71,,Columbia,,,,,,,,,,,,
LOVER GIRL,LOVER GIRL,Megan Thee Stallion,,24/10/2025,264669,71,,Hot Girl Productions,,,,,,,,,,,,
Let You Go,It’s Not That Deep,Demi Lovato,,24/10/2025,183247,69,,"DLG Recordings, LLC / Island Records",,,,,,,,,,,,
CHANEL,CHANEL,Tyla,,24/10/2025,188059,93,afrobeats,Epic,,,,,,,,,,,,
MONSTRUO,MONSTRUO,Tainy;Feid,,23/10/2025,213430,74,"reggaeton,urbano latino",NEON16 LLC,,,,,,,,,,,,
Rubber Band Man (with Hozier),Rubber Band Man (with Hozier),Mumford & Sons;Hozier,,24/10/2025,220266,71,"folk,indie folk,folk rock",Universal-Island Records Ltd.,,,,,,,,,,,,
fuze,fuze,Skrillex;ISOxo,,24/10/2025,188571,59,"dubstep,edm,electro,electronic,bass house,edm trap",OWSLA/Atlantic,,,,,,,,,,,,
"In The Dark - From the Netflix Series ""Nobody Wants This"" Season 2",Nobody Wants This Season 2: The Soundtrack,Selena Gomez,,23/10/2025,185155,65,,The Core/Interscope,,,,,,,,,,,,
Hips Don't Lie - Spotify Anniversary Version,Spotify Anniversary | Oral Fixation (20th) and Pies Descalzos (30th) LIVE,Shakira;Ed Sheeran;Beéle,,22/10/2025,208730,78,"latin pop,soft pop,latin afrobeats,reggaeton,pop urbano",Sony Music Latin,,,,,,,,,,,,
Cable Box,GO:OD AM (10th Anniversary),Mac Miller,,24/10/2025,283226,62,,Warner Records,,,,,,,,,,,,
Quality Over Quantity,Quality Over Quantity,Polo G,,24/10/2025,156000,60,,Capalot/Columbia Records,,,,,,,,,,,,
Human,Returning To Myself,Brandi Carlile,,24/10/2025,260065,53,"folk,americana",Interscope Records / Lost Highway,,,,,,,,,,,,
The Pines,The Pines,Noah Rinker,,24/10/2025,185026,58,,Warner Records,,,,,,,,,,,,
Asking For A Friend,Asking For A Friend,Foo Fighters,,23/10/2025,269433,62,"rock,post-grunge,alternative rock,grunge",RCA Records Label,,,,,,,,,,,,
no cell phones in rehab,no cell phones in rehab,mgk,,21/10/2025,155470,49,,Interscope Records,,,,,,,,,,,,
Telephone Busy,Telephone Busy,5 Seconds of Summer,,23/10/2025,195806,62,,5 Seconds Of Summer,,,,,,,,,,,,
Anna Karenina,Anna Karenina,Cigarettes After Sex,,21/10/2025,315000,65,dream pop,Spanish Prayers,,,,,,,,,,,,
The Cure,Breathe,The Chainsmokers,,24/10/2025,218440,61,,Disruptor Records/Columbia,,,,,,,,,,,,
SPAGHETTI (English ver.),SPAGHETTI,LE SSERAFIM;j-hope,,24/10/2025,171226,70,"k-pop,k-rap",SOURCE MUSIC,,,,,,,,,,,,
TEEN ANGST,SUPERLAME,INJI,,24/10/2025,162652,58,,INJI,,,,,,,,,,,,
Nearsight [SID],CAOS,Miguel,,23/10/2025,258801,54,r&b,ByStorm Entertainment/RCA Records,,,,,,,,,,,,
The Way a Heart Breaks,What If?,Alexander Stewart,,24/10/2025,171760,60,pop singer-songwriter,Alexander Stewart,,,,,,,,,,,,
Almost,Almost,Lewis Capaldi,,24/10/2025,220779,69,soft pop,Vertigo Berlin,,,,,,,,,,,,
Voicemail (feat. Rod Wave),Voicemail (feat. Rod Wave),Tee Grizzley;Rod Wave,,24/10/2025,272785,61,,300 Entertainment,,,,,,,,,,,,
Feet On Land,Feet On Land,Moneybagg Yo;G Herbo,,24/10/2025,152658,62,"chicago drill,drill",CMG/N-Less/Interscope Records,,,,,,,,,,,,
know about me (feat. GloRilla),love?... or something like it,Halle;GloRilla,,24/10/2025,241507,51,,Parkwood Entertainment/Columbia,,,,,,,,,,,,
Raindance (feat. Tems),The Boy Who Played the Harp,Dave;Tems,,23/10/2025,219743,89,"grime,uk grime,uk drill,drill,afrobeats,afro r&b,alté,afrobeat",Neighbourhood,,,,,,,,,,,,
BOSS UP,BOSS UP,Shenseea,,24/10/2025,151320,63,"dancehall,soca,afrobeats",Columbia,,,,,,,,,,,,
Cumulus / Memory,Cumulus / Memory,Sampha,,23/10/2025,407765,52,indie soul,Young,,,,,,,,,,,,
Good Ol' Days,Ego Death At A Bachelorette Party,Hayley Williams,,23/10/2025,203710,57,art pop,Post Atlantic,,,,,,,,,,,,
Little Miss,Little Miss,Vincent Mason,,24/10/2025,158224,44,country,MCA Nashville/Music Soup/Interscope Records,,,,,,,,,,,,
Aw Shit,2005,ian,,24/10/2025,138380,57,,BuVision / Columbia,,,,,,,,,,,,
Windy City,Westward (Deluxe),Dylan Gossett,,24/10/2025,150668,54,country,Dylan Gossett,,,,,,,,,,,,
Put Your Bassline,Put Your Bassline,Armin van Buuren;KI/KI,,24/10/2025,151232,40,"trance,progressive trance,progressive house,electronica,edm,hard house,acid techno,techno",Central Station Records,,,,,,,,,,,,
Unravel,Unravel,Poppy,,23/10/2025,175446,61,,Sumerian Records,,,,,,,,,,,,
as i wave goodbye,LOVERCORE,Artemas,,24/10/2025,146204,58,,Artemas,,,,,,,,,,,,
CRANK,CRANK,Slayyyter,,24/10/2025,175743,65,hyperpop,Records/Columbia,,,,,,,,,,,,
Private,Private,The Neighbourhood,,23/10/2025,229386,70,,Warner Records,,,,,,,,,,,,
Doing My Best,GOLDFISH,Hit-Boy;The Alchemist,,24/10/2025,164713,45,"alternative hip hop,jazz rap,experimental hip hop,boom bap",Surf Club Inc. / ALC / EMPIRE,,,,,,,,,,,,
Ain't Letting You Down,Ain't Letting You Down,Martin Garrix;Saksham;Scott Quinn,,24/10/2025,261958,65,"edm,electronica,progressive house",STMPD RCRDS,,,,,,,,,,,,
HIM (feat. Gunna),HIM,Shallipopi;Gunna,,24/10/2025,202547,67,"afrobeats,afropiano,afrobeat,amapiano,afropop,afro adura,melodic rap",Since 93,,,,,,,,,,,,
monterrey,LO QUE ME FALTA POR LLORAR,Grupo Frontera,,23/10/2025,218353,68,"cumbia norteña,banda,norteño,música mexicana,corrido,corridos tumbados,grupera,tejano,ranchera",BorderTown Records,,,,,,,,,,,,
AMÉN BEBÉ,Bendito Verano,ELENA ROSE,,23/10/2025,151825,64,latin afrobeats,WEA Latina,,,,,,,,,,,,
Zombies,Holy Water,Hether,,24/10/2025,191179,42,bedroom pop,R&R Digital,,,,,,,,,,,,
people pleaser,mood swings,Henry Moodie,,24/10/2025,176373,58,,Robots & Humans/Columbia,,,,,,,,,,,,
Always,Always,Tiana Major9;Yebba,,21/10/2025,208626,56,"uk r&b,alternative r&b",+1 Records,,,,,,,,,,,,
Cell Phone Blues,Love Chant,The Lemonheads,,24/10/2025,215063,36,"power pop,alternative rock",Fire Records,,,,,,,,,,,,
Losin' Kind - Nebraska Outtakes,Nebraska '82: Expanded Edition,Bruce Springsteen,,24/10/2025,300360,51,,Columbia/Legacy,,,,,,,,,,,,
Betty,Betty,August Ponthier,,24/10/2025,182713,45,,Allison Ponthier,,,,,,,,,,,,
Kiss,Kiss,Claire Rosinkranz,,24/10/2025,168313,53,,Purple Monkey Recordz,,,,,,,,,,,,
Know You Forever,Early Twenties Torture,Sadie Jean,,24/10/2025,192181,48,,Sadie Jean,,,,,,,,,,,,
Under The Moon,Under The Moon,Ari Lennox,,23/10/2025,206681,52,"alternative r&b,neo soul",Interscope Records,,,,,,,,,,,,
