Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,Smile,Smile,Morgan Wallen,,31/12/2024,224127,67,country,Big Loud Records / Mercury Records / Republic Records
2,"Dum, Dumb, and Dumber (with Young Thug & Future)",WHAM,Lil Baby;Young Thug;Future,,03/01/2025,227400,2,"rap,melodic rap,trap",Quality Control Music/Motown Records
3,Location,Location,Zerb;Ty Dolla $ign;Wiz Khalifa,,03/01/2025,148135,74,"afro house,trap soul,rap",TH3RD BRAIN; Ty Dolla $ign appears courtesy of Atlantic Recording Corporation; Wiz Khalifa appears courtesy of Taylor Gang Ent. LLC
4,"Hello, Hi","Hello, Hi",Little Simz,,30/12/2024,135996,48,,Little Simz
5,Everyday,Everyday,Celeste,,03/01/2025,220183,42,,Polydor Records
6,You and your eyes,You and your eyes,Henrik,,03/01/2025,156942,40,"christian folk,folk pop",North Main 2025
7,Floppy Disks,Floppy Disks,The Alchemist,,31/12/2024,120760,29,"alternative hip hop,jazz rap,experimental hip hop,boom bap",ALC
8,Euphoria (with Alok),Euphoria (with Alok),Armin van Buuren;Alok;Norma Jean Martine;LAWRENT,,03/01/2025,151818,59,"trance,progressive trance,progressive house,electronica,edm,brazilian bass,electronic,slap house,electro house",Armada Music
9,Party People,Party People,Rose Gray,,31/12/2024,194475,14,,Play It Again Sam
10,Barn Nursery,Barn Nursery,"hey, nothing",,03/01/2025,159581,1,midwest emo,Music Soup/Good Luck Have Fun Records
11,JRJRJR,JRJRJR,Jane Remover,,01/01/2025,268803,40,hyperpop,deadAir
12,Inside Out,Inside Out,Beach Fossils,,02/01/2025,133003,37,"dream pop,surf rock,shoegaze",Numero Group
13,Taking Inventory Of A Frozen Lake,Taking Inventory Of A Frozen Lake,Thursday,,01/01/2025,257084,32,"post-hardcore,screamo,emo",Thursday LLC
14,Gorgeous,Gorgeous,Brett Eldredge,,03/01/2025,214560,45,"country,christmas",Warm and Cozy Records
15,What Have You Done For Me Lately,What Have You Done For Me Lately,TATYANA,,03/01/2025,209644,25,,Sinderlyn
16,ONANON,ONANON,Killen.,,03/01/2025,195638,47,stutter house,WM Sweden
17,Needed Them,Needed Them,BAK Jay,,30/12/2024,141026,0,chicago drill,BAK Jay
18,Heal,Heal,MYRNE;Shallou,,02/01/2025,273442,48,"future bass,stutter house",This Never Happened
19,Focus On Me (All The Sexy Girls In The Club),Focus On Me (All The Sexy Girls In The Club),Darkoo,,02/01/2025,189411,55,"afrobeats,afroswing,afrobeat,uk drill",Black Pearl Music Group LTD
20,Watch Out,Watch Out,Tony Romera;Crusy;Low Steppa,,03/01/2025,142000,29,"bass house,tech house,g-house,latin house,tribal house,house",Toolroom
21,ALRIGHT OK,ALRIGHT OK,Baby Kia,,03/01/2025,171620,0,,Artist Partner Group
22,Roomful Of People,Roomful Of People,Rosie Darling;Jake Scott,,03/01/2025,195920,43,,Nettwerk Music Group
23,soft light,soft light,young friend,,03/01/2025,155387,23,,Nettwerk Music Group
24,Change Your Mind,Winner,Scout,,03/01/2025,179853,33,,Sweat Entertainment
25,wildflower,wildflower,Jordan Frye,,03/01/2025,180146,29,christian pop,Lauretta Records
26,Shandy in the Graveyard,Shandy in the Graveyard,Panchiko;billy woods,,03/01/2025,177708,0,"shoegaze,experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop",Nettwerk Music Group
27,TEN,TEN,Sam Feldt;joki,,03/01/2025,129103,46,"tropical house,afro house,hypertechno",Heartfeldt Records
28,Souvenirs,Still Living With My Parents,NIA NADURATA,,03/01/2025,256064,24,,Arts & Crafts
29,STRAIGHT 2 IT,STRAIGHT 2 IT,1nonly,,03/01/2025,141176,50,,Warner Records
30,My Decision (feat. Rotimi),My Decision (feat. Rotimi),Eric Bellinger;Rotimi,,03/01/2025,186702,24,"afrobeats,afrobeat,afropop",All Wins Entertainment
31,Work On Me,Work On Me,Restless Road,,03/01/2025,177501,32,country,Restless Road / Neon Coast Records
32,enough for you,enough for you,anees,,30/12/2024,210098,40,,Anees LLC
33,Still Young,Still Young,Luke Sital-Singh,,03/01/2025,191551,13,indie folk,Nettwerk Music Group
34,Windows,Windows,girlpuppy,,02/01/2025,249720,18,,Captured Tracks
35,King is Dead,King is Dead,Bryce Fox;King Green,,03/01/2025,215731,23,,Nettwerk Music Group
36,Memories,Memories,Ryan Mack;Robert Grace,,03/01/2025,133091,55,pop singer-songwriter,Ryan Mack
37,Primos (feat. Dj Kiire),Primos (feat. Dj Kiire),Kevin AMF;Yeri Mua;Uzielito Mix;Dj Kiire,,03/01/2025,166530,53,"electro corridos,dembow belico,corrido,corridos tumbados,reggaeton mexa,dembow,corridos bélicos,reggaeton",POKER MUSIC/Sony Music México
38,Local,Local,Deekline;More Fire Crew;Son of Sam (UK),,03/01/2025,178371,15,"jungle,drum and bass,breakbeat,ragga,uk garage,bassline,grime",Hot Cakes
39,what3ver,what3ver,redveil,,31/12/2024,175757,40,"alternative hip hop,experimental hip hop",redveil LLC
40,Telephono,Murder During Drug Traffic,Boldy James;RichGains,,03/01/2025,213000,28,"jazz rap,boom bap,alternative hip hop,experimental hip hop",Boldy James & RichGains
