Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
cliché,cliché,mgk,,23/05/2025,176242,32,,"EST 19XX, LLC, under exclusive license to Interscope Records",,,,,,,,,,,,
Bloodline,Bloodline,Alex Warren;Jelly Roll,,22/05/2025,182008,76,"country hip-hop,country",Atlantic Records,,,,,,,,,,,,
Leave Me Alone,Leave Me Alone,Reneé Rapp,,21/05/2025,141738,27,,Interscope Records,,,,,,,,,,,,
TaTaTa (feat. Travis Scott),TaTaTa (feat. Travis Scott),Burna Boy;Travis Scott,,21/05/2025,150651,62,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano,rap",Spaceship/ Bad Habit/Atlantic Records,,,,,,,,,,,,
LATINA FOREVA,LATINA FOREVA,KAROL G,,22/05/2025,159452,73,"reggaeton,latin,urbano latino",Bichota/Interscope Records,,,,,,,,,,,,
Momma Song,Momma Song,Benson Boone,,22/05/2025,197160,58,,"Night Street Records, Inc./Warner Records Inc.",,,,,,,,,,,,
Somewhere Over Laredo,Somewhere Over Laredo,Lainey Wilson,,23/05/2025,226000,70,country,Broken Bow Records,,,,,,,,,,,,
Like I Like It,Too Big For B-Side,Mau P,,23/05/2025,224414,67,"tech house,house",Diynamic Music,,,,,,,,,,,,
LOOK OUT FOR ME,LOOK OUT FOR ME,Turnstile,,20/05/2025,403520,47,"hardcore punk,hardcore",Roadrunner Records,,,,,,,,,,,,
Gold,"A Minute, A Moment...",Myles Smith,,23/05/2025,164000,63,,RCA Records Label,,,,,,,,,,,,
Honey Blonde,Music For People Who Believe In Love,Joe Jonas,,23/05/2025,198460,51,,Republic Records,,,,,,,,,,,,
Fuck Off,Saviors (édition de luxe),Green Day,,23/05/2025,123464,2,"punk,pop punk",Reprise,,,,,,,,,,,,
Elderberry Wine,Elderberry Wine,Wednesday,,21/05/2025,215506,28,alt country,Dead Oceans,,,,,,,,,,,,
Letting You Run,Letting You Run,Jack Dine;Tone Stith,,23/05/2025,201398,42,"neo soul,trap soul,r&b",Fine Dining,,,,,,,,,,,,
Top Tingz,Top Tingz,YoungBoy Never Broke Again,,23/05/2025,214588,50,,Never Broke Again/Motown Records,,,,,,,,,,,,
PICASSO,Ya No Se Llevan Serenatas,Gabito Ballesteros,,23/05/2025,216525,54,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,sierreño,electro corridos,banda",Los CT Records,,,,,,,,,,,,
Bad As I Used To Be (From F1® The Movie),Bad As I Used To Be (From F1® The Movie),Chris Stapleton;F1 The Album,,22/05/2025,300113,66,"country,outlaw country",Atlantic Records,,,,,,,,,,,,
Supersonic,Supersonic / Hands Up In The Sky,Marlon Hoffstadt;DJ Daddy Trance,,23/05/2025,188108,52,"hard house,eurodance,trance,techno,hypertechno",Capitol Records,,,,,,,,,,,,
Big city life,Big city life,Smerz,,23/05/2025,128437,47,,Escho,,,,,,,,,,,,
"Don't Cry, Put Your Head On My Shoulder","Don't Cry, Put Your Head On My Shoulder",Tom Odell,,23/05/2025,231680,54,,UROK,,,,,,,,,,,,
Moviestar,Moviestar,Remy Bond,,23/05/2025,188664,43,,Warner Records,,,,,,,,,,,,
HOLLYWOOD,HOLLYWOOD,YG;Shoreline Mafia,,23/05/2025,180380,13,hyphy,BMG Rights Management (US) LLC,,,,,,,,,,,,
So Sexyy (with Sexyy Redd & YTB Fatt),Let Me Fly,Rob49;Sexyy Red;YTB Fatt,,23/05/2025,202500,39,,Rebel/Geffen Records,,,,,,,,,,,,
Good Thing,We are,i-dle,,19/05/2025,154386,47,k-pop,CUBE ENTERTAINMENT INC.,,,,,,,,,,,,
You’re Invited (feat. Kenyon Dixon),You’re Invited (feat. Kenyon Dixon),Vedo;Kenyon Dixon,,23/05/2025,178278,37,,New Wav Music Group,,,,,,,,,,,,
Nirvana,Nirvana,Vintage Culture;Layla Benitez;Max Milner,,23/05/2025,222840,44,"brazilian bass,electronic,electro,melodic techno,melodic house",Knee Deep In Sound,,,,,,,,,,,,
Boy Meets Girl (Unreleased Demo),The First Time: 10 Year Anniversary Edition,Kelsea Ballerini,,19/05/2015,183582,35,"country,pop country",Black River Entertainment,,,,,,,,,,,,
WHY (feat. Luke Combs),WHY (feat. Luke Combs),Jon Bellion;Luke Combs,,22/05/2025,177760,59,country,Jon Bellion,,,,,,,,,,,,
Bones And All,The Love I Showed You Was Yours To Keep,Love Spells,,22/05/2025,194171,46,,Loveless,,,,,,,,,,,,
ANDO XXIL,ANDO XXIL,Feid,,23/05/2025,170666,48,"reggaeton,urbano latino",Universal Music Latino,,,,,,,,,,,,
WE NOT DONE,WE NOT DONE,42 Dugg,,23/05/2025,175718,53,,4PF/CMG/Interscope Records,,,,,,,,,,,,
Plenty Motion,Dlow Curry (Deluxe),BossMan Dlow,,23/05/2025,115326,47,,Alamo,,,,,,,,,,,,
Godspeed,Outrun You All,House of Protection,,23/05/2025,194333,42,metalcore,Red Bull Records,,,,,,,,,,,,
Closer To Me - edit,Closer To Me,Kokoroko,,20/05/2025,222669,42,,Brownswood Recordings,,,,,,,,,,,,
Try Your Luck,Second Self,Julia Michaels,,23/05/2025,163054,48,,GFY Records,,,,,,,,,,,,
malibU,DAISY,rusowsky,,23/05/2025,215250,78,neoperreo,Rusia-IDK/Warner Records,,,,,,,,,,,,
Marlay Park,Reverie,Amble,,23/05/2025,224419,61,,Warner Records,,,,,,,,,,,,
Headlock - Spotify Singles,Headlock - Spotify Singles,Luna Li,,21/05/2025,220762,32,,In Real Life Music,,,,,,,,,,,,
glacier,ATLANTA,Plaqueboymax;Quavo,,23/05/2025,120000,54,,Capitol Records,,,,,,,,,,,,
Time After Time,Time After Time,Sam Feldt,,23/05/2025,139153,43,tropical house,Sony Music Entertainment,,,,,,,,,,,,
Black Man,Black Man,Larry June;Cardo Got Wings,,22/05/2025,162856,41,,The Freeminded Records / EMPIRE,,,,,,,,,,,,
Kill You Off,PRESSURE,Julia Wolf,,23/05/2025,133714,51,,girls in purgatory,,,,,,,,,,,,
Transmuted Matter,Transmuted Matter,Stereolab,,20/05/2025,256156,23,"art pop,krautrock,post-rock,neo-psychedelic",Duophonic UHF Disks / Warp Records,,,,,,,,,,,,
bridesmaid,bridesmaid,Lauren Spencer Smith,,23/05/2025,192026,43,,"Three Name Productions, Inc./ Island Records & Republic Records",,,,,,,,,,,,
