Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Muévelo,Muévelo,Kali Uchis,,19/12/2025,127366,81,,Capitol Records,,,,,,,,,,,,
Satellite,Satellite,CHASE B;Don Toliver;SoFaygo,,19/12/2025,181739,71,rage rap,Cactus Jack Records,,,,,,,,,,,,
Out Of My Body (feat. EJAE),Out Of My Body (feat. EJAE),Anyma;EJAE,,19/12/2025,159666,69,"melodic techno,melodic house,techno,stutter house,k-pop",Anyma/Interscope Records,,,,,,,,,,,,
Lonely Girl,Lonely Girl,Skye Newman,,19/12/2025,142288,66,,Columbia,,,,,,,,,,,,
Top Cobain,Top Cobain,YoungBoy Never Broke Again,,16/12/2025,225835,67,,"Never Broke Again, LLC/Motown Records",,,,,,,,,,,,
Paper Low,Paper Low,DaBaby,,19/12/2025,162906,65,,South Coast Music Group/Interscope Records,,,,,,,,,,,,
EL MUNDO SE VA A ACABAR,EL MUNDO SE VA A ACABAR,Omar Courtz;KARBeats,,18/12/2025,213960,73,,Rimas Entertainment LLC.,,,,,,,,,,,,
winter's excuse,winter's excuse,Rin;Esha Tewari,,15/12/2025,209540,55,,seaurchrin,,,,,,,,,,,,
Own It (feat. Jordana),Own It (feat. Jordana),Monster Rally;Jordana,,16/12/2025,204898,53,"exotica,plunderphonics",Monster Rally,,,,,,,,,,,,
Rivers,Rivers,AFROJACK;Amél,,19/12/2025,202739,65,"edm,big room,progressive house",Wall Recordings,,,,,,,,,,,,
la patadita,la patadita,Beéle;Elvis Crespo,,16/12/2025,148253,71,"latin afrobeats,reggaeton,pop urbano,merengue,latin dance,salsa,latin",5020 Records,,,,,,,,,,,,
Hard Body,Hood Poet Black Heart Edition,Polo G,,19/12/2025,184172,62,,Capalot/Columbia Records,,,,,,,,,,,,
Cognitive Dissonance,Spellbook,mermaidonmars,,19/12/2025,149866,53,,Hallwood,,,,,,,,,,,,
Will I love again?,Will I love again?,Junior Mesa,,19/12/2025,143925,49,,junior mesa,,,,,,,,,,,,
Deep,Deep,Girlfriend,,17/12/2025,161663,57,sexy drill,Encore Recordings,,,,,,,,,,,,
'97,'97,Sevyn Streeter,,19/12/2025,204848,54,r&b,"Sevyn Streeter, distributed by Venice Music, produced under license from Atlantic Recording Corp., by arrangement with Rhino Entertainment Company, a Warner Music Group company",,,,,,,,,,,,
Morals,Morals,Lilly Palmer;DANNY AVILA;ROWN,,19/12/2025,161697,52,"techno,hard techno,acid techno",Armada Music,,,,,,,,,,,,
Bite The Bullet,Bite The Bullet,SUM SUN,,19/12/2025,199373,48,,GOOD NOISE.,,,,,,,,,,,,
War,War,ILLENIUM;Lø Spirit,,15/12/2025,185062,63,"melodic bass,future bass,edm","Illenium, LLC",,,,,,,,,,,,
Ignite,Ignite EP,Prunk;Ryan Nicholls,,19/12/2025,176250,46,"house,lo-fi house,tech house",PIV,,,,,,,,,,,,
Supreme Sanders,Supreme Sanders,EST Gee,,19/12/2025,142506,54,,CMG/Interscope Records,,,,,,,,,,,,
Not the Same,Spirals,River Tiber,,19/12/2025,119745,50,,River Tiber,,,,,,,,,,,,
anyone else,anyone else,Adam Yokum;mike.,,19/12/2025,216888,56,,The Lodge,,,,,,,,,,,,
Weak Spot,Weak Spot,Philine Sonny,,19/12/2025,254853,51,german indie pop,Nettwerk Music Group,,,,,,,,,,,,
Nobody Else (with Kaleena Zanders),Nobody Else (with Kaleena Zanders),GRiZ;Kaleena Zanders,,19/12/2025,192000,59,"dubstep,edm",GRiZ LLC,,,,,,,,,,,,
problem child,problem child,Jake Marsh,,19/12/2025,136525,43,,Jake Marsh,,,,,,,,,,,,
On The Floor,On The Floor,TheARTI$t,,19/12/2025,157440,49,,"No More Heroes, LLC/Santa Anna",,,,,,,,,,,,
REAL NIGGA DIARY. FT. JEEZY.,ALREADY LEGEND. (GIFTED Edition),YFN Lucci;Jeezy,,16/12/2025,194285,57,"southern hip hop,crunk,rap,gangster rap",Already Legend/Think It's A Game Records,,,,,,,,,,,,
Fade away,Fade Away EP,Kyle Walker,,19/12/2025,261120,2,tech house,Dub or Die,,,,,,,,,,,,
No Direction,No Direction,The Band Of Heathens,,19/12/2025,176158,46,"red dirt,texas country,alt country,americana,outlaw country,southern rock",BOH Records,,,,,,,,,,,,
Finest Work,Bargaining,Theo Bleak,,18/12/2025,173946,46,,Full Gloom,,,,,,,,,,,,
Everything Burns (feat. Beartooth),Everything Burns (feat. Beartooth),Tom Morello;Beartooth,,17/12/2025,181666,68,"metalcore,post-hardcore",Mom+Pop Music,,,,,,,,,,,,
It’s Called Doubt,It’s Called Doubt,Drayton Farley,,19/12/2025,248626,47,"red dirt,alt country",One Riot Records,,,,,,,,,,,,
With or Without Her,With or Without Her,Conor Burns,,19/12/2025,235845,46,,Alta Music Group,,,,,,,,,,,,
Mami,ANIMÁL,rommulas,,19/12/2025,166133,56,"hyperpop,electroclash",rommulas,,,,,,,,,,,,
Otro Como Tú,Otro Como Tú,Cazzu,,18/12/2025,202956,66,"argentine trap,trap latino,turreo",DALE PLAY Records / RIMAS Entertainment LLC,,,,,,,,,,,,
popoff,popoff,Sophie Powers,,19/12/2025,105983,56,,Sophie Powers Music,,,,,,,,,,,,
My Life,My Life,Hurricane Wisdom,,19/12/2025,124235,59,sexy drill,Rebel Music / gamma.,,,,,,,,,,,,
(how could i be)honest?,(how could i be)honest?,Rol3ert,,17/12/2025,209712,55,,Exciter Records,,,,,,,,,,,,
