Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Old Phone,Old Phone,Ed Sheeran,,01/05/2025,221831,64,soft pop,Gingerbread Man Records / Atlantic Records UK,,,,,,,,,,,,
Priceless (feat. LISA),Priceless (feat. LISA),Maroon 5;LISA,,02/05/2025,163352,69,"pop,k-pop",222 Records/Interscope Records,,,,,,,,,,,,
Lose My Mind (feat. Doja Cat) [From F1® The Movie],Lose My Mind (feat. Doja Cat) [From F1® The Movie],Don Toliver;Doja Cat;F1 The Album,,30/04/2025,209051,83,,Atlantic Records,,,,,,,,,,,,
Dope Boy Phone (with Takeoff),Dope Boy Phone (with Takeoff),Quavo;Takeoff,,02/05/2025,128409,46,,Quality Control Music/Motown Records,,,,,,,,,,,,
Talk,I Said I Love You First... And You Said It Back,Selena Gomez;benny blanco,,02/05/2025,132539,52,,SMG Music LLC & Friends Keep Secrets under exclusive license to Interscope Records,,,,,,,,,,,,
Backup Plan (feat. Luke Combs),Backup Plan (feat. Luke Combs),Bailey Zimmerman;Luke Combs,,02/05/2025,181518,73,country,Atlantic Records/Warner Records Nashville,,,,,,,,,,,,
Blue Devil,Glockaveli,Key Glock,,02/05/2025,139860,55,,Key Glock,,,,,,,,,,,,
Spend It,Spend It,Summer Walker,,02/05/2025,165000,60,r&b,LVRN/Interscope Records,,,,,,,,,,,,
SEEIN’ STARS,SEEIN’ STARS / BIRDS,Turnstile,,30/04/2025,186277,50,"hardcore punk,hardcore",Roadrunner Records,,,,,,,,,,,,
peliculiando,111XPANTIA,Fuerza Regida,,02/05/2025,208696,75,"corrido,corridos tumbados,corridos bélicos,música mexicana,sierreño,banda,sad sierreño,electro corridos",Rancho Humilde/Street Mob Records/Sony Music Latin,,,,,,,,,,,,
Think Of Me,Think Of Me,HUGEL;David Guetta;Kehlani;Daecolm,,02/05/2025,170041,68,"latin house,afro house,techengue,edm",Intercord,,,,,,,,,,,,
