Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Camera,Play,Ed Sheeran,,12/09/2025,215511,76,soft pop,Gingerbread Man Records / Atlantic Records UK,,,,,,,,,,,,
DOG HOUSE (feat. Julia Wolf & Yeat),DOG HOUSE,Drake;Julia Wolf;Yeat,,09/09/2025,190010,73,"rap,rage rap",OVO/Republic,,,,,,,,,,,,
Cry about it! (feat. Ravyn Lenae),Cry about it! (feat. Ravyn Lenae),Kali Uchis;Ravyn Lenae,,11/09/2025,171507,60,"alternative r&b,indie soul",Capitol Records,,,,,,,,,,,,
Here All Night,Here All Night,Demi Lovato,,12/09/2025,176832,60,,"DLG Recordings, LLC / Island Records",,,,,,,,,,,,
City Walls,Breach,Twenty One Pilots,,12/09/2025,322066,75,,Fueled By Ramen,,,,,,,,,,,,
Shoot It Off,Shoot It Off,Polo G,,10/09/2025,128832,49,,Capalot/Columbia Records,,,,,,,,,,,,
Pink Money (feat. G Herbo),Pink Money (feat. G Herbo),Coi Leray;Bktherula;G Herbo,,12/09/2025,164586,44,"sexy drill,chicago drill,drill",Trendsetter Studios / Epic Records,,,,,,,,,,,,
CANNIBALISM!,CANNIBALISM!,Slayyyter,,12/09/2025,167156,60,hyperpop,Records/Columbia,,,,,,,,,,,,
crystallized (feat. Inéz),crystallized (feat. Inéz),John Summit;Inéz,,12/09/2025,217646,70,"house,tech house",Experts Only/Darkroom Records,,,,,,,,,,,,
GuabanSexxx,GuabanSexxx,Rauw Alejandro,,10/09/2025,161055,68,"reggaeton,urbano latino,trap latino,latin",Sony Music Latin,,,,,,,,,,,,
The Happy Dictator (feat. Sparks),The Happy Dictator (feat. Sparks),Gorillaz;Sparks,,11/09/2025,284775,68,"glam rock,synthpop,art pop,art rock,new wave",Kong,,,,,,,,,,,,
Mr. Mountebank,The Crux Deluxe,Djo,,12/09/2025,311083,62,,Djo,,,,,,,,,,,,
queen of the season,last night you said you missed me,Hazlett,,12/09/2025,199040,64,indie folk,Nettwerk Music Group,,,,,,,,,,,,
How Far Does A Goodbye Go,How Far Does A Goodbye Go,Jason Aldean,,12/09/2025,235727,66,"country,acoustic country",Broken Bow Records,,,,,,,,,,,,
Petals,Mark William Lewis,mark william lewis,,12/09/2025,173493,53,,A24 Music,,,,,,,,,,,,
Take A Drive,Take A Drive,Rex Orange County,,09/09/2025,225000,64,bedroom pop,Rex Orange County,,,,,,,,,,,,
The Dress (Dijon Cover) (Live) - Spotify Live Room,Olivia Dean - Spotify Live Room,Olivia Dean,,10/09/2025,183000,75,pop soul,PLG - Capitol,,,,,,,,,,,,
Jaime,Girl Violence,King Princess,,12/09/2025,143213,51,,section1,,,,,,,,,,,,
Unconditional,Unconditional,JADE,,10/09/2025,212386,50,,RCA Records Label,,,,,,,,,,,,
Deep Clear Water,Deep Clear Water,Gryffin;GRiZ,,12/09/2025,199651,56,"edm,melodic bass,future bass,dubstep",Gryffin LLC,,,,,,,,,,,,
FaSHioN,COLOR OUTSIDE THE LINES,CORTIS,,08/09/2025,174653,85,k-pop,Republic Records – CORTIS,,,,,,,,,,,,
Motion (feat. Sexyy Red & NaNaski),Motion (feat. Sexyy Red & NaNaski),PLUTO;NaNaski;Sexyy Red,,12/09/2025,192676,56,,Motown Records,,,,,,,,,,,,
Nobody But Us,Nobody But Us,Mario,,12/09/2025,194285,51,r&b,New Citizen LLC / EMPIRE,,,,,,,,,,,,
Only Bible,Only Bible,Warren Zeiders,,12/09/2025,229371,59,country,Warner Records,,,,,,,,,,,,
What A Life,Little House,Rachel Chinouriri,,12/09/2025,246696,48,,Parlophone UK,,,,,,,,,,,,
Sorry,Sorry,Parcels,,10/09/2025,197703,23,indie soul,PARCELS MUSIC,,,,,,,,,,,,
I Met A Boy,Confessions,Mimi Webb,,12/09/2025,177862,44,,Epic,,,,,,,,,,,,
ESTA ES TU CASA NENA,ESTA ES TU CASA NENA,Kapo;Camilo,,11/09/2025,209616,69,"latin afrobeats,colombian pop,pop urbano",Sony Music Latin/La Industria,,,,,,,,,,,,
Dreamflasher,Revengeseekerz,Jane Remover,,04/04/2025,224486,58,hyperpop,deadAir,,,,,,,,,,,,
HOW I DO IT,As The Pendulum Swings,Rezz;Dillon Francis;BRVMES,,12/09/2025,148300,50,"edm,dubstep,moombahton,electro house",HypnoVizion Records Inc.,,,,,,,,,,,,
AP Freestyle,AP Freestyle,Nemzzz,,10/09/2025,118356,63,"uk drill,drill",Atlantic Records UK,,,,,,,,,,,,
Eatcha Beatcha,Eatcha Beatcha,BunnaB,,12/09/2025,147930,32,,Artist Partner Group,,,,,,,,,,,,
act xvi: twentyfoe7,Still Shinin,4batz;FLO,,12/09/2025,164733,46,uk r&b,BuVision,,,,,,,,,,,,
"Talk to Me (feat. Tyla, Nile Rodgers)",FUNNY little FEARS (DREAMS),Damiano David;Tyla;Nile Rodgers,,11/09/2025,193502,41,afrobeats,Sony Music Italy / Arista Records,,,,,,,,,,,,
Velcro,A Thousand Songs About It All: Act 1,Madilyn Mei,,12/09/2025,113186,39,,Madilyn Mei,,,,,,,,,,,,
something like this,something like this,Cil,,12/09/2025,169430,48,,Warner Records,,,,,,,,,,,,
Wake (feat. Fleet Foxes),Wake,Madison Cunningham;Fleet Foxes,,12/09/2025,256613,41,"indie folk,folk,indie",Verve Forecast,,,,,,,,,,,,
Young Player (feat. Larry June),Young Player (feat. Larry June),Luh Tyler;Larry June,,12/09/2025,166742,51,,Motion Music/Atlantic,,,,,,,,,,,,
RADIO (feat. Kim Petras),SISTER,Frost Children;Kim Petras,,12/09/2025,190222,50,"hyperpop,electroclash",Dirty Hit,,,,,,,,,,,,
Throw Me Away,Throw Me Away,Militarie Gun,,10/09/2025,191190,35,,Loma Vista Recordings,,,,,,,,,,,,
JUICY,JUICY,Jordan Ward,,10/09/2025,192221,51,,"ARTium Recordings, LLC/Interscope Records",,,,,,,,,,,,
DADE,DADE,BIA;Key Glock,,12/09/2025,104415,43,,Epic,,,,,,,,,,,,
Driving me crazy,Goodbyehouse,snuggle,,12/09/2025,150416,41,"bedroom pop,alternative r&b",Escho,,,,,,,,,,,,
808 HYMN,808 HYMN,Erin LeCount,,10/09/2025,253751,52,,Erin LeCount / Good As Gold Records,,,,,,,,,,,,
Never the Same,Never the Same,BOY SODA,,12/09/2025,186000,36,,WM Australia,,,,,,,,,,,,
