Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,Fat Juicy & Wet,Fat Juicy & Wet,Sexyy Red;Bruno Mars,,14/10/2024,141057,68,,gamma. / Atlantic Records
2,Guilty,I've Tried Everything But Therapy (Part 2),Teddy Swims,,24/01/2025,176424,67,,Warner Records
3,Sports car,Sports car,Tate McRae,,24/01/2025,165045,80,,RCA Records Label
4,Truth In The Lies (feat. Lil Durk),CAN'T RUSH GREATNESS,Central Cee;Lil Durk,,24/01/2025,142786,70,"uk drill,drill,uk grime,grime,chicago drill",Columbia
5,Basic Being Basic,Basic Being Basic,Djo,,24/01/2025,158109,61,,Djo Music
6,4X4,4X4,Travis Scott,,24/01/2025,190581,74,rap,Cactus Jack / Epic
7,Rio,Rio,J Balvin,,24/01/2025,188386,70,"reggaeton,latin",Capitol Records
8,Childlike Things,EUSEXUA,FKA twigs;North West,,24/01/2025,150773,59,"art pop,alternative r&b",Atlantic Records
9,305,A Jaguar's Dream,Jordan Adetunji;Bryson Tiller,,23/01/2025,153333,64,"sexy drill,trap soul,r&b",300 Entertainment
10,Chasing Paradise,Chasing Paradise,Kygo;OneRepublic,,24/01/2025,180532,68,"tropical house,soft pop",Kygo
11,21st Century Cool Girl,21st Century Cool Girl,Chloe Qisha,,22/01/2025,197655,59,,VLF Records / Are You Serious? Records
12,Who Laughs Last (feat. Kristen Stewart),Who Laughs Last,Lord Huron;Kristen Stewart,,24/01/2025,283946,46,,Mercury Records/Lord Huron
13,Haunted,The High Road,Kane Brown;Jelly Roll,,24/01/2025,264800,60,"country,pop country,country hip-hop",Sony Music Nashville
14,"Anytime, Anyplace, Anyhow","Anytime, Anyplace, Anyhow",Matt Maltese,,22/01/2025,227147,48,,Tonight Matthew
15,Mi Vida Mi Muerte,Mi Vida Mi Muerte,Neton Vega,,20/01/2025,175714,69,"corrido,corridos tumbados,corridos bélicos,electro corridos,dembow belico",Josa Records
16,Holy Ground (feat. Jessie Murph),TAKE CARE (DELUXE),BigXthaPlug;Jessie Murph,,24/01/2025,177013,73,southern hip hop,BigXthaPlug under exclusive license to UnitedMasters LLC
17,True Religion,True Religion,Shygirl;Club Shy;Isabella Lovestory;PinkPantheress,,22/01/2025,170769,47,"hyperpop,neoperreo,bedroom pop",Because Music Ltd.
18,Goals,Goals,Sophie Powers,,24/01/2025,133746,43,,TAG/Atlantic
19,Sanctuary,Sanctuary,Tamino;Mitski,,23/01/2025,211061,38,,Communion Music
20,Ready To Love,NGL,JoJo,,24/01/2025,174053,43,,BMG Rights Management (US) LLC
21,Thought It Was Love,The Select,Ty Myers,,24/01/2025,246141,77,country,RECORDS Nashville / Columbia
22,SAFE,SAFE,JP Saxe,,24/01/2025,179697,35,,Arista Records
23,Nod,Nod,Rise Against,,23/01/2025,182494,44,"punk,hardcore punk",Loma Vista Recordings
24,Vitamina,Vitamina,Danny Ocean,,23/01/2025,157755,62,reggaeton,Atlantic Records
25,llamando,llamando,camoufly,,24/01/2025,156184,32,"uk garage,stutter house",kawaii bounce
26,HIM (feat. Big Boogie),HIM (feat. Big Boogie),DaBaby;Big Boogie,,20/01/2025,168149,47,,South Coast Music Group/Interscope Records
27,Big Body (feat. Lil Yachty),For Us,Hunxho;Lil Yachty,,24/01/2025,184630,36,,300 Entertainment
28,BUTTERFLY EFFECT,BUTTERFLY EFFECT,SIENNA SPIRO,,24/01/2025,151000,62,,Liberty
29,Ripple,Ripple,Good Neighbours,,24/01/2025,161007,59,,Polydor Records
30,Shaking Things Up,Shaking Things Up,nimino,,23/01/2025,216480,60,"stutter house,melodic house",Counter Records
31,Phone Me,Phone Me,Mereba,,23/01/2025,171840,0,alternative r&b,Secretly Canadian
32,Bad Choices,Bad Choices,Larry June;2 Chainz;The Alchemist,,22/01/2025,184600,41,"southern hip hop,rap,alternative hip hop,jazz rap,experimental hip hop,boom bap",The Freeminded Records / 2 Chainz / ALC / EMPIRE
33,444,444,NLE Choppa,,24/01/2025,114849,51,,Warner Records
