Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Don't Remind Me (with Anderson .Paak),Pretty Idea,Amber Mark;Anderson .Paak,,10/10/2025,218472,64,"alternative r&b,indie soul",PMR Records/Interscope Records,,,,,,,,,,,,
Gone Gone Gone,Gone Gone Gone,David Guetta;Teddy Swims;Tones And I,,10/10/2025,198004,82,edm,Atlantic Records UK,,,,,,,,,,,,
Tie you down,Tie you down,HAIM;Bon Iver,,10/10/2025,176826,48,,Columbia,,,,,,,,,,,,
The Manifesto (feat. Trueno and Proof),The Manifesto (feat. Trueno and Proof),Gorillaz;Trueno;Proof,,08/10/2025,439125,67,argentine trap,Kong,,,,,,,,,,,,
bittersweet,bittersweet,Madison Beer,,10/10/2025,202795,87,,Epic/Sing It Loud,,,,,,,,,,,,
EYES CLOSED (with ZAYN),EYES CLOSED (with ZAYN),JISOO;ZAYN,,10/10/2025,181375,85,k-pop,Warner Records,,,,,,,,,,,,
Part of Me,Part of Me,A Boogie Wit da Hoodie,,10/10/2025,167213,71,melodic rap,300 / Highbridge The Label,,,,,,,,,,,,
Beat A B!tch Up,Beat A B!tch Up,Alemeda;Doechii,,10/10/2025,167746,58,,Warner Records,,,,,,,,,,,,
Swan,Melt,Not for Radio,,10/10/2025,251601,62,,Nice Life/Atlantic,,,,,,,,,,,,
Work On Me,Anna,Dasha,,10/10/2025,179304,59,,Warner Records,,,,,,,,,,,,
nah,after the sun goes down,Khalid,,10/10/2025,163173,66,,"Right Hand Music Group, LLC/RCA Records",,,,,,,,,,,,
GIRLBOSS,GIRLBOSS,Sara Landry,,10/10/2025,193500,65,"hard techno,techno,acid techno,tekno,hardcore techno",Insomniac Records,,,,,,,,,,,,
Kiss,Kiss,Demi Lovato,,10/10/2025,139390,59,,"DLG Recordings, LLC / Island Records",,,,,,,,,,,,
Unfollow,Underwater,Dei V,,10/10/2025,172000,62,"trap latino,urbano latino",Encore Recordings,,,,,,,,,,,,
viscus (feat. FKA twigs),viscus (feat. FKA twigs),Oklou;FKA twigs,,09/10/2025,220534,50,"art pop,hyperpop,alternative r&b",True Panther Records,,,,,,,,,,,,
Stuck,Soft,LANY,,10/10/2025,183803,70,,LANY,,,,,,,,,,,,
CAOS,CAOS,Miguel,,06/10/2025,197410,42,r&b,ByStorm Entertainment/RCA Records,,,,,,,,,,,,
Whatever U Want (feat. Jeremih),Whatever U Want,G Herbo;Jeremih,,08/10/2025,149578,50,"chicago drill,drill",G Herbo/UMG,,,,,,,,,,,,
2 Crash Outs (feat. YoungBoy Never Broke Again),PLUTO WORLD,PLUTO;YoungBoy Never Broke Again,,10/10/2025,168766,48,,Motown Records,,,,,,,,,,,,
To The Moon,To The Moon,Alok;ILLENIUM,,10/10/2025,268979,64,"brazilian bass,electronic,slap house,electro house,melodic bass,future bass,edm",Columbia/B1 Recordings,,,,,,,,,,,,
You Broke Me Too (feat. Avril Lavigne),Better Days,Yellowcard;Avril Lavigne,,10/10/2025,187249,61,"pop punk,punk,emo",Better Noise Music,,,,,,,,,,,,
Complicated,Hard To Love,Sofia Camara,,10/10/2025,187215,57,,Universal Music Canada,,,,,,,,,,,,
Break The Jaw,Break The Jaw,Madison Cunningham,,08/10/2025,247053,0,,Verve Forecast,,,,,,,,,,,,
i'm ready (feat. Odeal),WONDERLOVE +,Chase Shakur;Odeal,,10/10/2025,206222,51,"dark r&b,afroswing,alté,afro r&b,uk r&b,afrobeats,afro soul,afrobeat",Def Jam Recordings,,,,,,,,,,,,
Pretty Little Liar,Pretty Little Liar,Waylon Wyatt,,10/10/2025,242578,61,country,Music Soup/Darkroom Records,,,,,,,,,,,,
Keep Me in the Dark,The Life You Save,Flock of Dimes,,10/10/2025,266546,42,,Sub Pop Records,,,,,,,,,,,,
Memories,XOXO,Lojay;Tyla,,10/10/2025,187037,58,"afrobeats,afrobeat,afropop,alté,afro r&b,afropiano",Koratori Music,,,,,,,,,,,,
Still Get Chanel (feat. Chance The Rapper),Still Get Chanel (feat. Chance The Rapper),Kodak Black;Chance the Rapper,,10/10/2025,199431,52,,Vulture Love/Capitol Records,,,,,,,,,,,,
SHOW ME LOVE (feat. Tory Lanez),SHOW ME LOVE (feat. Tory Lanez),Ty Dolla $ign;Tory Lanez,,09/10/2025,127058,47,trap soul,Atlantic Records,,,,,,,,,,,,
Voices,HUMANiSE,HAAi,,10/10/2025,338262,38,,Mute,,,,,,,,,,,,
I Like It Like That,I Like It Like That,Fcukers,,07/10/2025,173772,60,,Ninja Tune,,,,,,,,,,,,
You're No Man,When Are You Leaving?,NoSo,,10/10/2025,208000,18,,Mushroom Music,,,,,,,,,,,,
HOME,HOME,Eddie Benjamin;Shawn Mendes,,10/10/2025,159527,58,,Epic,,,,,,,,,,,,
SCORPIO,SCORPIO,JHAYCO,,10/10/2025,227956,65,"reggaeton,trap latino,urbano latino",Universal Music Latino,,,,,,,,,,,,
Love Is A Canyon,I WANT MY LOVED ONES TO GO WITH ME (DELUXE),Noah Cyrus;Orville Peck,,10/10/2025,228593,50,alt country,Records/Columbia,,,,,,,,,,,,
"Heavy, Heavy Love",A Crater Wide,Hunter Metts,,10/10/2025,190781,47,,Position Music/Interscope Records,,,,,,,,,,,,
"Well, Whatever It Was","Well, Whatever It Was",Joyce Manor,,07/10/2025,126487,51,"midwest emo,pop punk,emo,indie punk,math rock",Epitaph,,,,,,,,,,,,
Past Lives,Past Lives,Jay Som;Hayley Williams,,07/10/2025,177283,38,"dream pop,indie pop,art pop",Lucky Number,,,,,,,,,,,,
Losing,Forever Is A Feeling: The Archives,Lucy Dacus,,10/10/2025,123239,45,,"Lucy Dacus, under exclusive license to Geffen Records.",,,,,,,,,,,,
CRASH OUT (feat. FLO),HYDRAULIC,Josh Levi;FLO,,10/10/2025,170492,54,uk r&b,Atlantic Records / Raedio,,,,,,,,,,,,
"Zoo - From ""Zootopia 2""","Zoo (From ""Zootopia 2"")",Disney;Shakira,,10/10/2025,190822,79,latin pop,Walt Disney Records,,,,,,,,,,,,
Sirens (From Ireland),Sirens (From Ireland),Skepta;Finessekid,,10/10/2025,160800,63,"grime,uk grime",Epic Records UK,,,,,,,,,,,,
Friends (feat. Linney),Friends (feat. Linney),Subtronics;Linney,,10/10/2025,196363,51,"riddim,dubstep,edm,deathstep,bass music,dub,melodic bass,trance",Cyclops Recordings,,,,,,,,,,,,
ME+YOU,TEN: The Story Goes On,TWICE,,10/10/2025,175000,53,k-pop,WM Japan,,,,,,,,,,,,
When I Close My Eyes,A Wonderful Life (Epilogue),Tom Odell,,10/10/2025,193393,73,,UROK,,,,,,,,,,,,
Things You Didn't See,Things You Didn't See,Priscilla Block,,10/10/2025,217800,48,country,UMGN InDent Records,,,,,,,,,,,,
Wings,Wings,RJ Pasin;Julia Wolf,,10/10/2025,157935,58,phonk,broke,,,,,,,,,,,,
Why’d You Have To Bring Me Flowers,Why'd You Have To Bring Me Flowers,Madi Diaz,,06/10/2025,244869,19,,Anti/Epitaph,,,,,,,,,,,,
SE SUPONE,SE SUPONE,Blessd;Los Money Makers,,09/10/2025,164265,66,"reggaeton,urbano latino",WEA Latina,,,,,,,,,,,,
