Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,Just Us (feat. Doja Cat),Just Us (feat. Doja Cat),Jack Harlow;Doja Cat,,21/03/2025,172877,65,,Generation Now/Atlantic
2,Younger And Hotter Than Me,I Said I Love You First,Selena Gomez;benny blanco,,21/03/2025,189647,52,,SMG Music LLC & Friends Keep Secrets under exclusive license to Interscope Records
3,I'm A Little Crazy,I'm A Little Crazy,Morgan Wallen,,21/03/2025,199060,66,country,Mercury Records/Morgan Wallen
4,Love Me To Heaven,Love Me To Heaven,Jonas Brothers,,21/03/2025,206561,65,,Republic Records
5,southbound,southbound / test drive,Artemas,,19/03/2025,137923,71,,Artemas
6,undressed,undressed,sombr,,21/03/2025,182088,83,,Warner Records
7,Picture Window,For Melancholy Brunettes (& sad women),Japanese Breakfast,,21/03/2025,178213,49,,Dead Oceans
8,La Nena,La Nena,Ozuna,,20/03/2025,178426,51,"reggaeton,trap latino,latin,urbano latino",Nibiru International/Sony Music Latin
9,Can't Hide It (feat. Jhené Aiko),Can't Hide It (feat. Jhené Aiko),Lil Durk;Jhené Aiko,,21/03/2025,162187,58,"chicago drill,drill,r&b",Alamo
10,Stay,Stay,FISHER,,21/03/2025,165961,39,"tech house,house",etcetc
11,Don't Put It All On Me (feat. Fleet Foxes),Don't Put It All On Me (feat. Fleet Foxes),Noah Cyrus;Fleet Foxes,,19/03/2025,247306,52,"indie folk,folk,indie",Records/Columbia
12,your name forever,your name forever,mgk,,18/03/2025,229016,59,,"EST 19XX, LLC, under exclusive license to Interscope Records"
13,MONA LISA,MONA LISA,j-hope,,21/03/2025,137191,77,"k-pop,k-rap",BIGHIT MUSIC
14,LEAN ON MY BODY,LEAN ON MY BODY,Lil Nas X,,21/03/2025,205920,38,,Columbia
15,Bed Rest,"Kid Krow, Decomposed (5 Year Anniversary)",Conan Gray,,20/03/2025,248280,36,,Republic Records
16,I Come With Mud,Equus Asinus,Men I Trust,,19/03/2025,291791,55,"bedroom pop,indie pop",Independent
17,Wish You Well,Wish You Well,Avery Anna,,21/03/2025,184653,48,,Warner Records Nashville
18,"Oh, Baby!","Oh, Baby!",Omar Montes;Dei V;Ovy On The Drums,,20/03/2025,206548,49,"flamenco,flamenco urbano,flamenco pop,trap latino,urbano latino,reggaeton",Sony Music Latin
19,DELUSIONAL,DELUSIONAL,DESTIN CONRAD,,21/03/2025,118666,33,alternative r&b,Above Ground Ent / Destin Conrad / EMPIRE
20,Close The Door,Close The Door,Moneybagg Yo,,21/03/2025,131248,48,,CMG/N-Less/Interscope Records
21,Cry For You,Cry For You,Isabel LaRosa,,21/03/2025,142681,47,,Slumbo Labs/RCA Records
22,Starry Eyed,Starry Eyed,Good Neighbours,,21/03/2025,136925,52,,Polydor Records
23,"Hello Heaven, Hello","Hello Heaven, Hello",YUNGBLUD,,18/03/2025,546385,55,,Locomotion Recordings/Capitol Records
24,Abilene,Abilene,Hunter Metts,,21/03/2025,256000,38,,Position Music
25,Hands Of Time,Hands Of Time,Eric Church,,20/03/2025,212986,53,"country,acoustic country",EMI Music Nashville (ERN)
26,Don't Wake Me Up,Don't Wake Me Up,James Hype,,21/03/2025,154139,70,"house,tech house",Universal-Island Records Ltd.
27,REAL ME (WITH METRO BOOMIN),REAL ME,NAV;Metro Boomin,,21/03/2025,187213,46,melodic rap,XO / Republic Records
28,Ran Out,Ran Out,JT,,21/03/2025,142768,65,,Quality Control Music/Motown Records
29,Pieces,Pieces,Leven Kali,,21/03/2025,177000,34,,Def Jam Recordings
30,Every Dawn's a Mountain,Every Dawn's a Mountain,Tamino,,21/03/2025,247940,41,,Virgin Music UK LAS (P&D)
31,Sleep When We're Dead,Sleep When We're Dead,Thomas Day,,21/03/2025,220344,50,,Arista Records
32,Weatherman,Weatherman,Hudson Westbrook,,21/03/2025,199639,56,country,River House Artists
33,Wood Knot,Moneyball,Dutch Interior,,21/03/2025,261306,32,,Fat Possum
34,All My Friends,Big Ole Album Vol. 1,A Day To Remember,,21/03/2025,181806,63,"metalcore,post-hardcore,pop punk,screamo,emo",Fueled By Ramen
35,Back In Bidness,Back In Bidness,Shoreline Mafia;OHGEESY;Fenix Flexin,,21/03/2025,137142,51,,300 Entertainment
36,Blanco,Blanco,Wale,,19/03/2025,190638,43,,Wale Music PS/ Def Jam
37,CUPID'S GIRL,CUPID'S GIRL,MARINA,,21/03/2025,208114,50,,BMG Rights Management (UK) Ltd.
38,TE CANTO BAJITO,TE CANTO BAJITO,Blessd;Anuel AA;SOG,,18/03/2025,178775,69,"reggaeton,urbano latino,trap latino,latin",WEA Latina
39,Quicksand (Don't Go),Quicksand (Don't Go),Above & Beyond;Zoë Johnston,,21/03/2025,192954,50,"trance,progressive trance,progressive house",Anjunabeats
40,Feeling,Feeling,Billie Marten,,19/03/2025,200626,56,,Fiction Records
41,Coyote,Coyote,Mt. Joy,,21/03/2025,244106,39,,Bloomfield Records
42,You or Nobody (with Timbaland),You Or Nobody,Jastin Martin;Timbaland,,19/03/2025,153813,30,,Def Jam Recordings
43,Crash (feat. Raphael Saadiq and Kelly Rowland),From The Private Collection of Saba and No ID,Saba;No ID;Raphael Saadiq;Kelly Rowland,,18/03/2025,208197,42,"neo soul,soul,retro soul","From The Private Collection, LLP"
44,Proud,Proud,Grace VanderWaal,,21/03/2025,152193,0,,PULSE Records
45,RED,RED,LSDXOXO;Boys Noize;VTSS,,21/03/2025,161400,31,"ballroom vogue,electro house,acid techno,techno",F.A.G.
46,Itty Bitty,Itty Bitty,Ashnikko,,21/03/2025,162000,54,,Parlophone UK
47,Spin,Spin,Rolling Loud;Ski Mask The Slump God;Kyle Richh,,21/03/2025,122669,41,"new york drill,drill,sexy drill,brooklyn drill,jersey club",Rolling Loud Records / EMPIRE
48,FEVER,FEVER,WesGhost,,21/03/2025,150697,41,,Columbia
49,Whatcha Mean,TELL DEM IT'S SUNNY,Greentea Peng,,21/03/2025,158739,34,"alternative r&b,neo soul",Greentea Peng
50,God Bless The West (feat. Cleto Cordero),God Bless The West (feat. Cleto Cordero),Ian Munsick;Cleto Cordero,,21/03/2025,228296,44,"red dirt,country",Warner Records Nashville
51,Half a Lifetime,Half a Lifetime,My Morning Jacket,,18/03/2025,200973,0,"jam band,alt country",ATO Records
52,When in Rome,When in Rome,Kacy Hill,,21/03/2025,144215,25,,Nettwerk Music Group
