Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Eternity,"You'll Be Alright, Kid",Alex Warren,,18/07/2025,189553,87,,Atlantic Records,,,,,,,,,,,,
ALAMBRE PúA,ALAMBRE PúA,Bad Bunny,,14/07/2025,146017,72,"reggaeton,trap latino,urbano latino,latin",Rimas Entertainment LLC,,,,,,,,,,,,
DA WIZARD,JACKBOYS 2,Travis Scott,,11/07/2025,156157,68,rap,Cactus Jack / Epic,,,,,,,,,,,,
1965,Sex Hysteria,Jessie Murph,,18/07/2025,168247,67,,Columbia,,,,,,,,,,,,
Madeline (feat. Gabriella Rose),Madeline (feat. Gabriella Rose),Zach Bryan;Gabriella Rose,,18/07/2025,145146,72,"country,red dirt",Warner Records,,,,,,,,,,,,
"Mind Loaded (feat. Caroline Polachek, Lorde & Mustafa)","Mind Loaded (feat. Caroline Polachek, Lorde & Mustafa)",Blood Orange;Caroline Polachek;Lorde;Mustafa,,17/07/2025,217901,58,art pop,Domino Recording Co./RCA Records,,,,,,,,,,,,
Why Is She Still Here?,Why Is She Still Here?,Reneé Rapp,,18/07/2025,150255,23,,Interscope Records,,,,,,,,,,,,
Oranges,Headlights,Alex G,,18/07/2025,172778,50,,Alex G/RCA Records,,,,,,,,,,,,
IM YEAT,IM YEAT,Yeat;BNYX®,,18/07/2025,168549,63,"rage rap,alté",Lyfestyle Corporation/Field Trip Recordings/Capitol Records,,,,,,,,,,,,
Easy Goodbye,Easy Goodbye,Emma Louise;Flume,,18/07/2025,254296,43,future bass,Flume,,,,,,,,,,,,
Woke Up,Woke Up / The Face,Trippie Redd,,18/07/2025,133877,49,melodic rap,"1400 Entertainment, Inc. / 10K Projects / Atlantic",,,,,,,,,,,,
TENGO CELOS,ISLAND BOYZ,Myke Towers,,17/07/2025,211101,64,"reggaeton,trap latino,urbano latino",WEA Latina,,,,,,,,,,,,
Dance King,Dance King,Saga Faye,,18/07/2025,150872,35,,Universal-Island Records Ltd.,,,,,,,,,,,,
I Can’t Lose,I Can't Lose,Jonas Brothers,,16/07/2025,183284,59,,Republic Records,,,,,,,,,,,,
Hangin’ On,Westward,Dylan Gossett,,18/07/2025,220651,54,country,Dylan Gossett,,,,,,,,,,,,
I Can Die Now,I Can Die Now,Ruel,,17/07/2025,171280,49,,Ruel,,,,,,,,,,,,
Watch Me Go,The Cosmic Selector Vol. 1,Lord Huron,,18/07/2025,186987,58,,Mercury Records/Lord Huron,,,,,,,,,,,,
"ICED TEA (feat. 21 Savage, Project Pat & Coupe)","ICED TEA (feat. 21 Savage, Project Pat & Coupe)",Young Nudy;21 Savage;Project Pat;Coupe,,18/07/2025,206133,54,"southern hip hop,crunk,gangster rap",PDE Records/RCA Records,,,,,,,,,,,,
1995,1995,Freddie Gibbs;The Alchemist,,17/07/2025,289426,50,"jazz rap,alternative hip hop,experimental hip hop,boom bap",Freddie Gibbs and Alchemist,,,,,,,,,,,,
MIAMI,MIAMI,Tommy Richman,,18/07/2025,181395,51,,PULSE Records,,,,,,,,,,,,
Perfectly,Perfectly,FKA twigs,,16/07/2025,230797,51,"art pop,alternative r&b",Atlantic Records,,,,,,,,,,,,
Blackberries,Blackberries,FISHER;bbyclose,,18/07/2025,121846,69,"tech house,house",Catch & Release,,,,,,,,,,,,
This is the Killer Speaking,This is the Killer Speaking,The Last Dinner Party,,17/07/2025,294773,52,,Universal-Island Records Ltd.,,,,,,,,,,,,
California,California,Maroon 5,,17/07/2025,136031,51,pop,222 Records/Interscope Records,,,,,,,,,,,,
Oakland Baby,Oakland Baby,Karri;Isaiah Falls,,18/07/2025,129850,52,dark r&b,Bankrol Records/New 11 Records/PFL,,,,,,,,,,,,
sos,black british music (2025),Jim Legxacy,,18/07/2025,136845,52,,XL Recordings,,,,,,,,,,,,
