Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
What Was That,What Was That,Lorde,,24/04/2025,209286,22,,Universal Music New Zealand Limited,,,,,,,,,,,,
Mystical Magical,Mystical Magical,Benson Boone,,24/04/2025,165746,83,,"Night Street Records, Inc./Warner Records Inc.",,,,,,,,,,,,
Is This Really Love?,WITHERED,d4vd,,25/04/2025,195328,6,,Darkroom/Interscope Records,,,,,,,,,,,,
Money On Money (feat. Future),Money On Money (feat. Future),Young Thug;Future,,25/04/2025,236626,68,"rap,melodic rap,trap",300 Entertainment,,,,,,,,,,,,
ILYSMIH,ILYSMIH,Kali Uchis,,25/04/2025,213030,53,,Capitol Records,,,,,,,,,,,,
Amen,"Where I've Been, Isn't Where I'm Going: The Complete Edition",Shaboozey;Jelly Roll,,25/04/2025,197403,69,"country hip-hop,country",American Dogwood / EMPIRE,,,,,,,,,,,,
"At The Beach, In Every Life","At The Beach, In Every Life",Gigi Perez,,25/04/2025,237809,68,,"Outtahere, LLC / Island Records",,,,,,,,,,,,
Whenever,Whenever,Megan Thee Stallion,,25/04/2025,165668,58,,Hot Girl Productions,,,,,,,,,,,,
Down to be wrong,Down to be wrong,HAIM,,24/04/2025,249120,38,,Columbia,,,,,,,,,,,,
Brunette,What Not To,Tucker Wetmore,,25/04/2025,139173,78,country,Tucker Wetmore,,,,,,,,,,,,
PIDA LO QUE QUIERA MAMI - A COLORS SHOW,PIDA LO QUE QUIERA MAMI - A COLORS SHOW,Feid;COLORS,,21/04/2025,207035,57,"reggaeton,urbano latino",Universal Music Latino,,,,,,,,,,,,
On Sight,Why Not More?,Coco Jones,,25/04/2025,267833,52,,High Standardz/Def Jam,,,,,,,,,,,,
Carousel,Carousel,Samia,,22/04/2025,207813,23,indie pop,Grand Jury Music,,,,,,,,,,,,
Stateside,Stateside,PinkPantheress,,25/04/2025,168040,56,bedroom pop,Warner Records,,,,,,,,,,,,
Nostalgia,Nostalgia,Sammy Virji;Issey Cross,,25/04/2025,210978,55,"uk garage,bassline,bass house,house,drum and bass,liquid funk",Capitol Records UK,,,,,,,,,,,,
Peacefield - Single Version,Peacefield,Ghost,,22/04/2025,286142,29,"metal,hard rock",Universal Music AB,,,,,,,,,,,,
BAD BITCHES,LOVE ON DIGITAL,DESTIN CONRAD;Kehlani,,25/04/2025,225444,52,alternative r&b,Above Ground Ent / Destin Conrad / EMPIRE,,,,,,,,,,,,
Gripper (feat. T-Pain),Gripper (feat. T-Pain),Flo Milli;T-Pain,,25/04/2025,172592,37,,'94 Sounds/RCA Records,,,,,,,,,,,,
Pack It Up,Pack It Up,ian,,25/04/2025,114626,56,,BuVision / Columbia,,,,,,,,,,,,
Damocles,Damocles,Sleep Token,,25/04/2025,264836,63,"progressive metal,metalcore",Sleep Token/RCA Records,,,,,,,,,,,,
My First Heartbreak,My First Heartbreak,Myles Smith,,25/04/2025,206800,54,,RCA Records Label,,,,,,,,,,,,
Learn The Hard Way,Learn The Hard Way,Jordan Davis,,25/04/2025,168680,44,"country,pop country",MCA Nashville,,,,,,,,,,,,
Unshatter,Unshatter,Linkin Park,,25/04/2025,196112,59,"nu metal,rap metal,rock,alternative metal",Warner Records,,,,,,,,,,,,
T.H.,10,SAULT,,18/04/2025,286856,40,,Forever Living Originals,,,,,,,,,,,,
Poplife,Poplife,umru;underscores,,24/04/2025,163074,45,hyperpop,umru,,,,,,,,,,,,
