Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,The Giver,The Giver,Chappell Roan,,13/03/2025,202768,72,,Chappell Roan PS/ Island
2,GOOD CREDIT (with Kendrick Lamar),MUSIC,Playboi Carti;Kendrick Lamar,,14/03/2025,190373,73,"rage rap,hip hop,west coast hip hop",AWGE/Interscope Records
3,Sunset Blvd,Sunset Blvd,Selena Gomez;benny blanco,,14/03/2025,167584,1,,SMG Music LLC & Friends Keep Secrets under exclusive license to Interscope Records
4,Relationships,Relationships,HAIM,,12/03/2025,202026,50,,Columbia
5,HOTBOX,HOTBOX,Lil Nas X,,14/03/2025,182925,50,,Columbia
6,Come Over,HOT,LE SSERAFIM,,14/03/2025,137178,66,k-pop,SOURCE MUSIC
7,SMOKE THE PAIN AWAY,SMOKE THE PAIN AWAY,Calvin Harris,,14/03/2025,162772,61,edm,Columbia
8,Still Bad,Still Bad,Lizzo,,13/03/2025,208585,59,,Nice Life/Atlantic
9,RARI,RARI,Peso Pluma,,13/03/2025,153394,70,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,banda",Double P Records
10,Dark Thoughts,Dark Thoughts,Lil Tecca,,14/03/2025,136991,77,"melodic rap,rap",Galactic / Republic Records
11,If Only I Could Wait,If Only I Could Wait b/w Walk Home,Bon Iver;Danielle Haim,,14/03/2025,202003,1,,Jagjaguwar
12,Love In Letting Go,"Relapse, Lies, & Betrayal",Warren Zeiders;Lanie Gardner,,14/03/2025,199575,66,country,Warner Records
13,Give Me A Sign (feat. Caroline Kingsbury),Give Me A Sign (feat. Caroline Kingsbury),MARIS;Caroline Kingsbury,,14/03/2025,179166,50,,Black House
14,Angels For Each Other,Angels For Each Other,Martin Garrix;Arijit Singh,,13/03/2025,215076,59,"edm,electronica,progressive house,hindi pop,bollywood,desi,bangla pop",STMPD RCRDS
15,Emergence,Emergence,Sleep Token,,13/03/2025,386253,67,"progressive metal,metalcore",Sleep Token/RCA Records
16,No Sweat,No Sweat,Key Glock,,13/03/2025,155754,53,,Key Glock
17,Nobody,Nobody,Freddie Gibbs,,14/03/2025,165392,48,"jazz rap,alternative hip hop",Freddie Gibbs
18,MORTAL KOMBAT,MORTAL KOMBAT,4batz,,14/03/2025,175984,42,,BuVision
19,FUFN (Fuck You For Now),FUFN (Fuck You For Now),JADE,,14/03/2025,215094,55,,RCA Records Label
20,Reach Out And Kiss Me,Reach Out And Kiss Me,Love Spells,,14/03/2025,210691,43,,Loveless
21,Night Rider,Lonesome Drifter,Charley Crockett,,14/03/2025,198577,41,"americana,outlaw country,alt country,red dirt,honky tonk",Charley Crockett PS/ Island
22,I Don't Love Here Anymore,Kerosene (20th Anniversary Edition),Miranda Lambert,,14/03/2025,239331,29,country,Columbia Nashville Legacy
23,Familiar,Familiar,Aminé,,14/03/2025,107563,39,,CLBN LLC
24,Different,Different,Barry Can't Swim,,13/03/2025,206693,37,jazz house,Ninja Tune
