Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
i wish i knew how to quit you,I Barely Know Her,sombr,,22/08/2025,232375,74,,Warner Records,,,,,,,,,,,,
Mr. Eclectic,A Matter of Time,Laufey,,22/08/2025,155000,68,,Vingolf Recordings,,,,,,,,,,,,
Jealous Type,Jealous Type,Doja Cat,,21/08/2025,163647,76,,Kemosabe Records/RCA Records,,,,,,,,,,,,
infinite source,private music,Deftones,,22/08/2025,212577,70,"nu metal,alternative metal,rap metal,shoegaze,rock",Reprise,,,,,,,,,,,,
Different Species (feat. Gunna),KIARI,Offset;Gunna,,22/08/2025,184320,77,melodic rap,Motown Records,,,,,,,,,,,,
Drum Show,Drum Show,Twenty One Pilots,,18/08/2025,203773,64,,Fueled By Ramen,,,,,,,,,,,,
Box Me Up (feat. Jelly Roll),I Hope You're Happy,BigXthaPlug;Jelly Roll,,22/08/2025,173333,60,"southern hip hop,country hip-hop,country",BigXthaPlug under exclusive license to UnitedMasters LLC,,,,,,,,,,,,
Sacrifice,HEARTS SOLD SEPARATELY,Mariah the Scientist,,22/08/2025,198394,62,alternative r&b,Buckles Laboratories/Epic,,,,,,,,,,,,
Just Two Girls,The Clearing,Wolf Alice,,22/08/2025,229880,63,indie,Columbia,,,,,,,,,,,,
SE LO JURO MOR,SE LO JURO MOR,Feid,,20/08/2025,170654,76,"reggaeton,urbano latino",Universal Music Latino,,,,,,,,,,,,
Great Pretender,Rocket,Dominic Fike,,22/08/2025,171741,65,,Columbia,,,,,,,,,,,,
who’s your boyfriend,hickey,Royel Otis,,21/08/2025,173426,73,indie,Ourness / Capitol Records,,,,,,,,,,,,
FREE (feat. Vory),Red Clay (Official Motion Picture Soundtrack),2 Chainz;Vory,,22/08/2025,190866,31,"southern hip hop,rap,trap soul","Gamebread, LLC / EMPIRE",,,,,,,,,,,,
925,925,Sammy Virji;Chris Lake;RoRo,,22/08/2025,168576,56,"uk garage,bassline,bass house,house,tech house",Capitol Records UK,,,,,,,,,,,,
We're Onto Something (feat. Zach Bryan),We're Onto Something (feat. Zach Bryan),Kings of Leon;Zach Bryan,,22/08/2025,222721,66,"country,red dirt","Love Tap Records, LLC",,,,,,,,,,,,
21,Halcyon,Kingfishr,,22/08/2025,179671,61,,B-Unique Records/Atlantic,,,,,,,,,,,,
Everybody Scream,Everybody Scream,Florence + The Machine,,20/08/2025,244500,62,baroque pop,Florence + The Machine,,,,,,,,,,,,
Phantom,Phantom,Mac DeMarco,,19/08/2025,110143,28,"indie,lo-fi indie",Royal Mountain Records,,,,,,,,,,,,
The Suburbs,The Suburbs,Ruel,,21/08/2025,188712,50,,Giant Music,,,,,,,,,,,,
Hard Part (feat. Lucky Daye),Escape Room,Teyana Taylor;Lucky Daye,,22/08/2025,158115,59,,"Taylormade Enterprises, Inc./Def Jam Recordings",,,,,,,,,,,,
Perfect Person (feat. coop),Perfect Person (feat. coop),Flo Milli;coop,,22/08/2025,130000,47,,'94 Sounds/RCA Records,,,,,,,,,,,,
I Don't Care...,I Don't Care...,LUCKI;Lil Yachty,,22/08/2025,215031,64,cloud rap,Lucki / EMPIRE,,,,,,,,,,,,
Politix,Politix,Balu Brigada,,19/08/2025,272933,41,,WM Australia,,,,,,,,,,,,
More,More,Carly Rae Jepsen,,20/08/2025,204483,43,,Silent Records IGA,,,,,,,,,,,,
Monsoon,DUMB,Emma Louise;Flume,,22/08/2025,170526,52,future bass,Flume,,,,,,,,,,,,
Euphoria,To Dry a Tear,Khamari,,22/08/2025,209589,59,indie r&b,Encore Recordings,,,,,,,,,,,,
Goodnight Music City,Barbara,Old Dominion,,22/08/2025,214273,42,country,"Three Up Three Down, LLC/Columbia Nashville",,,,,,,,,,,,
Cigarettes,Love Is Like (Deluxe),Maroon 5,,16/08/2025,143966,54,pop,222 Records/Interscope Records,,,,,,,,,,,,
Portate Bonito,Portate Bonito,Anuel AA;Blessd;Ovy On The Drums,,21/08/2025,209541,69,"reggaeton,trap latino,urbano latino,latin","Real Hasta La Muerte, LLC",,,,,,,,,,,,
Legumes,Legumes,Mochakk;Kwengface,,22/08/2025,284307,38,"tech house,house,uk drill,drill,grime,uk grime",Disorder Artist & Label Services,,,,,,,,,,,,
DARK AURA,DARK AURA,Joey Bada$$,,18/08/2025,173856,50,"hip hop,rap,jazz rap",Columbia,,,,,,,,,,,,
Pack U Up,Pack U Up,French Montana;Cash Cobain,,22/08/2025,138026,40,"sexy drill,jersey club",French Montana,,,,,,,,,,,,
Don’t Click Play,Don't Click Play,Ava Max,,22/08/2025,148932,59,,Atlantic Records,,,,,,,,,,,,
Like It Like That,Like It Like That,Dasha,,22/08/2025,167527,57,,Warner Records,,,,,,,,,,,,
Automatic Love,The Passionate Ones,Nourished by Time,,22/08/2025,242240,53,,XL Recordings,,,,,,,,,,,,
What You Want (feat. Teezo Touchdown),What You Want (feat. Teezo Touchdown),CORTIS;Teezo Touchdown,,22/08/2025,194093,68,k-pop,Republic Records – CORTIS,,,,,,,,,,,,
"Hold On, Let Go","Hold On, Let Go",ANOTR;WAYNE SNOW;3DDY,,22/08/2025,241061,62,"house,tech house",No Art,,,,,,,,,,,,
Uñas Afiladas,IDGAF ERA,Sofía Reyes;Luísa Sonza,,20/08/2025,147482,51,"latin pop,brazilian pop,funk pop,brazilian funk",WEA Latina,,,,,,,,,,,,
Call On Me,Call On Me,Daniel Caesar,,22/08/2025,169294,63,,Republic Records,,,,,,,,,,,,
Mr. Miracle,Mr. Miracle,Kid Cudi,,18/08/2025,192492,45,,Republic Records,,,,,,,,,,,,
LEAN ON MY LOVE (feat. Andra Day),BIG MONEY,Jon Batiste;Andra Day,,22/08/2025,251502,51,soft pop,Verve,,,,,,,,,,,,
TOURMALINE,Live Laugh Love,Earl Sweatshirt,,22/08/2025,173999,58,"experimental hip hop,alternative hip hop",Warner Records,,,,,,,,,,,,
Ridin' With That (feat. Chuckyy),Ridin' With That (feat. Chuckyy),BAK Jay;Chuckyy,,19/08/2025,142290,40,chicago drill,10K Projects,,,,,,,,,,,,
Match My Speed,Match My Speed,ZULAN;Kidwild,,22/08/2025,117988,46,"uk garage,uk drill",ZULAN,,,,,,,,,,,,
SexOnTheBeat,The Provocateur,ADÉLA,,22/08/2025,166800,67,,Capitol Records,,,,,,,,,,,,
Do What I Want,Do What I Want,MONSTA X,,18/08/2025,160000,33,"k-pop,noise music",STARSHIP Entertainment,,,,,,,,,,,,
Dance With Me,CiCi,Ciara;Tyga,,22/08/2025,143037,58,,Beauty Marks Entertainment,,,,,,,,,,,,
Nights in Armor,Nights in Armor,Water From Your Eyes,,18/08/2025,189650,33,,Matador,,,,,,,,,,,,
Love That I Love You,Famous Back Home,Russell Dickerson,,22/08/2025,163207,55,"country,pop country",Triple Tigers,,,,,,,,,,,,
Don't Wanna Go Home Tonight,Alienation,Three Days Grace,,22/08/2025,211262,60,"post-grunge,rock",RCA Records Label,,,,,,,,,,,,
CAN'T FEEL MY FACE.,CAN'T FEEL MY FACE.,YFN Lucci,,22/08/2025,143231,9,,Already Legend/Think It's A Game Records,,,,,,,,,,,,
PAY ME (feat. Stormzy and Zlatan),PAY ME,ODUMODUBLVCK;Stormzy;Zlatan,,21/08/2025,210574,57,"afrobeats,nigerian drill,afrobeat,alté,afropiano,afropop,afro adura,grime,uk grime,uk drill,azonto",Native Sounds/Def Jam PS,,,,,,,,,,,,
Scatter,Treasure Self Love,Lila Iké,,22/08/2025,234087,42,"reggae,lovers rock,dancehall",Ineffable Records,,,,,,,,,,,,
dirty shirley,dirty shirley / no thoughts,Mikayla Geier,,20/08/2025,136119,32,,Mikayla Geier,,,,,,,,,,,,
CEREMONY,KARMA,Stray Kids,,22/08/2025,164026,59,"k-pop,noise music",Sony Music Labels Inc.,,,,,,,,,,,,
"Peace, Love, and Cowboys",Whirlwind (Deluxe),Lainey Wilson,,22/08/2025,210880,49,country,Broken Bow Records,,,,,,,,,,,,
The Great Caucasian God,Devil’s Den,Jesse Welles,,22/08/2025,230112,47,"folk punk,folk",Jesse Welles,,,,,,,,,,,,
i don’t know you,Garden State,Jeremy Zucker,,22/08/2025,203773,50,,Mercury Records/Republic Owned,,,,,,,,,,,,
Rock A Bye Baby,Rock A Bye Baby,Jean Dawson,,21/08/2025,170579,45,,Handwritten Records,,,,,,,,,,,,
Feelings Gone (feat. London Grammar),Feelings Gone (feat. London Grammar),SG Lewis;London Grammar,,22/08/2025,298030,53,,Forever Days / Positiva,,,,,,,,,,,,
CAM GIRL,CAM GIRL,LUDMILLA;Victoria Monét,,21/08/2025,180333,51,"pagode,brazilian pop,funk pop,brazilian funk,pagode baiano,funk carioca,alternative r&b",SEM QUERER MUSIC,,,,,,,,,,,,
Inmigrante,Inmigrante,BashfortheWorld;MB Pee,,22/08/2025,202755,37,,BASHFORTHEWORLDLLC,,,,,,,,,,,,
Let Me Love You,Let Me Love You,Amber Mark,,22/08/2025,212281,39,"alternative r&b,indie soul",PMR Records/Interscope Records,,,,,,,,,,,,
All My Friends Are So Depressed,All My Friends Are So Depressed,Joyce Manor,,18/08/2025,162886,50,"midwest emo,pop punk,emo,indie punk,math rock",Epitaph,,,,,,,,,,,,
Song For My Son (feat. Kane Brown),17 Problems,Walker Hayes;Kane Brown,,22/08/2025,173215,44,"country,pop country",Monument Records/RCA Records,,,,,,,,,,,,
Watch Your Mouth,Mt. Zion,Josiah Queen,,22/08/2025,222230,66,"christian folk,christian,worship,christian pop,christian country",F&L Music Group,,,,,,,,,,,,
