Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Shapeshifter,Virgin,Lorde,,27/06/2025,257065,69,,Universal Music New Zealand Limited,,,,,,,,,,,,
On My Mind,On My Mind,Alex Warren;ROSÉ,,27/06/2025,189557,68,k-pop,Atlantic Records,,,,,,,,,,,,
FWU,FWU,Don Toliver;Mustard,,27/06/2025,171000,75,,CactusJack/Donnway/ATL,,,,,,,,,,,,
Need You More,I've Tried Everything But Therapy (Complete Edition),Teddy Swims,,27/06/2025,190124,62,,Warner Records,,,,,,,,,,,,
Home (feat. Shaboozey),Home (feat. Shaboozey),BigXthaPlug;Shaboozey,,27/06/2025,135133,59,southern hip hop,BigXthaPlug under exclusive license to UnitedMasters LLC,,,,,,,,,,,,
Mad,Mad,Reneé Rapp,,27/06/2025,174969,25,,Interscope Records,,,,,,,,,,,,
Survive,Survive,Lewis Capaldi,,27/06/2025,225211,77,soft pop,Vertigo Berlin,,,,,,,,,,,,
Heroin,Heroin,Jessie Murph,,27/06/2025,256080,61,,Columbia,,,,,,,,,,,,
Lover Girl,Lover Girl,Laufey,,26/06/2025,164400,39,,Sony Music Labels Inc.,,,,,,,,,,,,
Don't Let Me Drown,F1 The Album (Cinematic Edition),Burna Boy,,26/06/2025,185590,48,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano",Atlantic Records,,,,,,,,,,,,
EXPECTATIVAS,EXPECTATIVAS,Myke Towers,,26/06/2025,202893,57,"reggaeton,trap latino,urbano latino",WEA Latina,,,,,,,,,,,,
Positions,Positions,Stryv;Malachiii;Adam Port,,27/06/2025,148000,72,"afro house,house,afro tech","Stryv, Malachiii/Electric Feel, Adam Port",,,,,,,,,,,,
"The Field (feat. The Durutti Column, Tariq Al-Sabir, Caroline Polachek & Daniel Caesar)","The Field (feat. The Durutti Column, Tariq Al-Sabir, Caroline Polachek & Daniel Caesar)",Blood Orange;Tariq Al-Sabir;Caroline Polachek;Daniel Caesar;The Durutti Column,,26/06/2025,199256,52,"art pop,art rock,post-punk",Domino Recording Co./RCA Records,,,,,,,,,,,,
All Night,All Night,Maroon 5,,23/06/2025,165107,58,pop,222 Records/Interscope Records,,,,,,,,,,,,
Gameboy,BEAUTIFUL CHAOS,KATSEYE,,26/06/2025,185598,18,k-pop,HYBE/Geffen,,,,,,,,,,,,
IRL (FEAT. SZA),MY FACE HURTS FROM SMILING,Lizzo;SZA,,27/06/2025,164213,49,r&b,Nice Life/Atlantic,,,,,,,,,,,,
Always Love featuring Hyunjin (Stray Kids),Always Love featuring Hyunjin (Stray Kids),d4vd;Hyunjin,,27/06/2025,198472,69,,Darkroom/Interscope Records,,,,,,,,,,,,
97 Jag,Blush,Kevin Abstract;Love Spells,,27/06/2025,169344,10,,Kevin Abstract,,,,,,,,,,,,
Romeo,Romeo,Dove Cameron,,27/06/2025,184928,56,,Disruptor Records/Columbia,,,,,,,,,,,,
Bed of Roses,Bed of Roses,Teyana Taylor,,27/06/2025,149503,43,,"Taylormade Enterprises, Inc./Def Jam Recordings",,,,,,,,,,,,
For The Money,For The Money,Rick Ross;Pharrell Williams,,27/06/2025,215524,49,southern hip hop,Maybach Music under exclusive license to gamma.,,,,,,,,,,,,
BTA,BTA,Young Nudy,,27/06/2025,198866,43,,PDE Records/RCA Records,,,,,,,,,,,,
Gold,Gold,J Hus;Asake,,26/06/2025,188263,64,"afroswing,grime,uk grime,afrobeats,afrobeat,afropiano,afro adura,afropop,amapiano,afro r&b",Militér Music / EMPIRE,,,,,,,,,,,,
Campeón,Campeón,ZULAN,,27/06/2025,173777,57,uk garage,ZULAN,,,,,,,,,,,,
Ashes,Ashes,Diplo;Bailey Zimmerman,,27/06/2025,183815,60,"moombahton,country",Columbia,,,,,,,,,,,,
Solid Country Gold,Parker McCollum,Parker McCollum,,27/06/2025,208946,55,"texas country,red dirt,country",MCA Nashville,,,,,,,,,,,,
Bag of Bones,Bag of Bones,Lord Huron,,27/06/2025,244661,49,,Mercury Records/Lord Huron,,,,,,,,,,,,
Home,Home,Mac DeMarco,,24/06/2025,131898,28,"indie,lo-fi indie",Royal Mountain Records,,,,,,,,,,,,
Can We Talk?,Can We Talk?,Tink;Bryson Tiller,,27/06/2025,188852,47,"trap soul,r&b",Winter's Diary / WD Records / EMPIRE,,,,,,,,,,,,
ROCKIN,ROCKIN,Shoreline Mafia;OHGEESY;Fenix Flexin,,27/06/2025,129722,68,,300 Entertainment,,,,,,,,,,,,
Locos,Locos,Santa Fe Klan;Saweetie,,26/06/2025,135884,36,"mexican hip hop,latin hip hop",Cuatro Siete Tres Music,,,,,,,,,,,,
FEEL SOMETHING,FEEL SOMETHING,Sasha Keable,,26/06/2025,152195,48,uk r&b,The Flight Club Records,,,,,,,,,,,,
Never Met Anyone Like You (feat. HARDY),Never Met Anyone Like You (feat. HARDY),Ella Langley;HARDY,,27/06/2025,168417,68,"country,country rock",SAWGOD/Columbia,,,,,,,,,,,,
I Wanna Go,I Wanna Go,Ely Oaks;LAVINIA,,27/06/2025,126229,52,hypertechno,JINX Music,,,,,,,,,,,,
Psycho,Psycho,Chris Lake,,27/06/2025,129619,41,"tech house,house,bass house",Black Book Records,,,,,,,,,,,,
Woke Up,Woke Up,Sheff G;Sleepy Hallow,,27/06/2025,134634,56,"brooklyn drill,new york drill,drill",Winners Circle/RCA Records,,,,,,,,,,,,
Forever,W!LD,Russ,,27/06/2025,171978,50,,DIEMON,,,,,,,,,,,,
Rejects,Rejects,Good Charlotte,,25/06/2025,174634,48,"pop punk,punk,emo",Atlantic Records,,,,,,,,,,,,
June Guitar,June Guitar,Alex G,,27/06/2025,232214,43,,Alex G/RCA Records,,,,,,,,,,,,
Gut Feelings,Gut Feelings,Debbii Dawson,,27/06/2025,204551,42,,Debbii Dawson Music/RCA Records,,,,,,,,,,,,
car,car,Royel Otis,,25/06/2025,197396,60,indie,Ourness / Capitol Records,,,,,,,,,,,,
Left To Get Right,Spanish Moss,Cole Swindell,,27/06/2025,181453,38,"country,acoustic country",Warner Records Nashville,,,,,,,,,,,,
mountain of a memory,mountain of a memory,Hazlett,,27/06/2025,145134,50,indie folk,Nettwerk Music Group,,,,,,,,,,,,
new friends,new friends,flowerovlove,,27/06/2025,165668,49,,Capitol Records,,,,,,,,,,,,
Peace Of Mind,Peace Of Mind,Martin Garrix;Citadelle,,27/06/2025,148214,56,"edm,electronica,progressive house",STMPD RCRDS,,,,,,,,,,,,
D.A.N.C.E - From F1® The Movie,D.A.N.C.E (From F1® The Movie),Peggy Gou;F1 The Album,,24/06/2025,195404,55,,Atlantic Records,,,,,,,,,,,,
10AM,10AM,UMI,,27/06/2025,216223,42,,"UMI, Inc./Epic Records",,,,,,,,,,,,
White Noise,White Noise,Joyner Lucas,,27/06/2025,170472,52,,Twenty Nine Music Group,,,,,,,,,,,,
Naked (feat. A Boogie wit da Hoodie),Naked,41;Kyle Richh;Jenn Carter;TaTa;A Boogie Wit da Hoodie,,27/06/2025,163200,53,"new york drill,drill,sexy drill,jersey club,brooklyn drill,melodic rap",Republic Records,,,,,,,,,,,,
